stream_key,segment_index,start_seconds,end_seconds,base_text,small_overlap_text,match_rank,match_score,sequence_ratio,shorter_coverage,best_query_source,scenario_id,source_file,inner_file,speaker,scenario_japanese,scenario_korean,scenario_status
0x53,0,0.000,30.000,スープは、アイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイ,,1,0.3230,0.0176,0.4000,base,SCN_00450000_00740000_0021,DATA/00450000.MDZ,DATA/00450000.MDT,アルフィナ,えっ？、グリフ…？,어? 그리프…?,REVIEW_1
0x54,0,0.000,22.990,ユウキ、バンゴハン出来てる!,,1,0.7400,0.4000,1.0000,base,SCN_00630800_00740000_0006,DATA/00630800.MDZ,DATA/00630800.MDT,ユウキ,ユウキ…,유키…,REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,1,0.5000,0.5000,0.4615,base,SCN_00212100_00740000_0035,DATA/00212100.MDZ,DATA/00212100.MDT,ユウキ,"えっ？
オレ、そんなことしたっけ…？","어?
내가 그런 일을 했던가…?",REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,2,0.4762,0.4762,0.3684,base,SCN_00211000_00740000_0017,DATA/00211000.MDZ,DATA/00211000.MDT,ユウキ,"助かったって…、なんで
こんなことしたんだよ？","살았다고…… 왜
이런 일을 한 거야?",REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,3,0.4651,0.4651,0.3500,base,SCN_00362100_00740000_0031,DATA/00362100.MDZ,DATA/00362100.MDT,ユウキ,"あっ！、いいって！
飲みに来たわけじゃ
ないからさ！","아! 괜찮아!
술을 마시러 온 게
아니니까!",REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,4,0.3929,0.3929,0.2174,base,SCN_00030400_00740000_0009,DATA/00030400.MDZ,DATA/00030400.MDT,ユウキ,"いやいや！
そんなことじゃないんだ
っと！、こんなこと
やってる場合じゃないや！","아니 아니!
그런 게 아니라
앗! 이런 일
하고 있을 때가 아니네!",REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,5,0.3810,0.3810,0.3158,base,SCN_00242300_00740000_0074,DATA/00242300.MDZ,DATA/00242300.MDT,ユウキ,"まっ、神官に
なるわけじゃないし
別にいいか…","뭐, 신관이
될 것도 아니고
상관없나…",REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,6,0.3636,0.3636,0.1622,small,SCN_00214000_00740000_0172,DATA/00214000.MDZ,DATA/00214000.MDT,ユウキ,"観光ってわけじゃないけど…
ああ、楽しんでるよ
我が…、って、おじさん
ここの街長さんなの？","관광을 온 건 아니지만…
그래, 즐기고 있어
우리… 아니, 아저씨가
이곳 시장님이야?",REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,7,0.3509,0.3509,0.3043,base,SCN_00241200_00740000_0012,DATA/00241200.MDZ,DATA/00241200.MDT,ユウキ,"そっか…
ま、あ日はカンベンしてくれよ
オレたちは
参拝に来たわけじゃないしさ","그렇구나…
뭐, 오늘은 봐줘
우리는
참배하러 온 게 아니니까.",REVIEW_1
0x56,2,38.840,44.000,え?俺だって考えなしにこんなことしたわけじゃない?,え? 俺だって 考えなしにこんなことしたわけじゃない わけじゃない 飛んでる間に感じたんだ,8,0.3478,0.3478,0.2609,base,SCN_00212000_00740000_0056,DATA/00212000.MDZ,DATA/00212000.MDT,ユウキ,"って、わけじゃないんだけどね
色々と用事があってさ","뭐, 그런 건 아니지만
여러 가지 볼일이 있어서 말이야.",REVIEW_1
