glyph_index_hex,applied_character,applied_confidence,applied_evidence,skj_evidence_note,user_draft_character,user_draft_confidence,user_draft_status,top50_character,top50_confidence,decision,occurrence_count
002B,：,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8146 -> G002B; scenario unresolved queue 2 occurrence(s).,:,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,2
0034,４,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8253 -> G0034; scenario unresolved queue 6 occurrence(s).,4,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,6
0036,６,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8255 -> G0036; scenario unresolved queue 8 occurrence(s).,6,HIGH,MANUAL_VISUAL_DRAFT,6,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,8
0037,７,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8256 -> G0037; scenario unresolved queue 8 occurrence(s).,7,HIGH,MANUAL_VISUAL_DRAFT,7,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,8
0038,８,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8257 -> G0038; scenario unresolved queue 13 occurrence(s).,8,HIGH,MANUAL_VISUAL_DRAFT,8,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,13
0039,９,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8258 -> G0039; scenario unresolved queue 15 occurrence(s).,9,HIGH,MANUAL_VISUAL_DRAFT,9,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,15
003A,Ａ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8260 -> G003A; scenario unresolved queue 7 occurrence(s).,A,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,7
003F,Ｆ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8265 -> G003F; scenario unresolved queue 1 occurrence(s).,F,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0040,Ｇ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8266 -> G0040; scenario unresolved queue 17 occurrence(s).,G,HIGH,MANUAL_VISUAL_DRAFT,G,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,17
0042,Ｉ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8268 -> G0042; scenario unresolved queue 1 occurrence(s).,I,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0044,Ｋ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 826A -> G0044; scenario unresolved queue 1 occurrence(s).,K,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0045,Ｌ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 826B -> G0045; scenario unresolved queue 1 occurrence(s).,L,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0047,Ｎ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 826D -> G0047; scenario unresolved queue 1 occurrence(s).,N,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0051,Ｘ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8277 -> G0051; scenario unresolved queue 2 occurrence(s).,X,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,2
0056,ぃ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82A1 -> G0056; scenario unresolved queue 19 occurrence(s).,い,HIGH,MANUAL_VISUAL_DRAFT,い,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,19
0058,ぅ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82A3 -> G0058; scenario unresolved queue 19 occurrence(s).,う,HIGH,MANUAL_VISUAL_DRAFT,う,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,19
005C,ぉ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82A7 -> G005C; scenario unresolved queue 7 occurrence(s).,お,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,7
0071,ぞ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82BC -> G0071; scenario unresolved queue 24 occurrence(s).,ぞ,HIGH,MANUAL_VISUAL_DRAFT,ぞ,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,24
0089,ぷ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82D5 -> G0089; scenario unresolved queue 14 occurrence(s).,ぶ,HIGH,MANUAL_VISUAL_DRAFT,ぶ,높음,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,14
008C,ぺ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82D8 -> G008C; scenario unresolved queue 1 occurrence(s).,べ,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0097,ゅ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82E3 -> G0097; scenario unresolved queue 3 occurrence(s).,ゆ,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,3
00F4,ヶ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8396 -> G00F4; scenario unresolved queue 2 occurrence(s).,〃,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,2
00F7,ぢ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82C0 -> G00F7; scenario unresolved queue 1 occurrence(s).,ガ,LOW,AUTO_SHAPE_DRAFT,,,SUPPORTED_SKJ_CONFLICT_USER_DRAFT,1
0109,御,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CE4 -> G0109; scenario unresolved queue 11 occurrence(s).,御,HIGH,MANUAL_VISUAL_DRAFT,何,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,11
011D,殺,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E45 -> G011D; scenario unresolved queue 11 occurrence(s).,殺,MEDIUM,MANUAL_VISUAL_DRAFT,検,높음,SUPPORTED_SKJ_AGREES_USER_DRAFT,11
0122,交,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CF0 -> G0122; scenario unresolved queue 2 occurrence(s).,交,HIGH,MANUAL_VISUAL_DRAFT,,,SUPPORTED_SKJ_AGREES_USER_DRAFT,2
