id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
ITEM_0014_EFFECT_1,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0014,,1,0xE880,,E7 F1 7E F4 80 85 F0 A1 A4 F1 B7 F5 6A 20 6C 8B 78 80 3A F0 A1 85 F0 79,聖獣の力を解放し　すべての敵を力で,성수의 힘을 해방해 모든 적을 공격,D6 8B 75 20 85 F7 A1 20 74 71 F9 74 20 B2 CD 20 41 F0 A1 20 D8 F5 B3 F4,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0014_EFFECT_2,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0014,,2,0xE899,,7F 6B 91 F7 6E 9D 20 B9 F1 BA F1 80 36 F0 37 F0 BC F0 C2 F0 23,ねじ<91F7>せる　究極の攻撃効果！,시공을 비트는 궁극의 공격 효과,88 D8 F5 A1 20 98 D2 73 20 72 F6 81 F6 75 20 D8 F5 B3 F4 20 CA F4 EC F5,,"[""<91F7>""]",TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0016_EFFECT_1,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0016,,1,0xE8EC,,E7 F1 7E F4 80 85 F0 A1 A4 F1 B7 F5 6A 20 27 F5 5E 7C D2 F1 79 57 F2 91 7B F1 78 80,聖獣の力を解放し　<27F5>かな光で包み全ての,성수의 힘을 해방해 찬란한 빛으로 감쌈,D6 8B 75 20 85 F7 A1 20 74 71 F9 74 20 9F F7 7B F8 7A 20 2B F4 82 79 20 33 F2 86 F7,,"[""<27F5>""]",TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0016_EFFECT_2,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0016,,2,0xE909,,A1 F1 4A F2 9B F1 46 F0 A1 9B F1 A4 F2 6F F0 6C 9D 20 B9 F1 BA F1 80 3F F0 B6 F0 BC F0 C2 F0 23,生命活動を活発化する　究極の回復効果！,궁극의 생명 회복 효과,72 F6 81 F6 75 20 B6 E5 20 CC D0 20 CA F4 EC F5,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0017_EFFECT_1,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0017,,1,0xE944,,E7 F1 7E F4 80 85 F0 A1 A4 F1 B7 F5 6A 20 42 F0 57 7C 9D 92 F1 93 F1 80 E1 F4 CF F0 79,聖獣の力を解放し　大いなる森林の<E1F4>吹で,성수의 힘을 해방해 숲의 숨결을 부름,D6 8B 75 20 85 F7 A1 20 74 71 F9 74 20 A6 F7 75 20 A5 F7 B7 F4 A1 20 A4 B2 F8,,"[""<E1F4>""]",TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0017_EFFECT_2,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0017,,2,0xE962,,22 F1 46 F0 85 F0 A1 9B F1 65 F0 6F F0 6C 9D 20 B9 F1 BA F1 80 E8 F7 89 F4 BC F0 C2 F0 23,行動力を活性化する　究極の<E8F7><89F4>効果！,궁극의 행동력 가속 효과,72 F6 81 F6 75 20 A5 E7 F7 93 F8 20 4A 49 F7 20 CA F4 EC F5,,"[""<E8F7>"", ""<89F4>""]",TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0018_EFFECT_1,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0018,,1,0xE99B,,E7 F1 7E F4 80 85 F0 A1 A4 F1 B7 F5 6A 20 47 F0 79 F2 A1 98 5F 90 6E 78,聖獣の力を解放し　時空をゆがませて,성수의 힘을 해방해 시공을 왜곡,D6 8B 75 20 85 F7 A1 20 74 71 F9 74 20 88 D8 F5 A1 20 47 F6 EF F4,,[],TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0018_EFFECT_2,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0018,,2,0xE9B4,,6C 8B 78 80 22 F1 46 F0 A1 41 F5 23 F1 6C 9D 20 B9 F1 BA F1 80 BC F0 C2 F0 23,すべての行動を<41F5><23F1>する　究極の効果！,모든 행동을 제어하는 궁극의 효과,B2 CD 20 A5 E7 F7 A1 20 AA 69 61 73 20 72 F6 81 F6 75 20 CA F4 EC F5,,"[""<41F5>"", ""<23F1>""]",TRANSLATED,NO,positional item HELP trailer; exact reviewed effect rule,
ITEM_0101_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0101,,1,0xEAFC,,41 49 A1 39 39 39 39 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを9999ポイント回復する,HP 9999 회복,41 49 20 39 39 39 39 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0102_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0102,,1,0xEB30,,41 49 A1 32 34 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを2400ポイント回復する,HP 2400 회복,41 49 20 32 34 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0103_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0103,,1,0xEB5A,,41 49 A1 31 38 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを1800ポイント回復する,HP 1800 회복,41 49 20 31 38 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0104_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0104,,1,0xEB8A,,41 49 A1 31 32 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを1200ポイント回復する,HP 1200 회복,41 49 20 31 32 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0105_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0105,,1,0xEBB6,,41 49 A1 39 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを900ポイント回復する,HP 900 회복,41 49 20 39 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0106_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0106,,1,0xEBE0,,41 49 A1 36 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを600ポイント回復する,HP 600 회복,41 49 20 36 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0107_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0107,,1,0xEC0D,,41 49 A1 33 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを300ポイント回復する,HP 300 회복,41 49 20 33 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0108_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0108,,1,0xEC3C,,41 49 A1 39 39 39 39 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを9999ポイント回復する,HP 9999 회복,41 49 20 39 39 39 39 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0109_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0109,,1,0xEC6F,,41 49 A1 32 30 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを2000ポイント回復する,HP 2000 회복,41 49 20 32 30 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0111_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0111,,1,0xECA1,,41 49 A1 37 35 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを750ポイント回復する,HP 750 회복,41 49 20 37 35 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0112_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0112,,1,0xECD3,,41 49 A1 35 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,HPを500ポイント回復する,HP 500 회복,41 49 20 35 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0113_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0113,,1,0xED02,,4C 49 A1 32 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,SPを200ポイント回復する,SP 200 회복,4C 49 20 32 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0114_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0114,,1,0xED34,,4C 49 A1 31 30 30 DE A6 EA C9 3F F0 B6 F0 6C 9D,SPを100ポイント回復する,SP 100 회복,4C 49 20 31 30 30 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
ITEM_0115_EFFECT_1,ITEM,consumable,GR3.MDZ,GR3.MDT,ITEM_RECORD_0115,,1,0xED5F,,46 49 A1 39 39 39 DE A6 EA C9 3F F0 B6 F0 6C 9D,MPを999ポイント回復する,MP 999 회복,46 49 20 39 39 39 20 CC D0,,[],TRANSLATED,NO,positional item HELP trailer; numeric recovery rule,
