sample_id,cue_id,speaker,source_file,source_offset,size_bytes,duration_ms,sample_rate,channels,codec,category,japanese,korean,confidence,notes,wav_path
4000,0x8E;0x8F;0x90;0x91;0x92;0x93;0x94;0x95;0x96;0x98;0x99;0x9E;0x9F;0xA2;0xA3,ユウキ,MUSIC/GR3_STR.STZ,0x21F11000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x123; GR3_STR.IDX entry=290; sector=0x43E22..0x43E36,audio/extracted/battle/sample_004000.wav
4002,0x01;0x02;0x03;0x05;0x06;0x07;0x0B;0x0C;0x16;0x17;0x20;0x21;0x22;0x23;0x24;0x89;0x8A;0x8B;0x8C;0x8D;0x8E;0x8F;0x90;0x91;0x92;0x93;0x94;0x9E;0x9F;0xA2;0xA3,ユウキ,MUSIC/GR3_STR.STZ,0x21F1B000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x124; GR3_STR.IDX entry=291; sector=0x43E36..0x43E4A,audio/extracted/battle/sample_004002.wav
4004,0xC8,ユウキ,MUSIC/GR3_STR.STZ,0x21F25000,47104,3285,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x125; GR3_STR.IDX entry=292; sector=0x43E4A..0x43E61,audio/extracted/battle/sample_004004.wav
4006,0x65;0x66;0x67;0x68;0x69;0x6A;0x6B;0x6C;0x6D;0x6E;0x6F;0x70;0x71;0x72;0x73;0x74;0x75;0x76;0x77;0x7C;0x7D;0x7E;0x7F;0x80;0x81;0x82;0x83;0x84;0x85;0x86;0x87;0x88;0xA0;0xA1,ユウキ,MUSIC/GR3_STR.STZ,0x21F30800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x126; GR3_STR.IDX entry=293; sector=0x43E61..0x43E75,audio/extracted/battle/sample_004006.wav
4008,0x71;0x72;0x73;0x74;0x75;0x76;0x77;0x7C;0x7D;0x7E;0x7F;0x80;0x81;0x82;0x83;0x84;0x85;0x86;0x87;0x88;0x9A;0x9B;0x9C;0x9D;0xA0,ユウキ,MUSIC/GR3_STR.STZ,0x21F3A800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x127; GR3_STR.IDX entry=294; sector=0x43E75..0x43E89,audio/extracted/battle/sample_004008.wav
4010,0x78;0x79;0x7A;0x7B,ユウキ,MUSIC/GR3_STR.STZ,0x21F44800,51200,3584,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x128; GR3_STR.IDX entry=295; sector=0x43E89..0x43EA2,audio/extracted/battle/sample_004010.wav
4012,0x01,ユウキ,MUSIC/GR3_STR.STZ,0x21F51000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x129; GR3_STR.IDX entry=296; sector=0x43EA2..0x43EB6,audio/extracted/battle/sample_004012.wav
4014,0x02,ユウキ,MUSIC/GR3_STR.STZ,0x21F5B000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x12A; GR3_STR.IDX entry=297; sector=0x43EB6..0x43ECA,audio/extracted/battle/sample_004014.wav
4016,0x05,ユウキ,MUSIC/GR3_STR.STZ,0x21F65000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x12B; GR3_STR.IDX entry=298; sector=0x43ECA..0x43EDE,audio/extracted/battle/sample_004016.wav
4018,0x03,ユウキ,MUSIC/GR3_STR.STZ,0x21F6F000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x12C; GR3_STR.IDX entry=299; sector=0x43EDE..0x43EF2,audio/extracted/battle/sample_004018.wav
4020,0x06,ユウキ,MUSIC/GR3_STR.STZ,0x21F79000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x12D; GR3_STR.IDX entry=300; sector=0x43EF2..0x43F06,audio/extracted/battle/sample_004020.wav
4022,0x07,ユウキ,MUSIC/GR3_STR.STZ,0x21F83000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x12E; GR3_STR.IDX entry=301; sector=0x43F06..0x43F1A,audio/extracted/battle/sample_004022.wav
4024,0x04,ユウキ,MUSIC/GR3_STR.STZ,0x21F8D000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x12F; GR3_STR.IDX entry=302; sector=0x43F1A..0x43F2E,audio/extracted/battle/sample_004024.wav
4026,0x09,ユウキ,MUSIC/GR3_STR.STZ,0x21F97000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x130; GR3_STR.IDX entry=303; sector=0x43F2E..0x43F42,audio/extracted/battle/sample_004026.wav
4028,0x08,ユウキ,MUSIC/GR3_STR.STZ,0x21FA1000,49152,3435,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x131; GR3_STR.IDX entry=304; sector=0x43F42..0x43F5A,audio/extracted/battle/sample_004028.wav
4030,0x0B,ユウキ,MUSIC/GR3_STR.STZ,0x21FAD000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x132; GR3_STR.IDX entry=305; sector=0x43F5A..0x43F6E,audio/extracted/battle/sample_004030.wav
4032,0x0C,ユウキ,MUSIC/GR3_STR.STZ,0x21FB7000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x133; GR3_STR.IDX entry=306; sector=0x43F6E..0x43F82,audio/extracted/battle/sample_004032.wav
4034,0x0D,ユウキ,MUSIC/GR3_STR.STZ,0x21FC1000,61440,4331,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x134; GR3_STR.IDX entry=307; sector=0x43F82..0x43FA0,audio/extracted/battle/sample_004034.wav
4036,0x0F,ユウキ,MUSIC/GR3_STR.STZ,0x21FD0000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x135; GR3_STR.IDX entry=308; sector=0x43FA0..0x43FB4,audio/extracted/battle/sample_004036.wav
4038,0x16,ユウキ,MUSIC/GR3_STR.STZ,0x21FDA000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x136; GR3_STR.IDX entry=309; sector=0x43FB4..0x43FC8,audio/extracted/battle/sample_004038.wav
4040,0x17,ユウキ,MUSIC/GR3_STR.STZ,0x21FE4000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x137; GR3_STR.IDX entry=310; sector=0x43FC8..0x43FDC,audio/extracted/battle/sample_004040.wav
4042,0x18,ユウキ,MUSIC/GR3_STR.STZ,0x21FEE000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x138; GR3_STR.IDX entry=311; sector=0x43FDC..0x43FF0,audio/extracted/battle/sample_004042.wav
4044,0x19,ユウキ,MUSIC/GR3_STR.STZ,0x21FF8000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x139; GR3_STR.IDX entry=312; sector=0x43FF0..0x44004,audio/extracted/battle/sample_004044.wav
4046,0x20,ユウキ,MUSIC/GR3_STR.STZ,0x22002000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x13A; GR3_STR.IDX entry=313; sector=0x44004..0x44018,audio/extracted/battle/sample_004046.wav
4048,0x21,ユウキ,MUSIC/GR3_STR.STZ,0x2200C000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x13B; GR3_STR.IDX entry=314; sector=0x44018..0x4402C,audio/extracted/battle/sample_004048.wav
4050,0x23,ユウキ,MUSIC/GR3_STR.STZ,0x22016000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x13C; GR3_STR.IDX entry=315; sector=0x4402C..0x44040,audio/extracted/battle/sample_004050.wav
4052,0x22,ユウキ,MUSIC/GR3_STR.STZ,0x22020000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x13D; GR3_STR.IDX entry=316; sector=0x44040..0x44054,audio/extracted/battle/sample_004052.wav
4054,0x24,ユウキ,MUSIC/GR3_STR.STZ,0x2202A000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x13E; GR3_STR.IDX entry=317; sector=0x44054..0x44068,audio/extracted/battle/sample_004054.wav
4056,0x25,ユウキ,MUSIC/GR3_STR.STZ,0x22034000,69632,4928,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x13F; GR3_STR.IDX entry=318; sector=0x44068..0x4408A,audio/extracted/battle/sample_004056.wav
4058,0x26,ユウキ,MUSIC/GR3_STR.STZ,0x22045000,61440,4331,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x140; GR3_STR.IDX entry=319; sector=0x4408A..0x440A8,audio/extracted/battle/sample_004058.wav
4060,0x1A;0x1B;0x1C,ユウキ,MUSIC/GR3_STR.STZ,0x22054000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x141; GR3_STR.IDX entry=320; sector=0x440A8..0x440BC,audio/extracted/battle/sample_004060.wav
4062,0xD3;0xD4;0xD5,ユウキ,MUSIC/GR3_STR.STZ,0x2205E000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x142; GR3_STR.IDX entry=321; sector=0x440BC..0x440D0,audio/extracted/battle/sample_004062.wav
4064,0x10;0x11,ユウキ,MUSIC/GR3_STR.STZ,0x22068000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x143; GR3_STR.IDX entry=322; sector=0x440D0..0x440E4,audio/extracted/battle/sample_004064.wav
4066,0xD1;0xD2,ユウキ,MUSIC/GR3_STR.STZ,0x22072000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x144; GR3_STR.IDX entry=323; sector=0x440E4..0x440F8,audio/extracted/battle/sample_004066.wav
4068,0x1D;0x1E;0xA1,ユウキ,MUSIC/GR3_STR.STZ,0x2207C000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x145; GR3_STR.IDX entry=324; sector=0x440F8..0x4410C,audio/extracted/battle/sample_004068.wav
4070,0x29,ユウキ,MUSIC/GR3_STR.STZ,0x22086000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x146; GR3_STR.IDX entry=325; sector=0x4410C..0x44120,audio/extracted/battle/sample_004070.wav
4072,0x28,ユウキ,MUSIC/GR3_STR.STZ,0x22090000,43008,2987,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x147; GR3_STR.IDX entry=326; sector=0x44120..0x44135,audio/extracted/battle/sample_004072.wav
4074,0x1F,ユウキ,MUSIC/GR3_STR.STZ,0x2209A800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x148; GR3_STR.IDX entry=327; sector=0x44135..0x44149,audio/extracted/battle/sample_004074.wav
4076,0x0E,ユウキ,MUSIC/GR3_STR.STZ,0x220A4800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x149; GR3_STR.IDX entry=328; sector=0x44149..0x4415D,audio/extracted/battle/sample_004076.wav
4078,0x15,ユウキ,MUSIC/GR3_STR.STZ,0x220AE800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x14A; GR3_STR.IDX entry=329; sector=0x4415D..0x44171,audio/extracted/battle/sample_004078.wav
4080,0x2A,ユウキ,MUSIC/GR3_STR.STZ,0x220B8800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x14B; GR3_STR.IDX entry=330; sector=0x44171..0x44185,audio/extracted/battle/sample_004080.wav
4082,0x14,ユウキ,MUSIC/GR3_STR.STZ,0x220C2800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x14C; GR3_STR.IDX entry=331; sector=0x44185..0x44199,audio/extracted/battle/sample_004082.wav
4084,0x0A,ユウキ,MUSIC/GR3_STR.STZ,0x220CC800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x14D; GR3_STR.IDX entry=332; sector=0x44199..0x441AD,audio/extracted/battle/sample_004084.wav
4086,0x27,ユウキ,MUSIC/GR3_STR.STZ,0x220D6800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x14E; GR3_STR.IDX entry=333; sector=0x441AD..0x441C1,audio/extracted/battle/sample_004086.wav
4088,0x13,ユウキ,MUSIC/GR3_STR.STZ,0x220E0800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x14F; GR3_STR.IDX entry=334; sector=0x441C1..0x441D5,audio/extracted/battle/sample_004088.wav
4090,0x12,ユウキ,MUSIC/GR3_STR.STZ,0x220EA800,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x150; GR3_STR.IDX entry=335; sector=0x441D5..0x441E9,audio/extracted/battle/sample_004090.wav
4092,0xC9,ユウキ,MUSIC/GR3_STR.STZ,0x220F4800,45056,3136,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x151; GR3_STR.IDX entry=336; sector=0x441E9..0x441FF,audio/extracted/battle/sample_004092.wav
4094,0xCA,ユウキ,MUSIC/GR3_STR.STZ,0x220FF800,45056,3136,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x152; GR3_STR.IDX entry=337; sector=0x441FF..0x44215,audio/extracted/battle/sample_004094.wav
4096,0xCB,ユウキ,MUSIC/GR3_STR.STZ,0x2210A800,79872,5675,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x153; GR3_STR.IDX entry=338; sector=0x44215..0x4423C,audio/extracted/battle/sample_004096.wav
4098,0xCC,ユウキ,MUSIC/GR3_STR.STZ,0x2211E000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x154; GR3_STR.IDX entry=339; sector=0x4423C..0x44250,audio/extracted/battle/sample_004098.wav
4100,0xCD,ユウキ,MUSIC/GR3_STR.STZ,0x22128000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x155; GR3_STR.IDX entry=340; sector=0x44250..0x44264,audio/extracted/battle/sample_004100.wav
4102,0xCF,ユウキ,MUSIC/GR3_STR.STZ,0x22132000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x156; GR3_STR.IDX entry=341; sector=0x44264..0x44278,audio/extracted/battle/sample_004102.wav
4104,0xD0,ユウキ,MUSIC/GR3_STR.STZ,0x2213C000,135168,9707,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x157; GR3_STR.IDX entry=342; sector=0x44278..0x442BA,audio/extracted/battle/sample_004104.wav
4106,0x94;0x95;0x96;0x98;0x99;0x9F,アルフィナ,MUSIC/GR3_STR.STZ,0x2215D000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x158; GR3_STR.IDX entry=343; sector=0x442BA..0x442CE,audio/extracted/battle/sample_004106.wav
4108,0x94;0x95;0x96;0x98;0x99;0x9F,アルフィナ,MUSIC/GR3_STR.STZ,0x22167000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x159; GR3_STR.IDX entry=344; sector=0x442CE..0x442E2,audio/extracted/battle/sample_004108.wav
4110,0x89;0x8A;0x8B;0x8C;0x8D;0x8E;0x8F;0x90;0x91;0x92;0x93;0x9E;0xA2;0xA3,アルフィナ,MUSIC/GR3_STR.STZ,0x22171000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x15A; GR3_STR.IDX entry=345; sector=0x442E2..0x442F6,audio/extracted/battle/sample_004110.wav
4112,0x89;0x8A;0x8B;0x8C;0x8D;0x8E;0x8F;0x90;0x91;0x92;0x93;0x9E;0xA2;0xA3,アルフィナ,MUSIC/GR3_STR.STZ,0x2217B000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x15B; GR3_STR.IDX entry=346; sector=0x442F6..0x4430A,audio/extracted/battle/sample_004112.wav
4114,0xC8,アルフィナ,MUSIC/GR3_STR.STZ,0x22185000,45056,3136,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x15C; GR3_STR.IDX entry=347; sector=0x4430A..0x44320,audio/extracted/battle/sample_004114.wav
4116,0x65;0x66;0x67;0x68;0x69;0x6A;0x6B;0x6C;0x6D;0x6E;0x6F;0x70;0x71;0x72;0x73;0x74;0x75;0x76;0x77;0x7C;0x7D;0x7E;0x7F;0x80;0x81;0x82;0x83;0x84;0x85;0x86;0x87;0x88;0xA0;0xA1,アルフィナ,MUSIC/GR3_STR.STZ,0x22190000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x15D; GR3_STR.IDX entry=348; sector=0x44320..0x44334,audio/extracted/battle/sample_004116.wav
4118,0x71;0x72;0x73;0x74;0x75;0x76;0x77;0x7C;0x7D;0x7E;0x7F;0x80;0x81;0x82;0x83;0x84;0x85;0x86;0x87;0x88;0x9A;0x9B;0x9C;0x9D;0xA0,アルフィナ,MUSIC/GR3_STR.STZ,0x2219A000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x15E; GR3_STR.IDX entry=349; sector=0x44334..0x44348,audio/extracted/battle/sample_004118.wav
4120,0x78;0x79;0x7A;0x7B,アルフィナ,MUSIC/GR3_STR.STZ,0x221A4000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x15F; GR3_STR.IDX entry=350; sector=0x44348..0x4435C,audio/extracted/battle/sample_004120.wav
4122,0x01,アルフィナ,MUSIC/GR3_STR.STZ,0x221AE000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x160; GR3_STR.IDX entry=351; sector=0x4435C..0x44370,audio/extracted/battle/sample_004122.wav
4124,0x02,アルフィナ,MUSIC/GR3_STR.STZ,0x221B8000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x161; GR3_STR.IDX entry=352; sector=0x44370..0x44384,audio/extracted/battle/sample_004124.wav
4126,0x05,アルフィナ,MUSIC/GR3_STR.STZ,0x221C2000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x162; GR3_STR.IDX entry=353; sector=0x44384..0x44398,audio/extracted/battle/sample_004126.wav
4128,0x03,アルフィナ,MUSIC/GR3_STR.STZ,0x221CC000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x163; GR3_STR.IDX entry=354; sector=0x44398..0x443AC,audio/extracted/battle/sample_004128.wav
4130,0x04;0x05;0x06,アルフィナ,MUSIC/GR3_STR.STZ,0x221D6000,40960,2837,24000,1,PSX/PS2 ADPCM,battle,,,PROVEN,GR3.IDX stream_key=0x164; GR3_STR.IDX entry=355; sector=0x443AC..0x443C0,audio/extracted/battle/sample_004130.wav
