event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes
gr3_stream_00a1,0xA1,0,0.000,4.000,アルフィナ,答えが見つかるかもしれない場所だから,答えが見つかるかもしれない場所だから。,答えが見つかるかもしれない場所だから。,NEEDS_AUDIO_REVIEW,그곳이라면 답을 찾을 수 있을지도 모르니까.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base/small agree
gr3_stream_00a1,0xA1,1,4.000,11.000,アルフィナ,私たちがコミュートの一族として生まれてきたそのわけが,私たちがコミュートの一族として生まれてきたその訳が。,私たちがコミュートの一族として生まれてきた、その訳が。,NEEDS_AUDIO_REVIEW,우리가 신인 집안에서 태어난 이유를 말이야.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base/small agree; 神人 terminology follows scenario asset
gr3_stream_00a1,0xA1,2,11.000,14.000,ユウキ,私たち?,私たち?,私たち？,NEEDS_AUDIO_REVIEW,우리라고?,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base/small agree
gr3_stream_00a1,0xA1,3,14.000,19.000,アルフィナ,本当ならコミュートになるはずなのは二三だった,本当なら、コミュートになるはずなのは兄さんだった。,本当なら、コミュートになるはずなのは兄さんだった。,NEEDS_AUDIO_REVIEW,원래 신인이 될 사람은 오빠였어.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,small corrects base 兄さん
gr3_stream_00a1,0xA1,4,19.000,31.000,アルフィナ,でも二三は三年前 / 奇跡の途中で髪を受け入れることを小番だの,でも、兄さんは3年前、儀式の途中で神を受け入れることを拒んだの。 / コミュートの証?ちょっといい?,でも兄さんは三年前、儀式の途中で神を受け入れることを拒んだの。,NEEDS_AUDIO_REVIEW,"하지만 오빠는 3년 전, 의식 도중에 신을 받아들이기를 거부했어.",DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,small resolves base corruption
gr3_stream_00a1,0xA1,5,42.000,45.000,アルフィナ,二三は言ってしまった,,兄さんは行ってしまった。,NEEDS_AUDIO_REVIEW,그리고 오빠는 떠나 버렸어.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base only; wording needs audio
gr3_stream_00a1,0xA1,6,45.000,51.000,アルフィナ,コミュート流してあるこのブロッチだけを残して,,コミュートの証である、このブローチだけを残して。,NEEDS_AUDIO_REVIEW,신인의 증표인 이 브로치만 남기고.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base plus public scene context
gr3_stream_00a1,0xA1,7,52.000,58.000,ユウキ,コミュートの赤し? / ちょっといい,,コミュートの証？ ちょっといい？,NEEDS_AUDIO_REVIEW,신인의 증표라고? 잠깐 봐도 돼?,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,cross-model partial
gr3_stream_00a1,0xA1,8,60.000,68.000,ユウキ,不思議な形をしているな / 丸で鳥の翼みたいだ,不思議な形をしているね / まるで鳥の翼みたいだ,不思議な形をしているね。まるで鳥の翼みたいだ。,NEEDS_AUDIO_REVIEW,신기한 모양이네. 꼭 새의 날개 같아.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base/small agree
gr3_stream_00a1,0xA1,9,68.000,72.000,ユウキ,何があったの?二三に,何があったの? / 兄さんに,何があったの？ 兄さんに。,NEEDS_AUDIO_REVIEW,오빠에게 무슨 일이 있었던 거야?,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,small corrects base
gr3_stream_00a1,0xA1,10,73.000,83.000,アルフィナ,私はコミュートになるのが怖い / 本当は逃げ出してしまいたいくらい,私 / コミュートになるのが怖い,私、コミュートになるのが怖い。,NEEDS_AUDIO_REVIEW,난 신인이 되는 게 무서워.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base/small agree
gr3_stream_00a1,0xA1,11,83.000,89.000,アルフィナ,でも、私がコミュートの一族として生まれたことに,コミュートになるのが怖い / 本当は / 逃げ出してしまいたいくらい,本当は逃げ出してしまいたいくらい。,NEEDS_AUDIO_REVIEW,사실은 도망치고 싶을 정도로.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base/small agree
gr3_stream_00a1,0xA1,12,89.000,105.000,アルフィナ,もしも何か意味があるなら / 私はコミュートの一族として生まれたことに / そこから目を揃したくないの,逃げ出してしまいたいくらい / でも、私がコミュートの一族として生まれたことに、もしも何か意味があるなら、そこから目をそらしたくないの。,でも、私がコミュートの一族として生まれたことに、もしも何か意味があるなら、そこから目をそらしたくないの。,NEEDS_AUDIO_REVIEW,"하지만 내가 신인 집안에서 태어난 데 어떤 의미가 있다면, 거기서 눈을 돌리고 싶지 않아.",DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,small coherent full sentence
gr3_stream_00a1,0xA1,13,105.000,116.000,アルフィナ,アルフィナー / ごめんな / こんなことは有気に話しても仕方ないのに,あの日な。 / ごめんね。こんなことは勇気に話しても仕方ないのに。 / 行けるさ きっと,ごめんね。こんなこと、ユウキに話しても仕方ないのに。,NEEDS_AUDIO_REVIEW,미안해. 유키한테 이런 이야기를 해 봐야 소용없는데.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,small corrects 勇気 name homophone
gr3_stream_00a1,0xA1,14,120.000,126.000,ユウキ,逃げるさ、きった / 俺たちだってついてるんだろ,,行けるさ、きっと。俺たちだってついてるだろ。,NEEDS_AUDIO_REVIEW,"갈 수 있어, 분명히. 우리도 곁에 있잖아.",DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,base/small partial agreement
gr3_stream_00a1,0xA1,15,129.000,132.000,アルフィナ,行き,ゆうき,ユウキ。,NEEDS_AUDIO_REVIEW,유키.,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,small corrects base
gr3_stream_00a1,0xA1,16,136.000,143.000,不明,来るのか,来るのか / はっ,来るのか？,NEEDS_AUDIO_REVIEW,오는 건가?,DRAFT_CONTEXT_REVIEWED,Rendered voice is absent from scenario_standard exact text; adjacent scene/style anchor=SCN_01030401_00740000_0015.,BASE_WHISPER+SMALL_INDEPENDENT+PUBLIC_SCRIPT_CONTEXT+SCENARIO_CONTEXT_ANCHOR:SCN_01030401_00740000_0015,repeated ASR; speaker/wording uncertain
