id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
ENEMY_0002_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,1,,1,0x1A3120,,D5 B5 52 F9,ピコΑ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3000; record_size=0x379
ENEMY_0003_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,2,,2,0x1A34B0,,D5 B5 52 F9,ピコΑ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3380; record_size=0x2D7
ENEMY_0004_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,3,,3,0x1A37A0,,D5 B5 52 F9,ピコΑ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3680; record_size=0x40A
ENEMY_0005_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,4,,4,0x1A3BB0,,D5 B5 52 F9,ピコΑ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3B00; record_size=0x3BA
ENEMY_0006_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,5,,5,0x1A3FF0,,D5 B5 53 F9,ピコΓ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3F00; record_size=0x561
ENEMY_0007_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,6,,6,0x1A4570,,D5 B5 53 F9,ピコΓ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A4480; record_size=0x470
ENEMY_0008_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,7,,7,0x1A4A10,,D5 B5 54 F9,ピコΩ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A4900; record_size=0x3AD
ENEMY_0009_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,8,,8,0x1A4DE0,,BE D8 C9 ED 55 F9,ゼプトルΦ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A4D00; record_size=0x462
ENEMY_0010_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,9,,9,0x1A5280,,BE D8 C9 ED 54 F9,ゼプトルΩ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A5180; record_size=0x462
ENEMY_0011_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,10,,10,0x1A5700,,BE D8 C9 ED 54 F9,ゼプトルΩ,UNTRANSLATED,UNASSIGNED,,[],UNTRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A5600; record_size=0x38E
