index,jp_text,kr_text
0,ユウキ,유키
1,アルフィナ,알피나
2,ミランダ,미란다
3,アロンソ,알론소
4,ウル,울
5,ダーナ,다나
6,ヘクト,헥트
7,ロッツ,롯츠
8,ビアンカ,비앙카
9,シュミット,슈미트
10,エメリウス,에메리우스
11,グラディス,글라디스
12,アンドレじいさん,안드레할아버지
13,ソフィー,소피
14,エネット,에넷
15,ウォルトじいさん,월트할아버지
16,ポリーおばさん,폴리아줌마
17,ミック村長,믹촌장
18,ウィル,윌
19,アニキ,형님
20,ドリスばあさん,도리스할머니
21,エド,에드
22,グレゴー親方,그레고대장
23,ノブ,노브
24,メイおばさん,메이아줌마
25,ガシャンおじさん,가샨아저씨
26,コッペ,코페
27,？？？,미상
28,チャック,척
29,ヒマそうな女学生,한가한여학생
30,生意気そうな少年,건방진소년
31,紙芝居屋,그림꾼
32,紳士的な老人,신사노인
33,似顔絵描き,초상화가
34,少年探偵オットー,소년탐정오토
35,酒屋の店員,술집점원
36,寂しげなばあさん,외로운할머니
37,町の少女,마을소녀
38,町の少年,마을소년
39,サム,샘
40,おどおどした少女,소심한소녀
41,家具屋の店番,가구점주인
42,待ちぼうけの女,기다리는여자
43,何かを見ている女,뭔가보는여자
44,買い物する女,쇼핑중인여자
45,やせた船乗り,마른선원
46,大柄な男,덩치남
47,くたびれた漁師,지친어부
48,うろついている男,배회하는남자
49,マッチョな水夫,근육질선원
50,ずぶぬれの漁師,젖은어부
51,目つきの鋭い老人,눈매사나운노인
52,そわそわおじさん,불안한아저씨
53,ノーラ,노라
54,エセル,에셀
55,ジュード,주드
56,賭博場の漁師,도박장어부
57,山奥から来た客,산골손님
58,ビアンカの手下Ａ,비앙카부하갑
59,ビアンカの手下Ｂ,비앙카부하을
60,脂ぎった中年男,기름진중년남
61,パシリの少年,심부름소년
62,立ち寄った水夫,들른선원
63,旅人,길손
64,クライド,클라이드
65,ガラの悪い男,불량한남자
66,借金まみれの男,빚쟁이남자
67,収集家のばあさん,수집가할머니
68,初老の紳士,초로신사
69,シバ,시바
70,魚屋の青年,생선집청년
71,エビ屋の少年,새우집소년
72,買い物している娘,쇼핑중인처녀
73,あやしげな男,수상한남자
74,ヅラの権威,가발권위자
75,気さくな青年,붙임성청년
76,果物屋のババア,과일집할머니
77,紙芝居屋の常連,그림연극단골
78,有閑マダム,한가한부인
79,生意気なボンボン,건방진도련님
80,経済界のドン,경제계거물
81,サナギのビリー,번데기빌리
82,ほがらかな女,명랑한여자
83,島育ちの少年,섬출신소년
84,快活な男,쾌활남
85,大声で話す女,목소리큰여자
86,不安げに話す男,불안한남자
87,おびえている女,겁먹은여자
88,ひそひそと話す女,소곤대는여자
89,営業マン,영업사원
90,家具屋の婆さん,가구점할머니
91,果物屋の息子,과일집아들
92,花屋,꽃집
93,看板屋,간판집
94,看板屋の奥さん,간판집아내
95,観光客,관광객
96,客船の受け付け,여객선접수원
97,橋の上の女,다리위여자
98,橋の上の男,다리위남자
99,港のおばさん,항구아줌마
100,酒屋のおじさん,술집아저씨
101,やせこけた男,깡마른남자
102,洗濯屋の婆さん,세탁소할머니
103,たくましい船乗り,건장한선원
104,宿屋の女将,여관여주인
105,植物学者の老人,식물학자노인
106,船酔いトーマス,뱃멀미토머스
107,心配している水夫,걱정하는선원
108,ニーナ,니나
109,おびえている男,겁먹은남자
110,勇敢な女,용감녀
111,いそがしい荷役夫,바쁜짐꾼
112,せわしない買物客,바쁜쇼핑객
113,八百屋セニョール,채소가게세뇨르
114,ジェリィ,제리
115,メンディ海運社員,멘디해운사원
116,ロブ,롭
117,エマ,에마
118,陽気なおばさん,명랑한아줌마
119,笑顔の少年,웃는소년
120,一息ついている女,쉬고있는여자
121,肉屋のオヤジ,정육점아저씨
122,神殿の衛兵,신전위병
123,女官,시녀
124,鉄球を見る神官,철구보는신관
125,神官,신관
126,聖歌隊の楽長,성가대악장
127,司教,주교
128,厳しい女官,엄격한시녀
129,世話役の神官,시중드는신관
130,いきどおる神官,분노한신관
131,微笑んでいる神官,미소짓는신관
132,落ち着いた女官,침착한시녀
133,騒がしい女官,소란한시녀
134,司書のおじいさん,도서관할아버지
135,優しい女官,다정한시녀
136,衛兵,위병
137,ティカ,티카
138,隊長,대장
139,兵士,병사
140,ナアノ,나아노
141,ナアノの祖父,나아노할배
142,水場の女,물가여자
143,大樹を見る男,거목보는남자
144,彫刻家,조각가
145,よどんだ目の男,흐린눈의남자
146,探し回る老人,수색중노인
147,執事,집사
148,一人暮らしの老人,독거노인
149,弱っている老人,쇠약한노인
150,息子の嫁,며느리
151,老人の息子,노인의아들
152,粉ひきのおばさん,방앗간아줌마
153,粉ひきの息子,방앗간아들
154,優しげなおばさん,다정한아줌마
155,ダーナのおばさん,다나아줌마
156,頑固そうな老人,완고한노인
157,おだやかな婆さん,온화한할머니
158,座り続ける男,계속앉은남자
159,座り続ける男の妻,앉은남자의아내
160,座り続ける男の娘,앉은남자의딸
161,楽器屋,악기점
162,サイード,사이드
163,殺人音源サイード,살인음원사이드
164,買い物おばさん,쇼핑아줌마
165,服屋,옷집
166,総菜屋,반찬집
167,ルイリ,루이리
168,お祈りする子供,기도하는아이
169,のんびりとした男,느긋한남자
170,バクラの少女,바클라소녀
171,猟師の青年,사냥꾼청년
172,族長の戦士,족장전사
173,シャヒナばあさん,샤히나할머니
174,ヨウトさまの使徒,요우토의사도
175,バイトの娘,알바소녀
176,営業ブチョー,영업부장
177,トンクル,통클
178,諦めた飛行機乗り,포기한비행사
179,飛行機乗り,비행사
180,村の長,촌장
181,涙目の飛行機乗り,울먹이는비행사
182,ラフリドの少女,라프리드소녀
183,チキンレースの王,치킨레이스왕
184,ベテラン猟師,베테랑사냥꾼
