disc,movie_id,segment_index,audio_start_ms,audio_end_ms,chunk_start,chunk_end,source_start_offset,japanese,status,avg_logprob,no_speech_prob,model,notes
1,GRM02,0,0,30000,0,28,0x800,このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作っているのが、このような作品を作,AUTO_TRANSCRIBED_REVIEW,-0.3302,0.6363,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,1,30000,34000,28,32,0x15AD000,このようなアイスがあるので、,AUTO_TRANSCRIBED_REVIEW,-0.7162,0.7813,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,2,34000,38000,32,36,0x18C3000,このようなアイスがあるので、,AUTO_TRANSCRIBED_REVIEW,-0.7162,0.7813,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,3,38000,42000,36,41,0x1BD9000,アイスがあるので、,AUTO_TRANSCRIBED_REVIEW,-0.7162,0.7813,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,4,42000,45000,41,44,0x1FB4800,アイスがあるので、,AUTO_TRANSCRIBED_REVIEW,-0.7162,0.7813,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,5,45000,49000,44,48,0x2205000,アイスがあるので、,AUTO_TRANSCRIBED_REVIEW,-0.7162,0.7813,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,6,49000,53000,48,52,0x251B000,アイスがあるので、,AUTO_TRANSCRIBED_REVIEW,-0.7162,0.7813,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,7,53000,57000,52,56,0x2831000,アイスがあるので、,AUTO_TRANSCRIBED_REVIEW,-0.7162,0.7813,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,8,57000,61000,56,60,0x2B47000,このようなアイスは、このようなアイスは、,AUTO_TRANSCRIBED_REVIEW,-0.7917,0.8548,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
1,GRM02,9,61000,63000,60,62,0x2E5D000,アイスは、,AUTO_TRANSCRIBED_REVIEW,-0.7917,0.8548,tiny,Whisper movie screening; audio-only timeline is not yet video presentation time.
