id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
SYS_SAVE_0001,SYSTEM,save,FIELD.BIN,,field-save-title-000cc6a0,,0,0x000CC6A0,,83 4F 83 89 83 93 83 66 83 42 83 41 82 52 83 5A 81 5B 83 75 83 66 81 5B 83 5E 00,グランディア３セーブデータ,그란디아　３　저장　데이터,82 AE 90 82 83 75 82 BB 81 40 82 52 81 40 82 C7 82 D2 81 40 82 E2 82 B6 82 C0,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=32; max_encoded_bytes=31; line_breaks=0,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0001,SYSTEM,menu,FIELD.BIN,,field-ui-000ce768,,1,0x000CE768,,83 67 83 62 83 76 83 81 83 6A 83 85 81 5B 00,トップメニュー,메인메뉴　,83 92 82 D8 83 92 8F 60 81 40,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0; spacing=trailing_fullwidth_padding,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0002,SYSTEM,menu,FIELD.BIN,,field-ui-000ce778,,2,0x000CE778,,83 76 83 8C 83 43 8E 9E 8A D4 00,プレイ時間,플레이시간　,92 E4 8F 73 82 B6 82 D4 90 B0 81 40,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0; spacing=trailing_fullwidth_padding,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0003,SYSTEM,menu,FIELD.BIN,,field-ui-000ce788,,3,0x000CE788,,8C BB 8D DD 92 6E 00,現在地,위치,8F BB 88 CC,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=8; max_encoded_bytes=7; line_breaks=0,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0004,SYSTEM,menu,FIELD.BIN,,field-ui-000ce790,,4,0x000CE790,,83 4C 83 83 83 89 83 4E 83 5E 81 5B 00,キャラクター,캐릭터,93 73 92 43 82 C0,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0005,SYSTEM,menu,FIELD.BIN,,field-ui-000ce7a0,,5,0x000CE7A0,,96 82 96 40 82 F0 8E 67 82 A4 00,魔法を使う,마법사용　,82 A7 93 E2 82 CA 94 5A 81 40,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0; spacing=trailing_fullwidth_padding,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0006,SYSTEM,menu,FIELD.BIN,,field-ui-000ce7b0,,6,0x000CE7B0,,91 95 94 F5 95 CF 8D 58 00,装備変更,장비변경　,82 D2 82 E4 94 E1 91 71 81 40,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0; spacing=trailing_fullwidth_padding,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0007,SYSTEM,menu,FIELD.BIN,,field-ui-000ce7c0,,7,0x000CE7C0,,83 58 83 65 81 5B 83 5E 83 58 8A 6D 94 46 00,ステータス確認,상태확인　,83 5A 89 B3 8F C6 82 D8 81 40,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0; spacing=trailing_fullwidth_padding,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0008,SYSTEM,menu,FIELD.BIN,,field-ui-000ce7d0,,8,0x000CE7D0,,83 70 81 5B 83 65 83 42 81 5B 00,パーティー,파티,8E 81 8B 99,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
SYS_MENU_0009,SYSTEM,menu,FIELD.BIN,,field-ui-000ce7e0,,9,0x000CE7E0,,93 B9 8B EF 82 F0 8E 67 82 A4 00,道具を使う,아이템사용　,82 BB 82 B6 8F 82 82 CA 94 5A 81 40,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; slot_size=16; max_encoded_bytes=15; line_breaks=0; spacing=trailing_fullwidth_padding,Centralized from the approved SYSTEM translation scope. Encoding uses the central Hangul map; runtime verification remains pending.
