id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
BATTLE_TUTORIAL_CMD_0001,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_1,,0,0x01755B,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0002,BATTLE_UI,tutorial_generic_critical,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_1,,1,0x01755F,,B1 EC C7 A5 AD ED,クリティカル,치명타,3F F3 E5 E8 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0003,BATTLE_UI,tutorial_character_action,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_1,,2,0x017566,,29 F1 2F F9 AC F2,飛燕斬,비연참,98 83 F3 C0 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0004,BATTLE_UI,tutorial_generic_retreat,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_1,,3,0x01756D,,47 F5 E8 F4,撤退,퇴각,8F F9 E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/4 bytes.
BATTLE_TUTORIAL_CMD_0005,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_2,,4,0x017572,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0006,BATTLE_UI,tutorial_generic_critical,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_2,,5,0x017576,,B1 EC C7 A5 AD ED,クリティカル,치명타,3F F3 E5 E8 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0007,BATTLE_UI,tutorial_character_action,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_2,,6,0x01757D,,DF CB BB C7 A5 EA AE 27,マナスティンガー,마나 스팅어,5C 50 20 BC 9A F9 69,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 7/8 bytes.
BATTLE_TUTORIAL_CMD_0008,BATTLE_UI,tutorial_generic_retreat,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_2,,7,0x017586,,47 F5 E8 F4,撤退,퇴각,8F F9 E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/4 bytes.
BATTLE_TUTORIAL_CMD_0009,BATTLE_UI,tutorial_generic_combo,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_3,,8,0x01758B,,B5 EA DD,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/3 bytes.
BATTLE_TUTORIAL_CMD_0010,BATTLE_UI,tutorial_generic_critical,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_3,,9,0x01758F,,B1 EC C7 A5 AD ED,クリティカル,치명타,3F F3 E5 E8 F7,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 5/6 bytes.
BATTLE_TUTORIAL_CMD_0011,BATTLE_UI,tutorial_character_action,SYS/GR3.MDZ,GR3.MDT,tutorial_command_block_3,,10,0x017596,,29 F1 EC F2 9C F3,飛翔脚,비상각,98 BD E0,,[],TRANSLATED,NO,2026-08-25 전투 튜토리얼 런타임 신고 반영.,PROVEN: fixed NUL-terminated GR3 tutorial command slot; encoded length 3/6 bytes.
