id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
SCN_D1_00000200_00740000_0001,SCENARIO,scenario_message,DATA/00000200.MDZ,DATA/00000200.MDT,0x00740000,00000200,0,0x00156254,0x0015624f,5f f0 d6 f0 c1 8c bd 08 dd 47 27 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"回復をする
セーブをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00000200_00740000_0002,SCENARIO,scenario_message,DATA/00000200.MDZ,DATA/00000200.MDT,0x00740000,00000200,1,0x0015631b,0x00156316,5f f0 d6 f0 c1 8c bd 08 dd 47 27 f0 c1 8c bd 08 dd e4 e9 c4 e4 28 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"回復をする
セーブをする
セットアップをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":30,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00000200_00740000_0003,SCENARIO,scenario_message,DATA/00000200.MDZ,DATA/00000200.MDT,0x00740000,00000200,2,0x0015641c,0x00156417,dd 47 27 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"セーブをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":11,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00000200_00740000_0004,SCENARIO,scenario_message,DATA/00000200.MDZ,DATA/00000200.MDT,0x00740000,00000200,3,0x0015649c,0x00156497,dd 47 27 f0 c1 8c bd 08 dd e4 e9 c4 e4 28 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"セーブをする
セットアップをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":18,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00000201_00740000_0001,SCENARIO,scenario_message,DATA/00000201.MDZ,DATA/00000201.MDT,0x00740000,00000201,0,0x00176954,0x0017694f,5f f0 d6 f0 c1 8c bd 08 dd 47 27 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"回復をする
セーブをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00000201_00740000_0002,SCENARIO,scenario_message,DATA/00000201.MDZ,DATA/00000201.MDT,0x00740000,00000201,1,0x00176a1b,0x00176a16,5f f0 d6 f0 c1 8c bd 08 dd 47 27 f0 c1 8c bd 08 dd e4 e9 c4 e4 28 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"回復をする
セーブをする
セットアップをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":30,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00000201_00740000_0003,SCENARIO,scenario_message,DATA/00000201.MDZ,DATA/00000201.MDT,0x00740000,00000201,2,0x00176b1c,0x00176b17,dd 47 27 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"セーブをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":11,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00000201_00740000_0004,SCENARIO,scenario_message,DATA/00000201.MDZ,DATA/00000201.MDT,0x00740000,00000201,3,0x00176b9c,0x00176b97,dd 47 27 f0 c1 8c bd 08 dd e4 e9 c4 e4 28 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"セーブをする
セットアップをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":18,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00008000_00740000_0001,SCENARIO,scenario_message,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,0,0x00049374,0x0004936f,5f f0 d6 f0 c1 8c bd 08 dd 47 27 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"回復をする
セーブをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
SCN_D1_00008000_00740000_0002,SCENARIO,scenario_message,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,1,0x0004943b,0x00049436,5f f0 d6 f0 c1 8c bd 08 dd 47 27 f0 c1 8c bd 08 dd e4 e9 c4 e4 28 f0 c1 8c bd 08 b6 b3 bd 0d ff 00,"回復をする
セーブをする
セットアップをする
やめる",,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":30,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked.
