id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
BATTLE_CMD_0001,BATTLE,command,BATTLE.BIN,,0,,0,0x093BE8,,B5 EA DD 00 00 00 00 00 00 00,コンボ,콤보,A6 F6 89,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0002,BATTLE,command,BATTLE.BIN,,1,,1,0x093BF2,,38 F0 39 F0 28 3F F0 34 F3 00,防御・回避,방어·회피,71 F9 69 28 CC C9,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0003,BATTLE,command,BATTLE.BIN,,2,,2,0x093BFC,,47 F5 E8 F4 00 00 00 00 00 00,<47F5><E8F4>,퇴각,8F F9 E0,,"[""CUSTOM_CODE:47F5"",""CUSTOM_CODE:E8F4""]",TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,사용자 전투 UI 확인으로 원문 명령의 의미를 퇴각으로 확정.
BATTLE_CMD_0004,BATTLE,command,BATTLE.BIN,,3,,3,0x093C06,,30 F1 EB F0 00 00 00 00 00 00,作戦,작전,49 F9 BB,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0005,BATTLE,command,BATTLE.BIN,,4,,4,0x093C10,,57 F0 58 F0 00 00 00 00 00 00,道具,도구,4E 9D,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0006,BATTLE,command,BATTLE.BIN,,5,,5,0x093C1A,,B1 EC C7 A5 AD ED 00 00 00 00,クリティカル,크리티컬,44 F7 6A A9 F3 C3 F5,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0007,BATTLE,command,BATTLE.BIN,,6,,6,0x093C24,,32 F1 33 F1 54 F0 E9 F0 00 00,武器使用,무기사용,97 6D 7E A7 F6,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0008,BATTLE,command,BATTLE.BIN,,7,,7,0x093C2E,,4A F0 4B F0 00 00 00 00 00 00,魔法,마법,5C 78 F9,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0009,BATTLE,command,BATTLE.BIN,,8,,8,0x093C38,,4C F0 4D F0 4E F0 00 00 00 00,必殺技,필살기,A1 F7 E8 6D,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_CMD_0010,BATTLE,command,BATTLE.BIN,,9,,9,0x093C42,,AC 27 D7 00 00 00 00 00 00 00,オーブ,오브,90 6F F3,,[],TRANSLATED,NO,명령 슬롯은 10바이트 고정 배열이다.,BATTLE_COMMAND_TABLE.csv confirmed.
BATTLE_MSG_0001,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,0,0x090DA8,,4F F2 22 F1,実行,실행,53 F8 A5,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0002,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,1,0x090DB0,,30 F1 EB F0,作戦,작전,49 F9 BB,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0003,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,2,0x091688,,36 F0 37 F0,攻撃,공격,D8 F5 B3 F4,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
BATTLE_MSG_0004,BATTLE,ui_message,BATTLE.BIN,,BATTLE_TEXT_POOL,,3,0x09168D,,3F F0 B6 F0,回復,회복,CC D0,,[],TRANSLATED,NO,전투 UI/타깃/작전 설명 문자열.,decode_coverage=1.000
