event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes
gr3_stream_0081,0x81,0,0.000,7.000,ユウキ,な、聞いてくれしみっと。これでも俺、飛行機のりなんだ。 ふらっ!,な、聞いてくれ、シミット。 これでも俺、飛行機のりなんだ。 ふら!,なあ、聞いてくれ、シュミット。これでも俺、飛行機乗りなんだ。ほら！,NEEDS_AUDIO_REVIEW,"저기, 내 말 좀 들어봐, 슈미트. 이래 봬도 나, 비행기 조종사야. 봐!",NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0081,0x81,1,7.000,9.000,ユウキ,はっ!,,はっ！,NEEDS_AUDIO_REVIEW,하앗!,NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0081,0x81,2,9.000,12.000,シュミット,勝負くれてるなぁ。,処分くれてるな。 以下こそ、本物のフライトユニットってのはな。 こういうもんだ。,,HALLUCINATION_REMOVED_PENDING_SCENE,,HOLD_NO_RELIABLE_JAPANESE,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,base와 small이 서로 다른 반복 환각을 냈거나 small initial_prompt 이름 열거만 존재함. scenario_standard.csv 및 translation.db SCENARIO에서도 해당 장면 원문 일치 행 없음. scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.,신뢰할 실제 대사 증거가 없어 비웠음. 장면 청취 전 자막 생성 금지.
gr3_stream_0081,0x81,3,12.000,19.000,シュミット,いいかこぞ。本物のフライトユニットってのはなぁ。,処分くれてるな。 以下こそ、本物のフライトユニットってのはな。 こういうもんだ。,いいか、小僧。本物のフライトユニットってのはなあ。,NEEDS_AUDIO_REVIEW,"잘 봐라, 꼬마. 진짜 플라이트 유닛이란 건 말이다.",NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0081,0x81,4,19.000,22.000,シュミット,こういうもんだ。,処分くれてるな。 以下こそ、本物のフライトユニットってのはな。 こういうもんだ。 / んん,こういうもんだ。,NEEDS_AUDIO_REVIEW,바로 이런 거다.,NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0081,0x81,5,23.000,25.000,ユウキ,うーん。,んっ,うーん。,NEEDS_AUDIO_REVIEW,으음.,NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0081,0x81,6,28.000,31.000,ユウキ,すげー!,すげー!,すげえ！,NEEDS_AUDIO_REVIEW,대단해!,NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0081,0x81,7,31.000,34.000,ユウキ,あれ?,あれ?,あれ？,NEEDS_AUDIO_REVIEW,어라?,NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0081,0x81,8,34.000,37.000,ユウキ,しみっと?,シミット?,シュミット？,NEEDS_AUDIO_REVIEW,슈미트?,NEEDS_AUDIO_REVIEW,슈미트 공방에서 유키가 자신의 플라이트 유닛을 보여 주는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
gr3_stream_0082,0x82,0,0.000,14.000,ユウキ／シュミット,エーイ。そっか!この期待は、主翼と美翼の角度を微妙に変えることで、用力を得ると同時に専回性能を高めてるんだ!こぞ!,エーイ。 / そっか!この機体は、主翼と美翼の角度を微妙に変えることで、 / 用力を得ると同時に戦界性能を高めてるんだ! / こそ。飛行機の軽減は?,へえ、そっか！ この機体は、主翼と尾翼の角度を微妙に変えることで、揚力を得ると同時に旋回性能を高めてるんだ！／小僧、飛行機の経験は？,NEEDS_AUDIO_REVIEW,"아, 그렇구나! 이 기체는 주익과 미익의 각도를 미세하게 바꿔 양력을 얻는 동시에 선회 성능도 높이고 있어! / 꼬마, 비행기를 만들어 본 적은 있나?",NEEDS_AUDIO_REVIEW,슈미트가 유키의 비행기 제작 경험과 20호기 설계도를 확인하는 장면. SCENARIO_ASSET_ID=NONE.,"base와 small의 공통 청취 결과를 우선하고 공개 영문 스크립트는 장면 문맥 보조로만 사용. scenario_standard.csv 5,916행과 translation.db SCENARIO 6,552행을 정규화 fuzzy·장면 순서로 대조했으나 신뢰 가능한 동일 대사 행 없음(일반어 부분일치 후보는 오매칭으로 배제). scenario_match_candidates.csv의 top-8 후보도 확인했으나 같은 source_file의 연속 장면 클러스터가 형성되지 않아 전부 비동일 대사로 판정.",장면 확인 전 초안. 타임코드·화자·어미는 런타임 검증 필요. 기존 시나리오 자산 재사용 매치가 없으므로 이 한국어는 확정 번역이 아닌 청취 검수용 문맥 초안이다.
