event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes
gr3_stream_009e,0x9E,0,12.460,18.420,ダーナ,,"今から私たちが向かうのは / バクラの民にとって 禁断の地","今から私たちが向かうのは、バクラの民にとって禁断の地。",MANUAL_AUDIO_SCENE_REVIEW,"지금부터 우리가 향할 곳은 바쿠라 사람들에게 금단의 땅이야.",DRAFT_CONTEXT_REVIEWED,헬 아셀 출발 전 다나와 루이리가 화해하는 장면.,좌·우 채널 공통 전사와 Whisper-small 단어 경계를 교차 검수.,0~12초 자동 환각을 제거하고 실제 12.66초 발화부터 채용.
gr3_stream_009e,0x9E,1,19.120,22.140,ダーナ,,"せめて あの子にだけは","せめて、あの子にだけは……",MANUAL_AUDIO_SCENE_REVIEW,"적어도 그 아이에게만은……",DRAFT_CONTEXT_REVIEWED,다나가 동생 루이리를 걱정하는 독백.,양 채널 공통 전사와 장면 순서 교차 검수.,말줄임을 보존.
gr3_stream_009e,0x9E,2,23.140,24.240,ルイリ,,"姉さん","姉さん。",MANUAL_AUDIO_SCENE_REVIEW,"언니.",DRAFT_CONTEXT_REVIEWED,루이리가 다나를 부르며 등장하는 장면.,양 채널 23.34~24.04초 공통 발화.,화자 전환점으로 독립 큐 처리.
gr3_stream_009e,0x9E,3,28.980,30.180,ダーナ,,"姉さん / ルイリ","ルイリ……",MANUAL_AUDIO_SCENE_REVIEW,"루이리……",DRAFT_CONTEXT_REVIEWED,다나가 동생을 발견하고 이름을 부르는 장면.,화자 문맥과 후속 대화 순서를 교차 검수.,29.18초 이름 발화만 채용.
gr3_stream_009e,0x9E,4,30.360,37.300,ダーナ,,"ルイリ / あのね、ルイリ、私","あのね、ルイリ。私……",MANUAL_AUDIO_SCENE_REVIEW,"있잖아, 루이리. 나……",DRAFT_CONTEXT_REVIEWED,다나가 출발 사실을 말하려다 머뭇거리는 장면.,좌·우 채널에서 30.56초 이름과 33.72초 후속 발화를 확인.,침묵을 포함한 한 문맥 큐로 결합.
gr3_stream_009e,0x9E,5,38.880,42.820,ルイリ,,"行くのね、ヘルアセルエ","行くのね、ヘルアセルへ。",MANUAL_AUDIO_SCENE_REVIEW,"헬 아셀로 가는 거지?",DRAFT_CONTEXT_REVIEWED,루이리가 다나의 목적지를 먼저 말하는 장면.,양 채널 공통 전사와 고유명사 표기를 교차 검수.,ASR 가타카나 종결을 조사 へ로 교정.
gr3_stream_009e,0x9E,6,44.980,49.120,ルイリ,,"信じてたわ、いつかこうなるって","信じてたわ。いつかこうなるって。",MANUAL_AUDIO_SCENE_REVIEW,"믿고 있었어. 언젠가 이렇게 될 거라고.",DRAFT_CONTEXT_REVIEWED,루이리가 다나가 언젠가 나아갈 것을 믿었다고 말하는 장면.,좌·우 채널 공통 전사와 장면 기록 교차 검수.,문장 경계만 정리.
gr3_stream_009e,0x9E,7,49.960,51.180,ダーナ,,"ルイリ","ルイリ……",MANUAL_AUDIO_SCENE_REVIEW,"루이리……",DRAFT_CONTEXT_REVIEWED,다나가 감정에 북받쳐 동생 이름을 부르는 장면.,양 채널 50.16~50.98초 공통 발화.,말줄임을 보존.
gr3_stream_009e,0x9E,8,53.200,55.740,ルイリ,,"ずっと逆らってばかりでごめんなさい","ずっと逆らってばかりでごめんなさい。",MANUAL_AUDIO_SCENE_REVIEW,"계속 반항만 해서 미안해.",DRAFT_CONTEXT_REVIEWED,루이리가 자신의 반항을 사과하는 장면.,양 채널 공통 전사.,기존 避かれて 오인식을 逆らって로 교정.
gr3_stream_009e,0x9E,9,56.940,61.940,ルイリ,,"でも私、心を閉ざした姉さんを見ているのが辛かったの。","でも私、心を閉ざした姉さんを見ているのが辛かったの。",MANUAL_AUDIO_SCENE_REVIEW,"하지만 마음을 닫은 언니를 지켜보는 게 괴로웠어.",DRAFT_CONTEXT_REVIEWED,루이리가 다나의 닫힌 마음을 지켜보기 괴로웠다고 고백하는 장면.,좌·우 채널 완전 일치 전사.,가독성을 위해 한국어를 2줄로 배치.
gr3_stream_009e,0x9E,10,63.320,64.520,ルイリ,,"だから…","だから……",MANUAL_AUDIO_SCENE_REVIEW,"그래서……",DRAFT_CONTEXT_REVIEWED,루이리가 반항한 이유를 말끝 흐리는 장면.,양 채널 63.52~64.32초 공통 발화.,후속 화자 전환과 분리.
gr3_stream_009e,0x9E,11,64.520,70.400,ダーナ,,"届いてたわ。あなたの気持ちは…","届いてたわ。あなたの気持ちは……",MANUAL_AUDIO_SCENE_REVIEW,"전해졌어. 네 마음은……",DRAFT_CONTEXT_REVIEWED,다나가 루이리의 마음을 알고 있었다고 답하는 장면.,양 채널 공통 전사와 장면 기록 교차 검수.,일본어 도치 어순의 정서를 살려 번역.
gr3_stream_009e,0x9E,12,70.000,74.860,ダーナ,,"あなたとアルフィナさんが思い出させてくれたの。","あなたとアルフィナさんが思い出させてくれたの。",MANUAL_AUDIO_SCENE_REVIEW,"너와 알피나 씨가 떠올리게 해 줬어.",DRAFT_CONTEXT_REVIEWED,다나가 루이리와 알피나 덕분에 과거의 마음을 되찾았다고 말하는 장면.,좌·우 채널 공통 전사.,고유명사 표기 교정.
gr3_stream_009e,0x9E,13,75.720,81.140,ダーナ,,"ひたむきに愛を信じてた、あの頃の私を…","ひたむきに愛を信じてた、あの頃の私を……",MANUAL_AUDIO_SCENE_REVIEW,"한결같이 사랑을 믿었던 그 시절의 나를……",DRAFT_CONTEXT_REVIEWED,다나가 과거의 자신을 떠올린 장면.,양 채널 공통 전사와 장면 맥락 교차 검수.,한국어 2줄 배치.
gr3_stream_009e,0x9E,14,81.240,82.440,ルイリ,,"姉さん","姉さん……",MANUAL_AUDIO_SCENE_REVIEW,"언니……",DRAFT_CONTEXT_REVIEWED,루이리가 화해한 다나를 바라보며 부르는 장면.,양 채널 81.44~82.30초 공통 발화.,감정적 말줄임을 보존.
