mdt,scene_id,record_id,resource_id,class,subtype,message_id,message_header_offset,message_text_offset,window,window_size,raw_hex,exact_hash,structure_hash,prefix_hex,suffix_hex,observed_control_bytes
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0001,0x002A957F,0x002A9584,pre32,23,05 00 06 00 00 a6 95 0f 00 10 30 c7 00 0d 09 ff ff ff ff 60 00 3c 00,8e1ef8e3d5485639f71204f9124126b042dd7917b235eecb3b7b6de435b6842b,f8ba417c5aac602f8c5777df4a6e9bfb1eb91f58cd815dedf7b42c62d9c59ea1,05 00 06 00 00 a6 95 0f,ff ff ff ff 60 00 3c 00,05 00 06 00 00 0F 00 10 00 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0001,0x002A957F,0x002A9584,pre16,16,0f 00 10 30 c7 00 0d 09 ff ff ff ff 60 00 3c 00,497808cbd1ee68b7489d9a6a23eba1748267e449dee40a4a89c297a130a9b6fd,41a0bca37514aaf45edbde71f8b537d878559c56c6d25cb79e4da6820470af2f,0f 00 10 30 c7 00 0d 09,ff ff ff ff 60 00 3c 00,0F 00 10 00 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0001,0x002A957F,0x002A9584,pre8,8,ff ff ff ff 60 00 3c 00,a87be062db8682942754163239dcefbc7bbc5645cb5fcbff23dd61ddd8f1159b,0b0f7083368ec398fe7e10c3d3f1e6e78331901e507131a7ecdf1fa1327f45a2,ff ff ff ff 60 00 3c 00,ff ff ff ff 60 00 3c 00,FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0001,0x002A957F,0x002A9584,message_header,5,02 0e 00 01 00,c9cdd2e777e88b7eaa71a5c17bacaccdb98eef9b2d3efca3b78ce093f16222bb,b008d73242dd422350d98a563be9519a9716f2bf098f1f24c1b777602ca0410f,02 0e 00 01 00,02 0e 00 01 00,02 0E 00 01 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0001,0x002A957F,0x002A9584,post8,8,05 00 02 04 00 00 00 00,226540b97cce2cf214117ae84be2e3a7d71230cc521474f3083e5949642ee3dd,aaee3efb3c01d0663c56b4947b76ccf6e19237a0d49a1d936344750a67c89b2a,05 00 02 04 00 00 00 00,05 00 02 04 00 00 00 00,05 00 02 04 00 00 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0001,0x002A957F,0x002A9584,post16,16,05 00 02 04 00 00 00 00 00 10 30 52 00 1f 09 d2,edb33dee97fd4574b14cab045544a0eb78158addd617611224173494d1e6c1c3,03845d78d02920273c15d39204e6c2abfc306b2c33c511c1dda3ca1e0dcadcae,05 00 02 04 00 00 00 00,00 10 30 52 00 1f 09 d2,05 00 02 04 00 00 00 00 00 10 00 1F 09
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0001,0x002A957F,0x002A9584,post32,32,05 00 02 04 00 00 00 00 00 10 30 52 00 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02,ecaed563891dd425d6f4eee53de4494271dbac3419f2304652baa0bfba7c74ae,46ddc29ac41199237d910f59bf4cf50986c622c3249c21570efd25e2f7ccc6e6,05 00 02 04 00 00 00 00,00 00 00 00 00 00 00 02,05 00 02 04 00 00 00 00 00 10 00 1F 09 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0002,0x002A9646,0x002A964B,pre32,32,00 00 00 10 30 c6 00 02 02 05 00 05 00 00 a6 95 0f 00 10 30 c0 01 0d 09 ff ff ff ff 90 00 50 00,592328dae25fdc549689b743976e01c5628186e4a223e4bfab1fdd722c92ece0,936a682d3fc57c45cbe67adce4534fd14b33f8833b076b100bdc73a082e9aafb,00 00 00 10 30 c6 00 02,ff ff ff ff 90 00 50 00,00 00 00 10 00 02 02 05 00 05 00 00 0F 00 10 01 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0002,0x002A9646,0x002A964B,pre16,16,0f 00 10 30 c0 01 0d 09 ff ff ff ff 90 00 50 00,3500cd1ef5d9316d62f0094b086c3d2109ace437abb255ff772334e4f9b5b138,6d749af5ce4e909ac7b094da82a99a267e926a709c8d38698f4a74f71817dd3a,0f 00 10 30 c0 01 0d 09,ff ff ff ff 90 00 50 00,0F 00 10 01 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,SCN_00030100_00740000_0002,0x002A9646,0x002A964B,pre8,8,ff ff ff ff 90 00 50 00,4c86fda221544eb521ac24ac549dca6ea4b04af3521ab754cd61f43acc580ecb,d370b4c922381ae4e5e1e86e92fbf5a41434581b13a7a9e6a35e7797a69c9089,ff ff ff ff 90 00 50 00,ff ff ff ff 90 00 50 00,FF FF FF FF 00 00
