cue_id,event_id,stream_key,segment_index,start_seconds,end_seconds,start_tick,end_tick,speaker,japanese,japanese_status,korean,korean_status,resource_path,runtime_status,notes
gr3_0038_000,gr3_stream_0038,0x38,0,0.000,8.060,0,484,,ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァ,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0039_000,gr3_stream_0039,0x39,0,0.000,7.760,0,466,,ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァ,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_004f_000,gr3_stream_004f,0x4F,0,0.000,30.000,0,1800,,ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァ,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_004f_001,gr3_stream_004f,0x4F,1,30.000,60.000,1800,3600,,ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、�,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_004f_002,gr3_stream_004f,0x4F,2,60.000,65.250,3600,3915,,ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、ヴァン、�,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0053_000,gr3_stream_0053,0x53,0,0.000,30.000,0,1800,,スープは、アイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイスクリフトのアイ,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0053_001,gr3_stream_0053,0x53,1,30.000,60.000,1800,3600,,おぉー!やみランダー!ちょいとうちでお茶でも飲んでいかないかい?ありがとう!でも、今日はハブしたごしライドあるんで、あたこんどね。いつでもよっといで!おびきりのうわさばなし、聞かせてあげるからさ!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0053_002,gr3_stream_0053,0x53,2,60.000,61.370,3600,3682,,おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!おぉー!お,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0054_000,gr3_stream_0054,0x54,0,0.000,22.990,0,1379,,ユウキ、バンゴハン出来てる!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0055_000,gr3_stream_0055,0x55,0,0.000,23.290,0,1397,,スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティー、スティ,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_000,gr3_stream_0056,0x56,0,0.000,30.000,0,1800,,ヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイ�,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_001,gr3_stream_0056,0x56,1,30.000,38.840,1800,2330,,このモテのか?プロペラの角度だって期待の中量だってもちろん翼の長さだってちゃんと計算して!逃さ!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_002,gr3_stream_0056,0x56,2,38.840,44.000,2330,2640,,え?俺だって考えなしにこんなことしたわけじゃない?,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_003,gr3_stream_0056,0x56,3,44.000,50.000,2640,3000,,飛んでる間に感じたんだ!この期待はもっと軽くできるって!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_004,gr3_stream_0056,0x56,4,50.000,53.000,3000,3180,,だからって…,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_005,gr3_stream_0056,0x56,5,54.000,61.000,3240,3660,,なぁ、ゆっけい!本当にこいつでできると思うか?,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_006,gr3_stream_0056,0x56,6,61.000,63.000,3660,3780,,どうしたんだ?急に?,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_007,gr3_stream_0056,0x56,7,63.000,71.000,3780,4260,,飛行機であのおみごいをなしとげたのは、俺の知る限りたった一人だけだ。,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_008,gr3_stream_0056,0x56,8,71.000,76.000,4260,4560,,飛行を…趣味とか?,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_009,gr3_stream_0056,0x56,9,77.000,81.000,4620,4860,,今まではそうだった!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_010,gr3_stream_0056,0x56,10,81.000,86.000,4860,5160,,けど、これからは俺たちが週末に続くんだ!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_011,gr3_stream_0056,0x56,11,86.000,92.000,5160,5520,,このフライトユニットが必ず空へ道びいてくれる!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_012,gr3_stream_0056,0x56,12,107.000,111.000,6420,6660,,やっきー!イランドショーさかり!,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_013,gr3_stream_0056,0x56,13,111.000,115.000,6660,6900,,やばい!ミランドだ!,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_014,gr3_stream_0056,0x56,14,118.000,121.000,7080,7260,,ほいど!あ!きたね!,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0056_015,gr3_stream_0056,0x56,15,121.000,126.000,7260,7560,,ほいど!あ!きたね!,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0057_000,gr3_stream_0057,0x57,0,0.000,30.000,0,1800,,スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0057_001,gr3_stream_0057,0x57,1,30.000,60.000,1800,3600,,スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。ス,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0057_002,gr3_stream_0057,0x57,2,60.000,90.000,3600,5400,,スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。ス,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0057_003,gr3_stream_0057,0x57,3,90.000,120.000,5400,7200,,スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。ス,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0057_004,gr3_stream_0057,0x57,4,120.000,138.280,7200,8297,,スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。スープ。ス,AUTO_LOW_CONFIDENCE_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0058_000,gr3_stream_0058,0x58,0,0.000,29.520,0,1771,,イイカ、夜は初めてなんだから、リリクは慎重にな?,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0058_001,gr3_stream_0058,0x58,1,30.000,35.080,1800,2105,,新派へ進んだって、俺たちの期待が信じられないのか?,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
gr3_0058_002,gr3_stream_0058,0x58,2,35.080,39.720,2105,2383,,信じられないのはお前のうで,AUTO_TRANSCRIBED_REVIEW,,PENDING_TRANSLATION,,PENDING_RUNTIME_MAPPING,
