pattern_type,scope,window,pattern_key,normalized_pattern,count,min_size,max_size,classes,resource_ids,roles,candidate_kind,evidence,confidence,sample_location,sample_raw_hex
exact,message_window,pre32,8e1ef8e3d5485639f71204f9124126b042dd7917b235eecb3b7b6de435b6842b,,4,23,23,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A957F,05 00 06 00 00 a6 95 0f 00 10 30 c7 00 0d 09 ff ff ff ff 60 00 3c 00
exact,message_window,pre16,497808cbd1ee68b7489d9a6a23eba1748267e449dee40a4a89c297a130a9b6fd,,4,16,16,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A957F,0f 00 10 30 c7 00 0d 09 ff ff ff ff 60 00 3c 00
exact,message_window,pre8,a87be062db8682942754163239dcefbc7bbc5645cb5fcbff23dd61ddd8f1159b,,4,8,8,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A957F,ff ff ff ff 60 00 3c 00
exact,message_window,message_header,c9cdd2e777e88b7eaa71a5c17bacaccdb98eef9b2d3efca3b78ce093f16222bb,,51,5,5,0x2000;0x3000;0x4000;0x5000;0x6000,0x00006000;0x00396001;0x00602000;0x00D23001;0x00F13003;0x015D2006;0x01813004;0x01B13005;0x01CB5000;0x02112002;0x02465001;0x047A2003;0x06642004;0x08562001;0x09592005;0x0B3A2007;0x0C843001;0x0CDE3000;0x0D2E5001;0x0D5F5002;0x0D824000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A957F,02 0e 00 01 00
exact,message_window,post8,226540b97cce2cf214117ae84be2e3a7d71230cc521474f3083e5949642ee3dd,,16,8,8,0x6000,0x00006000;0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A957F,05 00 02 04 00 00 00 00
exact,message_window,post16,edb33dee97fd4574b14cab045544a0eb78158addd617611224173494d1e6c1c3,,4,16,16,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A957F,05 00 02 04 00 00 00 00 00 10 30 52 00 1f 09 d2
exact,message_window,post32,ecaed563891dd425d6f4eee53de4494271dbac3419f2304652baa0bfba7c74ae,,4,32,32,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A957F,05 00 02 04 00 00 00 00 00 10 30 52 00 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02
exact,message_window,pre32,592328dae25fdc549689b743976e01c5628186e4a223e4bfab1fdd722c92ece0,,4,32,32,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9646,00 00 00 10 30 c6 00 02 02 05 00 05 00 00 a6 95 0f 00 10 30 c0 01 0d 09 ff ff ff ff 90 00 50 00
exact,message_window,pre16,3500cd1ef5d9316d62f0094b086c3d2109ace437abb255ff772334e4f9b5b138,,4,16,16,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9646,0f 00 10 30 c0 01 0d 09 ff ff ff ff 90 00 50 00
exact,message_window,pre8,4c86fda221544eb521ac24ac549dca6ea4b04af3521ab754cd61f43acc580ecb,,4,8,8,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9646,ff ff ff ff 90 00 50 00
exact,message_window,post16,8eb288ce7e4e4f83d247fe5a53185384925ad3e7d90ac6d1c1a32ff866405852,,4,16,16,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9646,05 00 02 04 00 00 00 00 00 10 30 24 01 1f 09 d2
exact,message_window,post32,2e23acbc0697d0fa55d3992d565a98fa4860697ed12835c61f9f9bd266a9d402,,4,32,32,0x6000,0x00006000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9646,05 00 02 04 00 00 00 00 00 10 30 24 01 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02
exact,message_window,pre32,5500101f28cfb8945b538e637a67e2279687eb0527928df0cb2eff4a692ba28c,,4,23,23,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9747,05 00 06 00 00 a6 95 0f 00 10 30 48 02 0d 09 ff ff ff ff 60 00 28 00
exact,message_window,pre16,c77aa22a8b5eebfe343339ce06c53c1d1878e8396167ec43aad488345a26578e,,4,16,16,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9747,0f 00 10 30 48 02 0d 09 ff ff ff ff 60 00 28 00
exact,message_window,pre8,ae5a10b637ec2837f55f534cac2ad589ce255396c3d420efdb306636b539fa51,,4,8,8,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9747,ff ff ff ff 60 00 28 00
exact,message_window,post16,f135cb8543d057947326a673519e3de6b9f61c3c6554a618886c5a3e0565133d,,4,16,16,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9747,05 00 02 04 00 00 00 00 00 10 30 12 02 1f 09 d2
exact,message_window,post32,466ff6df6cf3d4c7e954b3686ccc957e9423bcf84fbbb9e1ec4cafec49311a3d,,4,32,32,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9747,05 00 02 04 00 00 00 00 00 10 30 12 02 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02
exact,message_window,pre32,c42fb375c5a612c34729877de53d366a747443bad1cbd5cf6a16b4083448ff58,,4,32,32,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A97C7,00 00 00 10 30 47 02 02 02 05 00 05 00 00 a6 95 0f 00 10 30 fa 02 0d 09 ff ff ff ff 90 00 3c 00
exact,message_window,pre16,247605144775775ff010f630217e61ad3bf251ad813c7faaecdbcdc3e334357c,,4,16,16,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A97C7,0f 00 10 30 fa 02 0d 09 ff ff ff ff 90 00 3c 00
exact,message_window,pre8,7dd0ead06816eb8781d8cd83696ecd27174276bdeba864b5e920aa1239e388a9,,7,8,8,0x2000;0x6000,0x00396001;0x00602000;0x047A2003;0x0B3A2007,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A97C7,ff ff ff ff 90 00 3c 00
exact,message_window,post16,6ca7f1f90343155ca0e6cb8c1f0fae455d9b8217e4c6d1b3f6d08636e3f209f9,,4,16,16,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A97C7,05 00 02 04 00 00 00 00 00 10 30 9d 02 1f 09 d2
exact,message_window,post32,fb01b709b36debe9a956208920387cd48a43d421da7c1a72acb3d063738214e3,,4,32,32,0x6000,0x00396001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A97C7,05 00 02 04 00 00 00 00 00 10 30 9d 02 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02
exact,message_window,pre32,3f33559edad80df6a385f906f888deee39641dc187dbfc00370000182e6465c8,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9898,00 06 00 00 c2 6a 0f 00 10 30 57 04 03 00 02 20 06 01 10 30 e5 03 0d 00 ff ff ff ff b0 00 3c 00
exact,message_window,pre16,6627f943d06491d53adbafbe7cee8b1deeb158f97ec13493cf16ebad6ab895bd,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9898,06 01 10 30 e5 03 0d 00 ff ff ff ff b0 00 3c 00
exact,message_window,pre8,562b382134867978cb523605dacfab64d541b415c0d48364fa7e058106e1794d,,10,8,8,0x2000,0x00602000;0x047A2003;0x06642004;0x09592005,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9898,ff ff ff ff b0 00 3c 00
exact,message_window,message_header,7013c6239d9297305e732ff7d6efa2663123a6d1646ba4ec061f85d718644e37,,7,5,5,0x2000;0x3000,0x00602000;0x00F13003;0x047A2003;0x08562001;0x0C843001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9898,22 0e 00 20 00
exact,message_window,post8,4f58436e6ea043767bf43fe89f0716ca432d30ee73b33c86c3c170d1dbdd83fa,,6,8,8,0x2000,0x00602000;0x047A2003;0x06642004;0x08562001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9898,0d 00 ff ff ff ff c0 00
exact,message_window,post16,21df9baa46470d6d6f0b5707e861907124e1864ab334f1a43f3144a924509ef3,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9898,0d 00 ff ff ff ff c0 00 3c 00 02 0e 00 08 00 77
exact,message_window,post32,ca4aac009c9df014ffd04a9c8ca88150b99c7a2af7c087553672bacf44fbeac7,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9898,0d 00 ff ff ff ff c0 00 3c 00 02 0e 00 08 00 77 b6 21 90 bc b5 21 b0 74 08 90 79 9c c2 93 84 9b
exact,message_window,pre32,8716a2bd376cbeba4354f9caf6cff9cc3c9fe60747f91342866ddf9ce6fb83b8,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A98D2,9c c2 9a 7e 9c c2 98 08 6c f0 3d f6 9c 77 c0 ba 9f 7a 44 0d ff 00 0d 00 ff ff ff ff c0 00 3c 00
exact,message_window,pre16,91d2692ef26169dd3b127904376e5aa824adc3cb86e10cc2f7bf8fe10c037f90,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A98D2,9f 7a 44 0d ff 00 0d 00 ff ff ff ff c0 00 3c 00
exact,message_window,pre8,855da88c398a013851f4fccd35c2608a7501a6bb0c73febf3e54d99e914a27d5,,8,8,8,0x2000,0x00602000;0x047A2003;0x06642004;0x08562001;0x09592005,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A98D2,ff ff ff ff c0 00 3c 00
exact,message_window,message_header,62702a08c875adeaf54c6dae29e2b75a394c6d31ea3916f67d75bae4357e1347,,21,5,5,0x2000;0x3000;0x5000,0x00602000;0x00F13003;0x011E3000;0x01813004;0x02065002;0x02112002;0x047A2003;0x06642004;0x09592005;0x0C843001;0x0CDE3000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A98D2,02 0e 00 08 00
exact,message_window,post8,219cd75d7aaafa20356988bfc614e03da347eb2a303770afda777cc8bba7acb6,,2,8,8,0x2000,0x00602000;0x00B62002,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A98D2,0d 00 ff ff ff ff 70 00
exact,message_window,post16,b0fdc6f71eff5cde336dcb4b39676183e7a092959174c32b511ccae04ecaff4a,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A98D2,0d 00 ff ff ff ff 70 00 14 00 22 0e 00 1e 00 9c
exact,message_window,post32,c13fe246ef707ba7f0313289c5986dcbcfab4daee31abb52efc4860d14c23a31,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A98D2,0d 00 ff ff ff ff 70 00 14 00 22 0e 00 1e 00 9c c2 7e 77 95 92 44 0d ff 00 0d 00 ff ff ff ff 80
exact,message_window,pre32,8dfe692a777a264e25117040d93cb882f11ea161cbd1a4f705886f7c99d63997,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9923,e4 e3 3a f0 9d 08 21 7e 82 8a 92 9d 20 f4 b0 95 98 bd 4d 0d ff 00 0d 00 ff ff ff ff 70 00 14 00
exact,message_window,pre16,e81241fb948073ac0f02a769242efecf2b5b79464974c132211ada259257c638,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9923,98 bd 4d 0d ff 00 0d 00 ff ff ff ff 70 00 14 00
exact,message_window,pre8,08f1d554a3001fa0d200ef18a1d189f0a50fe80c08bbead61d0116ea8c2cbc99,,1,8,8,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9923,ff ff ff ff 70 00 14 00
exact,message_window,message_header,d2666311e73f2b5eb0266f7d0d978317cfa517eceb5cfd886e95abb14b4e04e8,,4,5,5,0x2000;0x5000,0x00602000;0x02465001,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9923,22 0e 00 1e 00
exact,message_window,post8,7bceef504062e175835687bd1c3dfdd81de86ee417e8af6829105b47ae6a5cba,,1,8,8,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9923,0d 00 ff ff ff ff 80 00
exact,message_window,post16,f402cfc16cec309e39283cf5930c4a87e785dd5757572a8e00390385d29f04f4,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9923,0d 00 ff ff ff ff 80 00 14 00 02 0e 00 06 00 77
exact,message_window,post32,b62f23fe2774a34675b5d3d716218f93e21be8c207a2c5871a7b075fd4cf0c31,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A9923,0d 00 ff ff ff ff 80 00 14 00 02 0e 00 06 00 77 b6 21 9c c2 9d b4 43 0d ff 00 02 03 00 05 20 06
exact,message_window,pre32,6af4c819cfab3aa6019d2f32e2ecad8d81749a95ca8a7375f91c43e2128c242e,,1,32,32,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A993C,ff ff ff 70 00 14 00 22 0e 00 1e 00 9c c2 7e 77 95 92 44 0d ff 00 0d 00 ff ff ff ff 80 00 14 00
exact,message_window,pre16,75a4adc3294a0642135721f1cd384ebbb74aaa3c67ee92235d9c2d282abe4c64,,1,16,16,0x2000,0x00602000,message_window,exact_bytes,identical raw bytes,HIGH,/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT:0x002A993C,95 92 44 0d ff 00 0d 00 ff ff ff ff 80 00 14 00
