korean_char,source_ids,encoded_hex,status,evidence,note
계,FIELD_NAME_0005,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
곡,FIELD_NAME_0005,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
구,FIELD_NAME_0002,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
그,FIELD_NAME_0001,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
니,FIELD_NAME_0010,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
도,FIELD_NAME_0003,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
드,FIELD_NAME_0009,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
디,FIELD_NAME_0004,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
라,FIELD_NAME_0006;FIELD_NAME_0009,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
락,FIELD_NAME_0006,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
란,FIELD_NAME_0003,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
룡,FIELD_NAME_0005,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
르,FIELD_NAME_0002;FIELD_NAME_0010,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
리,FIELD_NAME_0009,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
마,FIELD_NAME_0001;FIELD_NAME_0004;FIELD_NAME_0009;FIELD_NAME_0010,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
멘,FIELD_NAME_0004,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
멜,FIELD_NAME_0008,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
바,FIELD_NAME_0002;FIELD_NAME_0006,UNASSIGNED,REQUESTED,SUPPORTED,Field-name translation glyph request; CENTRAL session owns final code/glyph assignment.
