disc,movie_id,source_file,chunk_index,kind,source_offset,size_bytes,sample_rate,channels,interleave_bytes,decoded_samples,duration_ms,wav_path,confidence,notes
1,GRM01,MOVIE/GRM01.MOV,0,prime,0x800,131072,48000,2,0x400,114688,2389,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,1,chunk_000,0xD7800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,2,chunk_001,0x19C000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,3,chunk_002,0x260800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,4,chunk_003,0x325000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,5,chunk_004,0x3E9800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,6,chunk_005,0x4AE000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,7,chunk_006,0x572800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,8,chunk_007,0x637000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,9,chunk_008,0x6FB800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,10,chunk_009,0x7C0000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,11,chunk_010,0x884800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,12,chunk_011,0x949000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,13,chunk_012,0xA0D800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,14,chunk_013,0xAD2000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,15,chunk_014,0xB96800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,16,chunk_015,0xC5B000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,17,chunk_016,0xD1F800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,18,chunk_017,0xDE4000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,19,chunk_018,0xEA8800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,20,chunk_019,0xF6D000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,21,chunk_020,0x1031800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,22,chunk_021,0x10F6000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,23,chunk_022,0x11BA800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,24,chunk_023,0x127F000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,25,chunk_024,0x1343800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,26,chunk_025,0x1408000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,27,chunk_026,0x14CC800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,28,chunk_027,0x1591000,55296,48000,2,0x400,48384,1008,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
1,GRM01,MOVIE/GRM01.MOV,29,chunk_028,0x1655800,53248,48000,2,0x400,46592,971,audio/extracted/movie/disc1_GRM01.wav,TENTATIVE,Embedded GRM SS2/PS2 ADPCM chunk; exact timing and end padding need runtime/listening review.
