review_order,review_rank,review_tier,event_id,stream_key,duration_ms,audio_path,source_status,segment_count,credible_segment_count,suspicious_segment_count,credible_character_count,total_character_count,credible_audio_coverage,median_credible_avg_logprob,credible_text_preview,review_reason
1,0,REFERENCE_APPROVED,alfina_room_0063,0x63,183531,audio/extracted/gr3_rendered_events/stream_0063.flac,APPROVED,49,49,0,423,423,0.5573,,あ、入るよ / とっても素敵な香り / ああ、ハーブだよ,기존 런타임·청취 승인 자료; 자동 검수 대상 아님
2,1,P1_LIKELY_DIALOGUE,gr3_stream_0070,0x70,222357,audio/extracted/gr3_rendered_events/stream_0070.flac,AUTO_TRANSCRIBED_REVIEW,38,31,7,440,777,0.6071,-0.43132,さっきはいいすぎたよ。ごめん。ここは? / ああ、それはな。 / こいつが、あるべき場所なんです。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
3,1,P1_LIKELY_DIALOGUE,gr3_stream_007e,0x7E,173227,audio/extracted/gr3_rendered_events/stream_007e.flac,AUTO_TRANSCRIBED_REVIEW,23,23,0,407,407,0.6985,-0.38319,ちょっといいやろんそう。 うん。どうした? シケタズルして。 勇気のことか。 / うーん。 / いっちゃうんだってさ、あの子たち。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
4,1,P1_LIKELY_DIALOGUE,gr3_stream_0073,0x73,152619,audio/extracted/gr3_rendered_events/stream_0073.flac,AUTO_TRANSCRIBED_REVIEW,37,35,2,389,407,0.7207,-0.55912,アロンスの勝ちだ!やったぜ!アロンスが勝った!アロンスが勝った! / おだまり!なんで12が出ないんだい?なんで? / ハミ上がったねアロンス!,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
5,1,P1_LIKELY_DIALOGUE,gr3_stream_0099,0x99,164864,audio/extracted/gr3_rendered_events/stream_0099.flac,HUMAN_CONTEXT_REVIEWED,19,19,0,346,346,0.4481,,よくぞおいでくださいました。尊き神の使い、コミュートよ。 / 私が、このバクラの長、ダーナと申します。 / あなた方の来訪は、この精霊宿りしカードが教えてくれました。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
6,1,P1_LIKELY_DIALOGUE,gr3_stream_00a1,0xA1,173973,audio/extracted/gr3_rendered_events/stream_00a1.flac,AUTO_TRANSCRIBED_REVIEW,32,28,4,338,342,0.6553,-0.26682,答えが見つかるかもしれない場所だから / 私たちがコミュートの一族として生まれてきたそのわけが / 私たち?,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
7,1,P1_LIKELY_DIALOGUE,gr3_stream_0085,0x85,155456,audio/extracted/gr3_rendered_events/stream_0085.flac,AUTO_TRANSCRIBED_REVIEW,13,13,0,336,336,0.8748,-0.33822,ウミにさよならでもつけてんのか、ユウキ。え? / ミランダも知ってんの?それ? / あ、だまっててごめん。本当はさっきみんなの前で言うつもりだったんだけど。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
8,1,P1_LIKELY_DIALOGUE,gr3_stream_006f,0x6F,99755,audio/extracted/gr3_rendered_events/stream_006f.flac,AUTO_TRANSCRIBED_REVIEW,7,7,0,317,317,0.8966,-0.32921,アタラには悪いことしたな。 プローチ取られちまった上に、こんな面倒にまで巻き込んだよ。あんた、本気でそう思ってる? あのブローチはとっても大切なものだったんです。 私にとって本当に。 どうするつもりなんだアロンサー? もし、勝つさ。 / 元々俺がまいた種だ。 どんな手を使ってでも、俺なりに蹴りがつける。 / 明日の聴服。 俺は俺の人生すべてをかける。 そして勝つ。 俺の人生は、俺が決める。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
9,1,P1_LIKELY_DIALOGUE,gr3_stream_0064,0x64,95424,audio/extracted/gr3_rendered_events/stream_0064.flac,AUTO_TRANSCRIBED_REVIEW,16,14,2,286,326,0.786,-0.48459,話しとくれよ! ミランダ! / ちょっとあった! ミラディスをお話しよう! / ユーベーこのあたりに迷い込んだ。 金発の娘を探して、ナワ、アルフィナ。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
10,1,P1_LIKELY_DIALOGUE,gr3_stream_007d,0x7D,126037,audio/extracted/gr3_rendered_events/stream_007d.flac,AUTO_TRANSCRIBED_REVIEW,12,12,0,280,280,0.8172,-0.28847,命のない世界か。 主義な場所だったよな。とても綺麗で、でも、とてもうちろで。 / ありがとうね、ユウキ。 うん? 意気に閉めてくれたでしょ。私の手。 / あの抜く盛りがなかったら、きっと私、ここは帰ってこられなかったと思う。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
11,1,P1_LIKELY_DIALOGUE,gr3_stream_00a7,0xA7,210411,audio/extracted/gr3_rendered_events/stream_00a7.flac,AUTO_TRANSCRIBED_REVIEW,15,12,3,268,601,0.4985,-0.41769,美しい進んだ目をしておるなぁ。 グリフ様、私は知りたいことがあるのです。 コミュートの娘を今、傷ながうしなわれようとしておる。 / お前のアニン、エメリウスが世界に危機をもたらそうとしておるのだ。 / イニシエよりつらなりし、わが運命のくさりを今、ここで。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
12,1,P1_LIKELY_DIALOGUE,gr3_stream_0098,0x98,104981,audio/extracted/gr3_rendered_events/stream_0098.flac,HUMAN_CONTEXT_REVIEWED,15,15,0,254,254,0.5433,,もうやめましょう。 / こんなこと続けて、何になるっていうの？ / 何言ってるんだい、ルイリちゃん。,대사 유력 구간이 여러 개이고 환각 징후 비율이 낮음
