event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes
gr3_stream_009f,0x9F,0,6.500,7.400,アルフィナ,,"これは","こ、これは……",MANUAL_AUDIO_SCENE_REVIEW,"이, 이건……",DRAFT_CONTEXT_REVIEWED,족장의 증표로 헬 아셀 입구를 연 직후 버스피어를 발견하는 장면.,좌·우 채널 6.72초 공통 발화와 장면 맥락 교차 검수.,0~6초 반복 환각은 제거하고 실제 반응만 채용.
gr3_stream_009f,0x9F,1,12.700,14.300,アルフィナ,,"バーシフィア!","バースフィア！",MANUAL_AUDIO_SCENE_REVIEW,"버스피어!",DRAFT_CONTEXT_REVIEWED,알피나가 금단의 문인 버스피어를 알아보는 장면.,양 채널 12.90초 공통 발화와 프로젝트 고유명사 대조.,バーシフィア를 バースフィア로 교정.
gr3_stream_009f,0x9F,2,16.900,21.100,ダーナ,,"今思えば あの日が全ての始まりでした","今思えば、あの日がすべての始まりでした。",MANUAL_AUDIO_SCENE_REVIEW,"돌이켜 보면, 모든 것은 그날 시작됐어요.",DRAFT_CONTEXT_REVIEWED,다나가 에메리우스와 듄켈의 과거를 회상하는 장면.,좌·우 채널 공통 전사와 장면 기록 교차 검수.,실제 17.10초 발화에 맞춰 시작 보정.
gr3_stream_009f,0x9F,3,21.900,26.400,ダーナ,,"そう エメリウスがデュンケルを訪れた あの日","そう、エメリウスがデュンケルを訪れた、あの日。",MANUAL_AUDIO_SCENE_REVIEW,"그래요, 에메리우스가 듄켈을 찾아왔던 그날.",DRAFT_CONTEXT_REVIEWED,다나가 회상의 시점을 특정하는 장면.,전체·부분 재전사 모두 동일 문장을 반환.,기존 초안의 불필요한 共にバクラ를 제거.
gr3_stream_009f,0x9F,4,35.400,42.200,ダーナ,,"次の朝、二人の姿は既に無く、陽と様の像が破壊されていました。","次の朝、二人の姿はすでになく、ヨウト様の像が破壊されていました。",MANUAL_AUDIO_SCENE_REVIEW,"다음 날 아침, 두 사람은 이미 사라졌고, 요우토 님의 석상은 파괴되어 있었어요.",DRAFT_CONTEXT_REVIEWED,에메리우스와 듄켈이 사라진 다음 날의 일을 회상하는 장면.,양 채널 공통 전사와 프로젝트 성수명 표기를 교차 검수.,陽と를 ヨウト로 교정하고 한국어를 2줄로 배치.
gr3_stream_009f,0x9F,5,45.000,48.000,ダーナ,,"そして、扉の封印が破られていたのです。","そして、扉の封印が破られていたのです。",MANUAL_AUDIO_SCENE_REVIEW,"그리고 문의 봉인도 깨져 있었죠.",DRAFT_CONTEXT_REVIEWED,헬 아셀 문의 봉인이 함께 파괴됐음을 설명하는 장면.,좌·우 채널 완전 일치 전사.,문장 종결만 정리.
gr3_stream_009f,0x9F,6,50.500,55.200,アルフィナ,,"まさか、兄さんのせいで…","まさか、兄さんのせいで……",MANUAL_AUDIO_SCENE_REVIEW,"설마, 오빠 때문에……",DRAFT_CONTEXT_REVIEWED,알피나가 에메리우스와 사건의 연관성을 깨닫는 장면.,양 채널 50.72~54.92초 공통 전사와 장면 맥락 교차 검수.,말줄임을 보존.
gr3_stream_009f,0x9F,7,56.900,61.500,ダーナ,,"このバースピアこそ開くことを許されなかった金顔の扉","このバースフィアこそ、開くことを許されなかった禁断の扉。",MANUAL_AUDIO_SCENE_REVIEW,"이 버스피어야말로 여는 것이 허락되지 않았던 금단의 문.",DRAFT_CONTEXT_REVIEWED,다나가 버스피어의 의미를 설명하는 장면.,부분 재전사에 고유명사 문맥을 주고 같은 MDZ 장면 정보와 교차 검수.,金顔・近段을 禁断으로 교정하고 한국어를 2줄로 배치.
gr3_stream_009f,0x9F,8,63.000,64.200,ダーナ,,"けれど","けれど……",MANUAL_AUDIO_SCENE_REVIEW,"하지만……",DRAFT_CONTEXT_REVIEWED,다나가 금단의 문 진입을 망설이는 장면.,좌·우 채널 63.22~64.02초 공통 발화.,유우키의 결심과 분리.
gr3_stream_009f,0x9F,9,67.400,68.500,ユウキ,,"行こう","行こう。",MANUAL_AUDIO_SCENE_REVIEW,"가자.",DRAFT_CONTEXT_REVIEWED,유우키가 헬 아셀 진입을 결심하는 장면.,양 채널 67.54~68.26초 공통 발화.,짧은 독립 큐로 채용.
gr3_stream_009f,0x9F,10,69.700,74.700,ユウキ,,"何が見たくて何が見えないのか 俺にはそれさえわからない","何が見たくて、何が見えないのか、俺にはそれさえ分からない。",MANUAL_AUDIO_SCENE_REVIEW,"무엇을 보고 싶고, 무엇을 보지 못하는지 나조차 아직 모르겠어.",DRAFT_CONTEXT_REVIEWED,유우키가 아직 무엇을 보아야 하는지조차 모른다고 고백하는 장면.,좌·우 채널 공통 전사와 단어 경계를 검수.,한국어를 2줄로 배치.
gr3_stream_009f,0x9F,11,75.900,77.800,ユウキ,,"けどだからこそ知りたい","けど、だからこそ知りたい。",MANUAL_AUDIO_SCENE_REVIEW,"하지만 그렇기에 알고 싶어.",DRAFT_CONTEXT_REVIEWED,유우키가 미지의 진실을 알고 싶다고 결심하는 장면.,양 채널 76.10~77.52초 공통 발화.,접속어와 문장 경계를 보존.
gr3_stream_009f,0x9F,12,78.800,81.300,ユウキ,,"それを俺は掴む","それを、俺は掴む！",MANUAL_AUDIO_SCENE_REVIEW,"그 답을 내가 붙잡겠어!",DRAFT_CONTEXT_REVIEWED,유우키가 답을 스스로 붙잡겠다고 선언하는 장면.,좌·우 채널 공통 전사와 장면 기록 교차 검수.,강조 종결을 반영.
