id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
SKILL_0001_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0001,,1,0x016F85,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6,無属性ダメージ　威力☆☆,무속성 피해 위력☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0001_EFFECT_2,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0001,,2,0x016F99,,AF E4 EA BD ED BC F0 C2 F0,キャンセル効果,캔슬 효과,5B F5 D8 F7 20 CA F4 EC F5,,[],TRANSLATED,NO,positional special-skill HELP trailer,exact reviewed effect rule
SKILL_0002_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0002,,1,0x016FB6,,D4 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6 69 F6,風属性ダメージ　威力☆☆☆,바람속성 피해 위력☆☆☆,9F BE 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0003_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0003,,1,0x016FE3,,B5 EA DD 80 36 F0 37 F0 3F F0 9E F1 5F 32 C2 F1 7D 7C 9D,コンボの攻撃回数が2<C2F1>になる,콤보 공격 횟수 2배,A6 F6 89 20 D8 F5 B3 F4 20 D7 F8 8B 20 32 72 F9,,"[""<C2F1>""]",TRANSLATED,NO,positional special-skill HELP trailer,reviewed special-skill effect rule
SKILL_0004_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0004,,1,0x01700F,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6 69 F6 69 F6,無属性ダメージ　威力☆☆☆☆,무속성 피해 위력☆☆☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0004_EFFECT_2,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0004,,2,0x017027,,CF F0 60 29 F1 82 6A 78 20 B3 F2 9C 80 3A F0 94 72 F1 60 7A F0 92,吹き飛ばして　周りの敵も巻き込む,날려 보내 주변 적도 휘말리게 함,AF AB 20 89 99 20 A3 7C F9 20 41 F0 4E 20 A7 F5 77 6A 68 20 41 F8,,[],TRANSLATED,NO,positional special-skill HELP trailer,reviewed special-skill effect rule
SKILL_0005_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0005,,1,0x017053,,2D F0 B2 F1 C2 E2 27 BA A1 30 7D 6C 9D,一定ダメージを0にする,일정 피해를 0으로 무효화,92 93 20 C9 74 87 20 30 82 79 20 97 CA F4 79 F4,,[],TRANSLATED,NO,positional special-skill HELP trailer,exact reviewed effect rule
SKILL_0006_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0006,,1,0x017079,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6 69 F6 69 F6 69 F6 69 F6,無属性ダメージ　威力☆☆☆☆☆☆,무속성 피해 위력☆☆☆☆☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6 69 F6 69 F6 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0007_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0007,,1,0x0170AB,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6,無属性ダメージ　威力☆☆,무속성 피해 위력☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0007_EFFECT_2,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0007,,2,0x0170BF,,AF E4 EA BD ED BC F0 C2 F0,キャンセル効果,캔슬 효과,5B F5 D8 F7 20 CA F4 EC F5,,[],TRANSLATED,NO,positional special-skill HELP trailer,exact reviewed effect rule
SKILL_0008_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0008,,1,0x0170DE,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6,無属性ダメージ　威力☆,무속성 피해 위력☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0008_EFFECT_2,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0008,,2,0x0170F0,,9B F2 AE F1 BC F0 C2 F0 2B 95 F1 96 F1,追加効果：麻痺,추가효과：마비,63 F2 4A CA F4 EC F5 2B 5C 98,,[],TRANSLATED,NO,positional special-skill HELP trailer,exact reviewed effect rule
SKILL_0009_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0009,,1,0x017111,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6 69 F6,無属性ダメージ　威力☆☆☆,무속성 피해 위력☆☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0010_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0010,,1,0x01713A,,3A F0 A1 94 F2 6E 49 F1 64 7C 57 D2 F1 80 D1 EC A4 A1 32 F5 9D,敵を寄せ付けない光のバリアを<32F5>る,적의 접근을 막는 빛의 장벽,41 F0 75 20 62 F1 85 F6 A1 20 C0 F8 73 20 2B F4 75 20 86 70 F5,,"[""<32F5>""]",TRANSLATED,NO,positional special-skill HELP trailer,reviewed special-skill effect rule
SKILL_0011_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0011,,1,0x01716A,,4C 49 A1 3F F0 B6 F0 6C 9D,SPを回復する,SP 회복,4C 49 20 CC D0,,[],TRANSLATED,NO,positional special-skill HELP trailer,reviewed special-skill effect rule
SKILL_0012_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0012,,1,0x017189,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6 69 F6 69 F6 69 F6 69 F6,無属性ダメージ　威力☆☆☆☆☆☆,무속성 피해 위력☆☆☆☆☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6 69 F6 69 F6 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0012_EFFECT_2,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0012,,2,0x0171A5,,6C 8B 78 80 D2 EB E2 27 C1 A1 C2 A8 EA 6C 9D,すべてのパラメータをダウンする,모든 능력치 감소,B2 CD 20 A3 F7 93 F8 3F F3 20 33 F2 B4,,[],TRANSLATED,NO,positional special-skill HELP trailer,reviewed special-skill effect rule
SKILL_0013_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0013,,1,0x0171CE,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6,無属性ダメージ　威力☆☆,무속성 피해 위력☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0013_EFFECT_2,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0013,,2,0x0171E2,,AF E4 EA BD ED BC F0 C2 F0,キャンセル効果,캔슬 효과,5B F5 D8 F7 20 CA F4 EC F5,,[],TRANSLATED,NO,positional special-skill HELP trailer,exact reviewed effect rule
SKILL_0014_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0014,,1,0x0171FD,,51 F5 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6 69 F6,土属性ダメージ　威力☆☆☆,땅속성 피해 위력☆☆☆,56 F8 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0015_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0015,,1,0x01722C,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6,無属性ダメージ　威力☆☆,무속성 피해 위력☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
SKILL_0015_EFFECT_2,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0015,,2,0x017240,,AF E4 EA BD ED BC F0 C2 F0,キャンセル効果,캔슬 효과,5B F5 D8 F7 20 CA F4 EC F5,,[],TRANSLATED,NO,positional special-skill HELP trailer,exact reviewed effect rule
SKILL_0016_EFFECT_1,SKILL_EFFECT,special_effect,SYS/GR3.MDZ,GR3.MDT,SKILL_RECORD_0016,,1,0x017261,,70 F0 64 F0 65 F0 C2 E2 27 BA 20 84 F0 85 F0 69 F6 69 F6 69 F6 69 F6,無属性ダメージ　威力☆☆☆☆,무속성 피해 위력☆☆☆☆,97 49 F7 D6 20 C9 74 20 3F F7 93 F8 69 F6 69 F6 69 F6 69 F6,,[],TRANSLATED,NO,positional special-skill HELP trailer,elemental-damage rule
