id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
ITEM_0011_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0011,,0,0xDA12,0x000EE4,D6 EB A6 C9 E7 CC C4 C9,フライトユニット,플라이트 유닛,84 F7 66 6B D2 20 A8 B7 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0011_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0011,,1,0xE806,0x000EF0,96 F3 36 F1 BD F1 32 F0 29 F1 22 F1 8F F3 E9 F0 80 D2 20 F0 27 3A F1 A3 F3 59 F0 AF F0,貴重品／飛行機用のパワー供給装置,중요품／비행기용 동력 공급 장치,E5 F4 52 50 F7 32 F0 98 A5 6D A7 F6 20 E7 F7 93 F8 20 D8 F5 91 F6 20 86 3F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0012_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0012,,0,0xDA1B,0x000F04,9D F0 E9 F0 80 D0 27 D7,薬用のハーブ,약용 허브,5A F9 A7 F6 20 BF F0 6F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0012_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0012,,1,0xE826,0x000F10,96 F3 36 F1 BD F1 32 F0 C7 F0 74 BB F2 7D BC F0 62 3D F0 8A F0 8D F9 6A F2 80 D0 27 D7,貴重品／打ち身に効く自家栽培のハーブ,중요품／타박상에 효과가 있는 직접 재배 허브,E5 F4 52 50 F7 32 F0 E8 F7 68 F9 BD 7D 20 CA F4 EC F5 4A 20 5E 73 20 9D F5 62 F1 20 8E F9 72 F9 20 BF F0 6F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0013_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0013,,0,0xDA24,0x000F24,EE E1 80 4F F2,レムの実,렘의 열매,90 F8 75 20 B5 F3 D0 F8,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0013_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0013,,1,0xE846,0x000F30,96 F3 36 F1 BD F1 32 F0 91 F5 78 F1 7D B8 F7 57 66 7A 79 CC F1 9B 9E 9D B3 F0 80 4F F2,貴重品／非常に硬いことで知られる木の実,중요품／매우 단단한 것으로 알려진 나무 열매,E5 F4 52 50 F7 32 F0 D0 F8 83 20 C7 F7 C7 F7 7A 20 53 82 79 20 9A AB C5 20 50 97 20 B5 F3 D0 F8,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0014_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0014,,0,0xDA2A,0x000F44,CA EB B1 AC 27 D7,ドラクオーブ,드라크 오브,30 F8 66 44 F7 20 90 6F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0014_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0014,,1,0xE866,0x000F50,AC 27 D7 32 F0 E7 F1 7E F4 CA EB B1 80 85 F0 5F 66 93 9B 9E 72 8B F0 B0 F0,オーブ／聖獣ドラクの力がこめられた宝玉,오브／성수 드라크의 힘이 깃든 보옥,90 6F F3 32 F0 D6 8B 20 30 F8 66 44 F7 75 20 85 F7 6B 20 A3 F6 CD 20 89 A6 F4,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0015_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0015,,0,0xDA31,0x000F64,54 F1 83 F0 80 89 F1,族長の証,족장의 증표,AC F2 86 75 20 5F F5 21 F7,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0015_DESC,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0015,,1,0xE8AF,0x000F70,96 F3 36 F1 BD F1 32 F0 59 F1 67 F6 54 F1 83 F0 7D 97 F1 64 CB F3 5F 9E 9D B2 F0 57 C8 F0 31 F2,貴重品／代々族長に受け継がれる古い石板,중요품／대대로 족장에게 물려 내려온 오래된 석판,E5 F4 52 50 F7 32 F0 8D 8D 79 20 AC F2 86 7D 68 20 EA AB 20 99 AB EC F4 20 90 8E EE F7 20 E2 65 F4,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
ITEM_0016_NAME,ITEM,key_item,GR3.MDZ,GR3.MDT,ITEM_RECORD_0016,,0,0xDA39,0x000F84,E9 A8 C9 AC 27 D7,ヨウトオーブ,요우토 오브,52 83 66 F1 20 90 6F F3,,[],TRANSLATED,NO,기존 v9 item decode를 재사용; 중앙 hangul_code_map 미배정,
