event_id,stream_key,entry_index,sample_ids,duration_ms,sample_rate,channels,source_offset,size_bytes,source_stream_sha256,decoded_pcm_sha256,decoded_frames_per_channel,audio_path,audio_size_bytes,audio_sha256,extraction_status,notes
gr3_stream_0038,0x38,55,0x2BC;0x2BD,8064,24000,2,0x95B0800,223232,fdc60336f58949e9d0343d729a27b7d2d3919a687d5cd4c9955f31d551483427,213c569a8573cb5e07afeb0b6907a65ca2313015ec878f1d14c2f323745112c2,193536,audio/extracted/gr3_rendered_events/stream_0038.flac,242392,715fd83a67528b429b9638b20bda891a7d3472d963ec9d67d9511b53f1699f1e,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0039,0x39,56,0x2BE;0x2BF,7765,24000,2,0x95E7000,215040,d9939315c537f128250c04a05d7e4ec1db267a807bb9f09539df7af9bf931b5d,99eb36bb596e9f52bd76fe5479cc5722377fddc1ea41cb078f9ca9f66403aaca,186368,audio/extracted/gr3_rendered_events/stream_0039.flac,241768,8129f017d9a6c1d03efb1dc9a63257220da9fac028229d4b0f1da95c5c2ebc78,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_004f,0x4F,78,0x39C;0x39D,65259,24000,2,0xD2E3000,1792000,c5135f281a06fc230a2af72e97fb58e2f099535e35702c5827d95205db19e1c0,c56b63abf4ac573570337f19ea9a58893793cc98ec96d255f749813d517b9809,1566208,audio/extracted/gr3_rendered_events/stream_004f.flac,2031247,f8f67f7fb340dc3d89a82fd73b588d108c3546e4830169e824c6bd27a9244332,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0053,0x53,82,0x3EC;0x3ED,61376,24000,2,0xDDFF000,1685504,65430881424706b8d57b69f2c982e6c1eea25b449580c0d8ed6672b2f7d8a1a1,4e8fdc3d3342ba42378a998931a9436cd2eec3d98f3c1c3372d64195e0190705,1473024,audio/extracted/gr3_rendered_events/stream_0053.flac,4458376,128e0a32c2c16ae02b60d89a84629d8111782be5894509fcb9b1e1b943543c21,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0054,0x54,83,0x3EE;0x3EF,22997,24000,2,0xDF9A800,632832,a5c1106c3ba274bd1aa5cb262b138e0f5413124b71e532555bd9dfa2a8b1f76c,89746891bd921cb4f79f5fa30d1a87695981e56e6d592a2fa2617f9289325ef6,551936,audio/extracted/gr3_rendered_events/stream_0054.flac,1153665,fba4271ba10679fb865200a909c303d1a92c556407fe1b17407f2dc583f5fdbf,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0055,0x55,84,0x3F0;0x3F1,23296,24000,2,0xE035000,641024,d97ea8bb19ac4f15720c4b9e05b9109364181c554946ccefbfbf34a2050d681b,5c1798b26a20a0104fd3dd5a9eb6797d78a89e91c5d77c6119e8cbf24e80e1b2,559104,audio/extracted/gr3_rendered_events/stream_0055.flac,1525403,3b5c30393a7fbf6615c954f8b64aaad14d3de1424f0a4022f4bdfa9ba20053df,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0056,0x56,85,0x3F2;0x3F3,137536,24000,2,0xE0D1800,3774464,4944157a8213acc8e746cfd6cdcbe7d32afbd4981ca126c902118b7c43396881,f85fefee480d5b8fcde091c67f05e912b1cf48b2dbf518bd47d515b12cce7632,3300864,audio/extracted/gr3_rendered_events/stream_0056.flac,6150193,62fd3dbbc90ee81484e1cb1d9d1a978348727a321d81757649fa7a638ebc091d,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0057,0x57,86,0x3F4;0x3F5,138283,24000,2,0xE46B000,3794944,c4ffe1727a28d07b675b2e8b1c007d5da2a6d2cce61b80b7b2e7111d5ef13e77,e3e4f91be91cc71f1cba9c201a5a9189a4e45e13305335ba57dfd0b8adf5bf71,3318784,audio/extracted/gr3_rendered_events/stream_0057.flac,6798897,96d08361e011295817f259bfda9e4fea3e3d4f08dc0c20d3711c2cb79c6f0aaf,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0058,0x58,87,0x3F6;0x3F7,142613,24000,2,0xE809800,3913728,43fb7179a9ec20b1086cb70d330a2c529272f49f3cc447e05a3d00691726ff41,1da273e03750ddf820ce0abb4f3335bdcaea4302df5b31ba7e9c3aaec8385a29,3422720,audio/extracted/gr3_rendered_events/stream_0058.flac,9678524,52f39420ba272f3308271a26b2913d254a0609bdbb310aaf6c5059297f220ff1,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0059,0x59,88,0x3F8;0x3F9,142613,24000,2,0xEBC5000,3913728,e2ed2ceef799066b09c7e9b4d235182cc2d61ec75150f201eb5605536c09c8e1,e171165e7b316020a0d818475d43e0bf936e75c2d06a7a4b983c88ab241827c1,3422720,audio/extracted/gr3_rendered_events/stream_0059.flac,10189524,dae3dd575357f7100a2584bd0385d9bd535aaa3cb1238d09de44f5587342c7c9,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_005a,0x5A,89,0x3FA;0x3FB,47040,24000,2,0xEF80800,1292288,dc882f88cfffbcbade50eb85c7f368cd539a7340d66acd4551bb3f49ef05ecab,213a3b3d43dea48abf3f5a8ae4c996eadbabafcea4b39dcbac557e61f421336f,1128960,audio/extracted/gr3_rendered_events/stream_005a.flac,3168106,fa24909078a2d24c958a115a660dadffb6159c0eac67a755b1d26235257b8b47,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_005b,0x5B,90,0x3FC;0x3FD,100501,24000,2,0xF0BC000,2758656,ea687298ec418accd816ac49c77cbeefd8123a1938a6a328bb5d250cf0b52ba8,eb3bfee4fd2c170bffee0d8b08620522fb6d9e09d4597cbb09a0a8fb74e477cc,2412032,audio/extracted/gr3_rendered_events/stream_005b.flac,6222998,42ebd548f9650759e185ec71743589fa0f4a1759dd5244ab5b1d02812131ed66,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_005c,0x5C,91,0x3FE;0x3FF,70784,24000,2,0xF35D800,1943552,798bb77247eacb69bdeb614dacb7cba6db8f20af6a65d7a50198dc309e28adf8,c9975325b992cd8da057f4a50f4a6305282291278ed0ca465b0d6dfee4795e54,1698816,audio/extracted/gr3_rendered_events/stream_005c.flac,4665069,4597fcc61ed916a6a3d99404556395f6cea5b3a771e37b7ede6acf34e4b6f847,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0061,0x61,96,0x408;0x409,136341,24000,2,0xF598800,3741696,27d88454999a5b8ac04ceb7d3e655bcb4a32001e9cc817ca58fcdb56dbffd353,8ca8faad13f90e067a99831b96104dbd4f2a1f62b3805faa632062b12a62501a,3272192,audio/extracted/gr3_rendered_events/stream_0061.flac,8347613,856d39101deb963ff3e11b5de2ef84857f407b620503b0731ffa56ef8fbd7a20,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0062,0x62,97,0x40C;0x40D,23595,24000,2,0xF92A000,649216,2c74b36700a8694306a6fa4d2278a2f339ef64106eef5f860000b396b1267351,2cfa4017b51c95f7546d8c806c777f0cde6d158537e385922861942df2777ee7,566272,audio/extracted/gr3_rendered_events/stream_0062.flac,1301640,aa4fc8467c035b1938a18d96fe5d4d34d541bec1150404d5bcde2e94bedfb576,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0063,0x63,98,0x414;0x415,183531,24000,2,0xF9C8800,5036032,039f522bd892d3abe41e04abe1a2a2d73513d523e41a9e7310212dd746087bea,51cf3e8eba6b7aaa56130150b76d3b247a99c49d59355571975b40589992870a,4404736,audio/extracted/gr3_rendered_events/stream_0063.flac,8082880,c96cebd7f25d72adea05ecc48580f2dc215bccbf787697f8efb1ad869090f326,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0064,0x64,99,0x416;0x417,95424,24000,2,0xFE96000,2619392,93abdd147bb61343387b8d3301ec8d1cf391e5d1880d9bfd6d092f81d7963659,5eba6d11a434122d71f6e34c17cb570f9e03b9ca503b121fab167555c0ee7c83,2290176,audio/extracted/gr3_rendered_events/stream_0064.flac,6273018,94a04020777171025fb60da20c8a5158a2d27e8c64c46416cc4e13c10012c42f,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0065,0x65,100,0x418;0x419,67051,24000,2,0x10115800,1841152,9a7771487c959400ee046b9419e7912ff2449a7e1d047ae8b63c399dbc93374a,d3cb5457aa4430cd958f67caae2420e61f75b24c10c1684c96fd9cf1d05d7730,1609216,audio/extracted/gr3_rendered_events/stream_0065.flac,3473527,88b902c928401abe57e6e23d4d098c0e5508bc75509231ce5c87e7461a17898f,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0066,0x66,101,0x41C;0x41D,125440,24000,2,0x102D7000,3442688,fe19c0701cb21bf1894c1700e191bd3ca3666263584b4aae970bd548fde5d377,e79e894986cfdcb716d22991999b487875a87035eeffe3410e58c8066b489985,3010560,audio/extracted/gr3_rendered_events/stream_0066.flac,8776247,e5be939f6f45939b3da5a76b03ac6758520dd1153af432c128d1bd2e92ae56a3,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0067,0x67,102,0x420;0x421,54507,24000,2,0x1061F800,1497088,8c00c4554f2697d95173105a2f124da7565c8f8793e6eb9f9c77ab8309d0b0f9,21be602632a41e0428946c0e038d91969cd457ed3d772035afd855d4eea23719,1308160,audio/extracted/gr3_rendered_events/stream_0067.flac,3470613,746e5ccbb7d174451189b0091acbcc7af69af76b8b01e1509417b24358e384f4,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0068,0x68,103,0x422;0x423,55701,24000,2,0x1078D000,1529856,e4bdf7a0c90c6cde0e80f1168491441b0c69a990444d7d4231393866b22aba0b,5ec9ecc99debafa6de7cb4cd1b084e113747ff9cd09dda187964af5b651923de,1336832,audio/extracted/gr3_rendered_events/stream_0068.flac,3691604,d8d6a605d678aca114e983d6aab595457533170611cdcfc57c05da38cc5008a0,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0069,0x69,104,0x424;0x425,45248,24000,2,0x10902800,1243136,7020d68c7af85f6cd4e059e2b9674f605de936288f92c5fc691019e29eca874a,18880fb448f56838d5815dbfcd16cc926de7dff45900a0deafdece993896edf3,1085952,audio/extracted/gr3_rendered_events/stream_0069.flac,3033958,d11369a6c3f1b3fd9971e1fb41d257eab531d2b2982b5aef33b30092be89f033,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_006a,0x6A,105,0x426;0x427,232512,24000,2,0x10A32000,6379520,e276ab587e6c46fc7ebe24380d9ad2629d4c69fd4eccea44ac2cb79a493e0551,ff6c10c94edd52d4b50d20fbf8c6b843a43ccb97cda608d1d2591ee62a1da884,5580288,audio/extracted/gr3_rendered_events/stream_006a.flac,14554513,289834bb83735273b5f6568fee666f94ec4522cca27d80fb58a32305af737a0d,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_006b,0x6B,106,0x428;0x429,76757,24000,2,0x11047800,2107392,12ed83e66dad489f6fb5a48f1ef64e32ace7a4c1e02753c114851b6ba69f18d7,a9ce16c9c807900dd9a6f3b376a14fcc0a531c160e3ba9686832391242b99760,1842176,audio/extracted/gr3_rendered_events/stream_006b.flac,5079945,f373c1b4437d02d46f6da3c498ab699504eecb9130539718706dcb4a78d53afd,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_006c,0x6C,107,0x42A;0x42B,29269,24000,2,0x1124A000,804864,cdfa2e67ab892b4a9bc2a95f69e5cddb4f50845f81614aad5994b73ba939ab2f,49369650f0488ec82689ed3671836282bc79d89c097fbedbc714baaa565e8f0e,702464,audio/extracted/gr3_rendered_events/stream_006c.flac,1933138,7340536e06fe8c9136057527cd851d83add9a9eabcfd2c4af0a151163213edef,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_006d,0x6D,108,0x42C;0x42D,123648,24000,2,0x1130E800,3393536,15eccdbb25b050611ebecdb8e9fe377d3173562af93298a17be019847b9c75ac,1e1ba7a62531a5c30ddf84bf427f92ca10e7845ca0a6d112a7b740c7f165d223,2967552,audio/extracted/gr3_rendered_events/stream_006d.flac,7325435,0ebdf32b00828ac3914f39853575e269ef8b87e9aec5cac6231be304b6b33a5e,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_006e,0x6E,109,0x42E;0x42F,173973,24000,2,0x1164B000,4773888,9f153f922735154c37320d77c4156bd6eab816d8f15e35b97127689410ef5d15,9b7ee35a80a89f855f6c63b352e585a5b9752982bc3640e24a6be92539c5ab72,4175360,audio/extracted/gr3_rendered_events/stream_006e.flac,8690433,ed131cd290d5db4b22da211951ba54677a8d0de9a7c4365e13360331ce4ce338,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_006f,0x6F,110,0x430;0x431,99755,24000,2,0x11AD8800,2738176,e172eebe8e412ef108735a6fda4c6bd7e57a464e7a4c2e2bfb1c5a290c7aece9,40d77fd950f8db47eb46b4a1e01b377a6d9f296aad4b7ffae56226fc6c6b79a4,2394112,audio/extracted/gr3_rendered_events/stream_006f.flac,6262124,3733f32b316e109e46d0b8f264f508790c06caaa284a559da15968955e28e12d,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0070,0x70,111,0x432;0x433,222357,24000,2,0x11D75000,6100992,2b7be7062ed85d149e3cc187c645e044c452a0bfd9396d8c4b79f3275a908b13,1a9f4a31b9a386a5e5b82f252a289cdab6f8e314de4c04cfd967ec38ac3b8f49,5336576,audio/extracted/gr3_rendered_events/stream_0070.flac,11522421,b2153cebf3db0807047de5938259f0a7925f1a0dcf6581198cee519696d33924,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0071,0x71,112,0x434;0x435,52267,24000,2,0x12346800,1435648,8abfdbbca746f9f2ebb912038d932461ffa72b786ec244ffcf080f2dcb248dc6,c0b1393a6d8cc3286e1dc6ee853109bf3c8902bce056a271217aea6c42708f17,1254400,audio/extracted/gr3_rendered_events/stream_0071.flac,3197887,8fe3c9adb619c05f1416de9dd54bb90782c555ac10f729190bbd251dee8fb7ee,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0072,0x72,113,0x436;0x437,26731,24000,2,0x124A5000,735232,a41b210b87ab6fa0e4aa4a5769ce95a74af43714499f09c9302a42dafee62cda,c65985eaaca81e6deff38a3669d9fe203b58dd6496ec70da9fbc8a94de81f2a4,641536,audio/extracted/gr3_rendered_events/stream_0072.flac,1594359,2f0366dc3ff835a29288ad278ac96c95b834d36c0026001b4e8d87b7159ae9f6,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0073,0x73,114,0x438;0x439,152619,24000,2,0x12558800,4188160,b47290a1043a49939e70c782224ca757afbc064d015fe4bb066044738a68cb71,d86f166e1d90dcdc0a64bc9b49d4d67ea7c681a241062cbb9788aa9e121543ad,3662848,audio/extracted/gr3_rendered_events/stream_0073.flac,8506216,97d9ac0a069e80166458dc4d595d43210a3337955ba5dbef82fc9bbcea70dfbd,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0074,0x74,115,0x43A;0x43B,209664,24000,2,0x12957000,5752832,8771e90b59bea152ab41f75ff48849cdd5ff892f7f1f4af597c1443b3ac47a36,f2716f49e76cd6c1939390d96cfa6dcd0d0d6396b9848857576523ff3b21cfc9,5031936,audio/extracted/gr3_rendered_events/stream_0074.flac,1564595,d42d8cbe2f912b8af0dd7ff2c7f9fa528798acb4aa22099716d965eb19d08b1a,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0075,0x75,116,0x440;0x441,36139,24000,2,0x12ED3800,993280,0a71e6ab8ed342caa3397fed58e449ae243c45af060124a872f345bd4d8251f0,a8eeaefd13d45ea342bf8657af7be424e2ec1e373922eb84c533734d0c9b834b,867328,audio/extracted/gr3_rendered_events/stream_0075.flac,2462063,7e832f15ca8cdece717be7c6a9d5ea94d5d00871af54c62fb62d1cafc64a2fc8,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
gr3_stream_0076,0x76,117,0x442;0x443,138731,24000,2,0x12FC6000,3807232,473e5e147ea9927c33ecec88a365b7d487944cd87fe99c9a13f90b5f7c645d1c,4abfb0e8fe7880aad6e30bd6a7570a56eacb4c74ea2df690861b37add82e9aaa,3329536,audio/extracted/gr3_rendered_events/stream_0076.flac,9433734,0f36f0cd620c47ba6f7c996bd412b6a5d6e1b1a6558a7954fe749003c31ee5cc,PASS,Incremental stereo PSX ADPCM decode; lossless review audio.
