event_sample_id,archive_id,archive_file,local_id,record_index,japanese,status,avg_logprob,no_speech_prob,screening_status,screening_reason,notes
SE6004_08A5_001,6004,6004.SE,0x08A5,1,【音楽】,AUTO_TRANSCRIBED_REVIEW,-1.6799,0.3386,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6004_16E5_006,6004,6004.SE,0x16E5,6,よくもこのかけだろ!,AUTO_TRANSCRIBED_REVIEW,-0.7225,0.0077,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6004_16EA_011,6004,6004.SE,0x16EA,11,どうしー!,AUTO_TRANSCRIBED_REVIEW,-1.1103,0.1160,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6004_16F1_013,6004,6004.SE,0x16F1,13,オラオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオオ,AUTO_TRANSCRIBED_REVIEW,-0.0441,0.4476,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6007_08AF_003,6007,6007.SE,0x08AF,3,うぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅぅ,AUTO_TRANSCRIBED_REVIEW,-0.0398,0.1656,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6007_08B2_004,6007,6007.SE,0x08B2,4,【音楽】,AUTO_TRANSCRIBED_REVIEW,-1.5853,0.3510,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6010_15AD_005,6010,6010.SE,0x15AD,5,わぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁぁ,AUTO_TRANSCRIBED_REVIEW,-0.1609,0.0967,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6010_165F_012,6010,6010.SE,0x165F,12,もう一度,AUTO_TRANSCRIBED_REVIEW,-1.1898,0.4682,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6011_16E5_011,6011,6011.SE,0x16E5,11,よくもこのかけだろ!,AUTO_TRANSCRIBED_REVIEW,-0.7225,0.0077,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
SE6011_16EA_016,6011,6011.SE,0x16EA,16,どうしー!,AUTO_TRANSCRIBED_REVIEW,-1.1103,0.1160,LIKELY_SPEECH_REVIEW,needs_audio_and_runtime_review,Not approved; listen and connect to a field/movie caller before translation.
