id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,canonical_jp_text,reference_glyph_status,reference_glyphs_used,image_glyph_status,image_glyphs_used
SCN_00030100_00740000_0043,SCENARIO,scenario_message,DATA/00030100.MDZ,DATA/00030100.MDT,0x00740000,00030100,42,0x002aa711,0x002aa70c,b6 95 a3 bc 86 86 7e 13 ff 1e 08 de f2 a4 f4 93 ba 9c 21 13 ff 0f 30 f0 3b f0 3a f0 e2 a1 13 ff 2d 0d ff 00,"やっぱりここか<CTRL:13 FF 1E>
単純だよな、<CTRL:13 FF 0F>ミランダは<CTRL:13 FF 2D>","역시 여기였나<CTRL:13 FF 1E>
단순하다니까, <CTRL:13 FF 0F>미란다는<CTRL:13 FF 2D>",91 F3 A8 20 B5 8D 66 F4 70 13 FF 1E 08 E7 F7 B9 F7 81 7C 7B 9F 5D F6 20 13 FF 0F BE 9B F8 7C 93 13 FF 2D 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 03 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":3},{""offset"":7,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":10,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":30,""raw_hex"":""13 ff 2d"",""kind"":""OPAQUE_13_FF"",""argument"":45},{""offset"":33,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_04; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"やっ<G0083>りここか<CTRL:13>マ<CTRL:1E>
単純だよな<G0001><CTRL:13>マ<CTRL:0F>ミランダは<CTRL:13>マ<G000D>",SUPPORTED,"0001,0083",NONE,
SCN_00030100_00740000_0044,SCENARIO,scenario_message,DATA/00030100.MDZ,DATA/00030100.MDT,0x00740000,00030100,43,0x002aa747,0x002aa742,ba 8a 43 21 13 ff 1e 75 9a a1 86 77 96 c1 08 3f f0 e4 e5 9d 75 f0 8e a2 46 46 13 ff 23 08 49 f1 ab bd 43 13 ff 32 0d ff 00,"よし！、<CTRL:13 FF 1E>あとはこいつを
ロッツに渡せば……<CTRL:13 FF 23>
飛べる！<CTRL:13 FF 32>","좋아!<CTRL:13 FF 1E> 이제 이걸
롯츠에게 건네면……<CTRL:13 FF 23>
날 수 있어!<CTRL:13 FF 32>",DA 90 43 13 FF 1E 20 8B CA 20 8B E0 08 C0 F8 59 F3 72 88 20 AF A4 A0 46 46 13 FF 23 08 CF 20 AB 20 7E 89 43 13 FF 32 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0a 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":10},{""offset"":4,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""13 ff 23"",""kind"":""OPAQUE_13_FF"",""argument"":35},{""offset"":29,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":35,""raw_hex"":""13 ff 32"",""kind"":""OPAQUE_13_FF"",""argument"":50},{""offset"":38,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_11; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"よし！<G0001><CTRL:13>マ<CTRL:1E>あとはこいつを
ロッツに渡せば<G0026><G0026><CTRL:13>マ<G0003>
飛べる！<CTRL:13>マ<G0012>",SUPPORTED,"0001,0026",NONE,
SCN_00030200_00740000_0007,SCENARIO,scenario_message,DATA/00030200.MDZ,DATA/00030200.MDT,0x00740000,00030200,6,0x002f5384,0x002f537f,90 79 77 7b a2 21 86 a0 3f f6 a0 81 f1 46 09 0e 00 03 00 08 2e f0 3c f0 47 7d a2 88 c2 a0 a0 f5 a0 08 c3 f6 bc 80 f0 be 7d f0 2a f1 95 98 08 8e 8a b3 92 c2 93 ba 9c 43 07 0e 00 08 00 3a f5 24 f1 7f 84 f1 bd 7e bb 95 98 08 b6 92 bb 21 79 f2 7f 88 be 98 46 08 75 a0 67 f0 a1 cf e5 7e 95 92 8f 46 0d ff 00,"そういえば、この翼の布…<CTRL:09 0E 00 03 00>
ポリーおばさんの畑の
刈り入れ手伝って
せしめたんだよな！<CTRL:07 0E 00 08 00><G04FA>風が来るからって
やたら、急がされて…
あの時はキツかったよ…","그러고 보니 이 날개의 천…<CTRL:09 0E 00 03 00>
폴리 아주머니 밭의
수확을 도와주고
얻어 온 거였지!<CTRL:07 0E 00 08 00>태풍이 온다며
엄청 서두르게 했었지…
그때는 정말 힘들었어…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":14,""raw_hex"":""09 0e 00 03 00"",""kind"":""INLINE_09"",""argument"":3},{""offset"":19,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":33,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":46,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":56,""raw_hex"":""07 0e 00 08 00"",""kind"":""INLINE_07"",""argument"":8},{""offset"":73,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":85,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":98,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"そういえば<G0001>この翼の布<G0026><CTRL:09 0E 00 03 00>
ポリーおばさんの<G0560>の
<G0653>り入れ手伝って
せしめたんだよな！<CTRL:07 0E 00 08 00><G04FA>風が来るからって
やたら<G0001>急がされて<G0026>
あの時はキツかった<G006F><G0026>",SUPPORTED,"0001,0026,006F",SUPPORTED,"0560,0653"
SCN_00030500_00740000_0017,SCENARIO,scenario_message,DATA/00030500.MDZ,DATA/00030500.MDT,0x00740000,00030500,16,0x0028419c,0x00284197,c2 44 08 3a f5 24 f1 9c c2 98 21 84 f1 98 9c 77 84 9b 46 0d ff 00,"ん？
<G04FA>風なんて、来てないけど…","응?
태풍 따위, 오지도 않았는데…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":2,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"ん？
<G04FA>風なんて<G0001>来てないけど<G0026>",SUPPORTED,"0001,0026",NONE,
SCN_00030500_00740000_0037,SCENARIO,scenario_message,DATA/00030500.MDZ,DATA/00030500.MDT,0x00740000,00030500,36,0x002851bf,0x002851ba,a7 45 c2 46 08 d2 3b f0 e8 c5 db 88 c2 9a 08 93 c2 9c 88 c2 a0 08 4e 4d f4 9b f4 a0 32 f2 5c f3 4f 9f 7a 46 0d ff 00,"ふ〜ん…
グラディスさんと
だんなさんの
「あ<G048B>の提意」ねぇ…","흐음…
글래디스 씨와
남편의
「그날의 제안」 말이지…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":4,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":21,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":36,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"ふ〜ん<G0026>
グラディスさんと
だんなさんの
<G002E><G043D><G048B>の提<G037C><G002F>ね<G005A><G0026>",SUPPORTED,"0026,002E,002F,005A,037C,043D",NONE,
SCN_00030800_00740000_0023,SCENARIO,scenario_message,DATA/00030800.MDZ,DATA/00030800.MDT,0x00740000,00030800,22,0x0029ffec,0x0029ffe7,3b f3 c7 f1 3a f5 aa a0 20 f0 d9 d6 46 08 86 a0 a7 f0 99 21 49 f1 42 f1 af f3 7f 34 f5 95 98 bd 08 ee f5 a0 eb f2 97 f2 aa a0 08 20 f0 d9 d6 93 95 92 ba 9c 46 0d ff 00,"滑走<G04FA>へのハシゴ…
この上で、飛行機が待ってる
夢の世界への
ハシゴだったよな…","활주대로 가는 사다리…
이 위에서 비행기가 기다리고 있는
꿈의 세계로 가는
사다리였지…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 09 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":9},{""offset"":13,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":32,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":42,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":53,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_10; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"<G035B>走<G04FA>へのハシゴ<G0026>
この上で<G0001>飛行機が<G04F4>ってる
夢の世界への
ハシゴだったよな<G0026>",SUPPORTED,"0001,0026,04F4",SUPPORTED,035B
SCN_00030800_00740000_0024,SCENARIO,scenario_message,DATA/00030800.MDZ,DATA/00030800.MDT,0x00740000,00030800,23,0x002a0070,0x002a006b,13 ff 0f a4 f1 7c f0 93 9c 21 75 a0 59 f1 13 ff 32 08 df f0 82 b3 f0 84 98 75 85 9c 77 9a 46 46 13 ff 3c 0d ff 00,"<CTRL:13 FF 0F>心配だな、あの子<CTRL:13 FF 32>
早く届けてあげないと……<CTRL:13 FF 3C>","<CTRL:13 FF 0F>걱정되네, 그 애<CTRL:13 FF 32>
얼른 갖다 주지 않으면……<CTRL:13 FF 3C>",13 FF 0F CE F3 B3 31 F0 A4 5D F6 20 83 20 6F F9 13 FF 32 08 7E F0 CF F8 20 EC F2 7C 20 C3 8F 20 CE A2 A0 46 46 13 FF 3C 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 05 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":5},{""offset"":0,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":14,""raw_hex"":""13 ff 32"",""kind"":""OPAQUE_13_FF"",""argument"":50},{""offset"":17,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":32,""raw_hex"":""13 ff 3c"",""kind"":""OPAQUE_13_FF"",""argument"":60},{""offset"":35,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_06; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"<CTRL:13>マ<CTRL:0F>心<G012C>だな<G0001>あの子<CTRL:13>マ<G0012>
早く<G0163>けてあげないと<G0026><G0026><CTRL:13>マ<G001C>",SUPPORTED,"0001,0026,012C,0163",NONE,
SCN_00030900_00740000_0038,SCENARIO,scenario_message,DATA/00030900.MDZ,DATA/00030900.MDT,0x00740000,00030900,37,0x001cd38b,0x001cd386,9c 95 41 13 ff 0a 21 96 77 9d e4 42 13 ff 2d 08 95 98 7e 13 ff 0a 21 77 96 b4 a0 e5 2d f0 93 46 13 ff 1e 08 9b 86 7f d9 f1 da f1 9c a0 7e 08 30 f7 d7 f0 9d a1 21 b0 bd 99 7b f0 7e bb 9c 77 41 13 ff 3c 0d ff 00,"なっ！<CTRL:13 FF 0A>、ついにッ？<CTRL:13 FF 2D>
ってか<CTRL:13 FF 0A>、いつものツボだ…<CTRL:13 FF 1E>
どこが究極なのか
凡人には、まるで分からない！<CTRL:13 FF 3C>","뭐야!<CTRL:13 FF 0A>, 드디어?<CTRL:13 FF 2D>
아니, <CTRL:13 FF 0A>늘 보던 항아리잖아…<CTRL:13 FF 1E>
어디가 궁극이라는 건지
범인인 나로서는 전혀 모르겠어!<CTRL:13 FF 3C>",C2 6F 43 13 FF 0A 5D F6 20 50 F8 27 F0 89 44 13 FF 2D 08 90 7B 5D F6 20 13 FF 0A E2 20 A9 27 F8 20 4A F9 90 8A D8 90 46 13 FF 1E 08 89 27 F0 6A 20 92 F6 A1 F6 8B 86 93 20 AF 8F 08 97 F9 AC AC 20 70 99 8C 93 20 DB D1 F2 20 D2 E8 B4 89 43 13 FF 3C 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 06 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":6},{""offset"":3,""raw_hex"":""13 ff 0a"",""kind"":""OPAQUE_13_FF"",""argument"":10},{""offset"":12,""raw_hex"":""13 ff 2d"",""kind"":""OPAQUE_13_FF"",""argument"":45},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""13 ff 0a"",""kind"":""OPAQUE_13_FF"",""argument"":10},{""offset"":32,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":35,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":46,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":64,""raw_hex"":""13 ff 3c"",""kind"":""OPAQUE_13_FF"",""argument"":60},{""offset"":67,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"なっ<G0021><CTRL:13>マ<CTRL:0A><G0001>ついにッ<G0022><CTRL:13>マ<G000D>
ってか<CTRL:13>マ<CTRL:0A><G0001>いつものツボだ<G0026><CTRL:13>マ<CTRL:1E>
どこが究極なのか
<G0690>人には<G0001>まるで分からない<G0021><CTRL:13>マ<G001C>",SUPPORTED,"0001,0021,0022,0026",SUPPORTED,0690
SCN_00030900_00740000_0039,SCENARIO,scenario_message,DATA/00030900.MDZ,DATA/00030900.MDT,0x00740000,00030900,38,0x001cd3e0,0x001cd3db,86 be a1 46 13 ff 0a 21 2a f1 e2 f4 93 43 13 ff 1e 08 4d f4 21 bf f1 92 9c e5 2d f0 b9 f2 80 2a f1 e2 f4 7f 08 c1 f1 b0 be 92 c2 93 e4 43 13 ff 1e 08 b6 95 92 9c 21 7d 8b 88 c2 e4 41 13 ff 3c 0d ff 00,"これは…<CTRL:13 FF 0A>、伝説だ！<CTRL:13 FF 1E>
あ、新たなツボ焼き伝説が
生まれたんだッ！<CTRL:13 FF 1E>
やったな、おじさんッ！<CTRL:13 FF 3C>","이건…<CTRL:13 FF 0A> 전설이다!<CTRL:13 FF 1E>
아, 새로운 항아리 굽기 전설이
탄생했어!<CTRL:13 FF 1E>
해냈네, 아저씨!<CTRL:13 FF 3C>",8B AF 46 13 FF 0A 20 DB E4 F6 8B 7C 43 13 FF 1E 08 90 5D F6 20 60 F6 99 39 F0 20 4A F9 90 8A 20 91 F6 8D 20 DB E4 F6 8B 08 6B F8 D6 DF 89 43 13 FF 1E 08 94 77 F2 A4 5D F6 20 90 9B EB 43 13 FF 3C 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 07 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":7},{""offset"":4,""raw_hex"":""13 ff 0a"",""kind"":""OPAQUE_13_FF"",""argument"":10},{""offset"":14,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":17,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":36,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":46,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":49,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":61,""raw_hex"":""13 ff 3c"",""kind"":""OPAQUE_13_FF"",""argument"":60},{""offset"":64,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_08; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"これは<G0026><CTRL:13>マ<CTRL:0A><G0001>伝説だ！<CTRL:13>マ<CTRL:1E>
<G043D><G0001><G023F>たなツボ焼き伝説が
生まれたんだッ！<CTRL:13>マ<CTRL:1E>
やったな<G0001>おじさんッ<G0021><CTRL:13>マ<G001C>",SUPPORTED,"0001,0021,0026,023F,043D",NONE,
SCN_00060000_00740000_0006,SCENARIO,scenario_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,5,0x002e1e33,0x002e1e2e,13 ff 0f 88 95 80 a0 90 f5 8c f4 13 ff 1e 08 aa f4 a0 59 f1 7f bc f2 95 98 92 46 46 13 ff 2d 08 8c 87 82 80 be 77 9c e6 f1 80 f1 a0 56 f2 13 ff 1e 08 90 be 9d a3 f0 77 81 f4 a0 46 46 0d ff 00,"<CTRL:13 FF 0F>さっきの馬車<CTRL:13 FF 1E>
女の子が乗ってた……<CTRL:13 FF 2D>
すごくきれいな金色の髪<CTRL:13 FF 1E>
それに長い耳の……","<CTRL:13 FF 0F>아까 그 마차에<CTRL:13 FF 1E>
여자아이가 타고 있었어……<CTRL:13 FF 2D>
아주 예쁜 금빛 머리카락에<CTRL:13 FF 1E>
그리고 긴 귀를 가진……",13 FF 0F 90 9F 20 83 20 92 81 F7 72 13 FF 1E 08 B5 A1 90 8B 6A 20 38 F8 63 20 7E BC 89 46 46 13 FF 2D 08 90 C3 20 9B F4 DE F2 20 E7 4B F4 20 30 F9 8A C5 F4 9A F8 72 13 FF 1E 08 83 8A 63 20 B3 F6 20 96 F6 A7 20 6A E5 46 46 0D FF 00,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":0,""raw_hex"":""13 ff 0f"",""kind"":""OPAQUE_13_FF"",""argument"":15},{""offset"":11,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":28,""raw_hex"":""13 ff 2d"",""kind"":""OPAQUE_13_FF"",""argument"":45},{""offset"":31,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":46,""raw_hex"":""13 ff 1e"",""kind"":""OPAQUE_13_FF"",""argument"":30},{""offset"":49,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":61,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역; <CTRL>/<Gxxxx> 구조 토큰 보존.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. 구조 토큰 보존.,"<CTRL:13>マ<CTRL:0F>さっきの<G0550><G047C><CTRL:13>マ<CTRL:1E>
女の子が乗ってた<G0026><G0026><CTRL:13>マ<G000D>
すごくきれいな金色の<G02A6><CTRL:13>マ<CTRL:1E>
それに長い<G0471>の<G0026><G0026>",SUPPORTED,0026,SUPPORTED,"02A6,0471,047C,0550"
