id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
FIELD_RESOURCE_00000200_R00740000_M6000_0001,SCENARIO,field_resource_message,DATA/00000200.MDZ,DATA/00000200.MDT,0x00740000,00000200,0,0x001562ad,0x001562a8,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00000200_R00740000_M6000_0002,SCENARIO,field_resource_message,DATA/00000200.MDZ,DATA/00000200.MDT,0x00740000,00000200,1,0x0015637f,0x0015637a,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00000201_R00740000_M6000_0001,SCENARIO,field_resource_message,DATA/00000201.MDZ,DATA/00000201.MDT,0x00740000,00000201,2,0x001769ad,0x001769a8,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00000201_R00740000_M6000_0002,SCENARIO,field_resource_message,DATA/00000201.MDZ,DATA/00000201.MDT,0x00740000,00000201,3,0x00176a7f,0x00176a7a,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00008000_R00740000_M6000_0001,SCENARIO,field_resource_message,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,4,0x000493cd,0x000493c8,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00008000_R00740000_M6000_0002,SCENARIO,field_resource_message,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,5,0x0004949f,0x0004949a,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00030000_R00740000_M6000_0001,SCENARIO,field_resource_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,6,0x008d0d5d,0x008d0d58,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00030000_R00740000_M6000_0002,SCENARIO,field_resource_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,7,0x008d0e2f,0x008d0e2a,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00030100_R00740000_M6000_0001,SCENARIO,field_resource_message,DATA/00030100.MDZ,DATA/00030100.MDT,0x00740000,00030100,8,0x002a95dd,0x002a95d8,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
FIELD_RESOURCE_00030100_R00740000_M6000_0002,SCENARIO,field_resource_message,DATA/00030100.MDZ,DATA/00030100.MDT,0x00740000,00030100,9,0x002a96af,0x002a96aa,21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00,"<G0001>
<CTRL:12><CTRL:00><G0041>P・MPが全回復した
<G0001>","<G0001>
<CTRL:12><CTRL:00>HP·MP가 모두 회복됐다
<G0001>",41 08 12 00 61 69 48 66 69 6A 20 D2 AA 20 EC 20 F0 3B F8 92 08 41 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 1, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 2, ""raw_hex"": ""12"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 3, ""raw_hex"": ""00"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 20, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x6000.
