id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
BATTLE_HELP_0001,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0001,,0,0x027880,0x027804,16 00 05 00 00 00 17 00 20 00 40 01 16 00 02 00 01 00 16 00 08 00 01 00 02 00 68 54 20 E4 F0 62 5D F0 7C 9B 6A 7A 57 62 A0 9A 1F 00 C3 E6 27 C9 EC A4 ED 75 78 E5 C5 7F 1F 00 57 90 D4 F0 7D 57 59 7A B7 1A 00,"さぁ　軽く手ならしといくわよ
チュートリアルってヤツね
いま風にいうとサ","자, 몸 좀 풀어 보자
튜토리얼이야
요즘식으로 말이지",16 00 05 00 00 00 17 00 20 00 40 01 16 00 02 00 01 00 16 00 08 00 01 00 02 00 81 3D F6 20 2C F9 20 60 F3 20 4A F7 69 20 89 81 1F 00 8A F5 66 F1 6A 5E F0 6B 4F 1F 00 52 8D F4 EB 82 79 20 77 6B 6F 1A 00,,"[{""offset"":161920,""relative_offset"":0,""raw_hex"":""16 00 05 00 00 00 17 00 20 00 40 01 16 00 02 00 01 00 16 00 08 00 01 00 02 00"",""kind"":""RECORD_PREFIX""},{""offset"":161962,""relative_offset"":42,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":161976,""relative_offset"":56,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":161987,""relative_offset"":67,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x27880"",""record_end"":""0x278C5"",""record_size"":69,""line_offsets"":[""0x2789A"",""0x278AC"",""0x278BA""],""line_raw_hex"":[""68 54 20 E4 F0 62 5D F0 7C 9B 6A 7A 57 62 A0 9A"",""C3 E6 27 C9 EC A4 ED 75 78 E5 C5 7F"",""57 90 D4 F0 7D 57 59 7A B7""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0002,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0002,,1,0x0278C5,0x027804,16 00 03 00 01 00 3C 00 50 00 50 00 50 00 1F 00 66 9E 5F 42 49 B4 27 BA 75 78 96 76 7F 1F 00 ED F1 7D 61 F0 80 7C F2 5E 20 A0 5E 75 74 95 59 1F 00 6C 63 9E 94 80 80 B4 27 BA 7C 80 9A 1A 00,"これがIＰゲージってやつね
次に誰の番か　わかっちゃう
すぐれもののゲージなのよ","이게 IP 게이지야
다음 차례를
바로 보여 주는 게이지야",16 00 03 00 01 00 3C 00 50 00 50 00 50 00 1F 00 6B 68 20 42 49 20 68 6B 6F 4F 1F 00 72 B1 20 61 F7 99 F8 87 1F 00 9F 79 20 89 95 20 A3 73 20 68 6B 6F 4F 1A 00,,"[{""offset"":162003,""relative_offset"":14,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162018,""relative_offset"":29,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162036,""relative_offset"":47,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162050,""relative_offset"":61,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x278C5"",""record_end"":""0x27904"",""record_size"":63,""line_offsets"":[""0x278D5"",""0x278E4"",""0x278F6""],""line_raw_hex"":[""66 9E 5F 42 49 B4 27 BA 75 78 96 76 7F"",""ED F1 7D 61 F0 80 7C F2 5E 20 A0 5E 75 74 95 59"",""6C 63 9E 94 80 80 B4 27 BA 7C 80 9A""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0003,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0003,,2,0x027904,0x027804,16 00 03 00 01 00 48 00 50 00 18 00 18 00 1F 00 42 49 B4 27 BA 87 F0 80 B9 EA DD ED 5F 1A 00,IＰゲージ上のシンボルが,IP 게이지 심볼이,16 00 03 00 01 00 48 00 50 00 18 00 18 00 1F 00 42 49 20 68 6B 6F 20 5C F8 C4 F0 6B 1A 00,,"[{""offset"":162066,""relative_offset"":14,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162081,""relative_offset"":29,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x27904"",""record_end"":""0x27923"",""record_size"":31,""line_offsets"":[""0x27914""],""line_raw_hex"":[""42 49 B4 27 BA 87 F0 80 B9 EA DD ED 5F""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0004,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0004,,3,0x027923,0x027804,16 00 03 00 01 00 50 00 6C 00 18 00 18 00 1F 00 66 66 20 3C 48 46 A3 F0 5E F2 7D 64 F1 72 9B 1F 00 2A F3 5A F0 AC C4 B3 27 75 78 66 7A 7F 1A 00,"ここ　COＭ地点に来たら
準備オッケーってことね","COM에 도착하면
행동 준비 완료야",16 00 03 00 01 00 50 00 6C 00 18 00 18 00 1F 00 3C 48 46 7D 20 4E 82 F7 61 80 1F 00 A5 E7 F7 20 66 F4 98 20 9F F5 A4 F8 4F 1A 00,,"[{""offset"":162097,""relative_offset"":14,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162114,""relative_offset"":31,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162129,""relative_offset"":46,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x27923"",""record_end"":""0x27953"",""record_size"":48,""line_offsets"":[""0x27933"",""0x27944""],""line_raw_hex"":[""66 66 20 3C 48 46 A3 F0 5E F2 7D 64 F1 72 9B"",""2A F3 5A F0 AC C4 B3 27 75 78 66 7A 7F""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0005,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0005,,4,0x027953,0x027804,02 00 1F 00 16 00 03 00 00 00 00 00 00 00 00 00 00 00 16 00 00 00 00 00 16 00 01 00 00 00 02 00 B9 EA DD ED 5F 3C 48 46 A3 F0 5E F2 7D 64 F1 9D 7A 1F 00 DC A6 27 ED B5 DF EA CA 75 78 80 5F 1F 00 68 F0 78 60 74 95 59 80 9A 1A 00,"シンボルがCOＭ地点に来ると
ホイールコマンドってのが
出てきちゃうのよ","심볼이 COM 지점에 오면
휠 커맨드라는 게
나타나",02 00 1F 00 16 00 03 00 00 00 00 00 00 00 00 00 00 00 16 00 00 00 00 00 16 00 01 00 00 00 02 00 5C F8 C4 F0 6B 20 3C 48 46 20 6F 40 F1 7D 20 90 80 1F 00 D6 F4 20 85 F5 CA F0 30 F8 66 73 20 68 1F 00 50 E8 F7 50 1A 00,,"[{""offset"":162135,""relative_offset"":4,""raw_hex"":""16 00 03 00 00 00 00 00 00 00 00 00 00 00 16 00 00 00 00 00 16 00 01 00 00 00 02 00"",""kind"":""RECORD_PREFIX""},{""offset"":162133,""relative_offset"":2,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162180,""relative_offset"":49,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162194,""relative_offset"":63,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162205,""relative_offset"":74,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x27953"",""record_end"":""0x2799F"",""record_size"":76,""line_offsets"":[""0x27973"",""0x27986"",""0x27994""],""line_raw_hex"":[""B9 EA DD ED 5F 3C 48 46 A3 F0 5E F2 7D 64 F1 9D 7A"",""DC A6 27 ED B5 DF EA CA 75 78 80 5F"",""68 F0 78 60 74 95 59 80 9A""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0006,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0006,,5,0x02799F,0x027804,16 00 03 00 01 00 80 00 D0 00 40 00 60 00 1F 00 76 90 9C 20 66 9E 80 66 7A 7F 1A 00,つまり　これのことね,바로 이거야,16 00 03 00 01 00 80 00 D0 00 40 00 60 00 1F 00 9F 79 20 6B 6E 4F 1A 00,,"[{""offset"":162221,""relative_offset"":14,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162233,""relative_offset"":26,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x2799F"",""record_end"":""0x279BB"",""record_size"":28,""line_offsets"":[""0x279AF""],""line_raw_hex"":[""76 90 9C 20 66 9E 80 66 7A 7F""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0007,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0007,,6,0x0279BB,0x027804,DC A6 27 ED B5 DF EA CA 80 BC F2 5E 9B 1F 00 96 9C 72 57 66 7A A1 73 F0 A2 79 1F 00 D0 F3 B2 F1 6C A2 80 1A 00,"ホイールコマンドの中から
やりたいことを選んで
決定すんの","휠 메뉴에서
원하는 행동을 골라
결정하는 거야",D6 F4 20 E7 F8 92 F7 7D 6C 1F 00 30 F7 61 73 20 A5 E7 F7 A1 20 67 F5 66 1F 00 B7 F4 93 61 73 20 6E 4F 1A 00,,"[{""offset"":162248,""relative_offset"":13,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162261,""relative_offset"":26,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162270,""relative_offset"":35,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x279BB"",""record_end"":""0x279E0"",""record_size"":37,""line_offsets"":[""0x279BB"",""0x279CA"",""0x279D7""],""line_raw_hex"":[""DC A6 27 ED B5 DF EA CA 80 BC F2 5E 9B"",""96 9C 72 57 66 7A A1 73 F0 A2 79"",""D0 F3 B2 F1 6C A2 80""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0008,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0008,,7,0x0279E0,0x027804,16 00 03 00 01 00 78 00 D4 00 20 00 20 00 1F 00 70 59 7F 5A 20 34 F1 6D F0 81 96 75 83 1F 00 A2 F0 7D F0 BC F2 80 A2 F0 7D F0 B5 EA DD 5E 6A 9B 1A 00,"そうねぇ　最初はやっぱ
基本中の基本コンボかしら","처음엔 역시
기본인 콤보가 좋겠지",16 00 03 00 01 00 78 00 D4 00 20 00 20 00 1F 00 BE F8 B1 DA F5 20 71 F3 88 1F 00 6D 55 F0 8C 20 A6 F6 89 4A 20 BA 94 6F 1A 00,,"[{""offset"":162286,""relative_offset"":14,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162301,""relative_offset"":29,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162320,""relative_offset"":48,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x279E0"",""record_end"":""0x27A12"",""record_size"":50,""line_offsets"":[""0x279F0"",""0x279FF""],""line_raw_hex"":[""70 59 7F 5A 20 34 F1 6D F0 81 96 75 83"",""A2 F0 7D F0 BC F2 80 A2 F0 7D F0 B5 EA DD 5E 6A 9B""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0009,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0009,,8,0x027A12,0x027804,73 F0 A2 79 D0 F3 B2 F1 6A 78 67 9B A2 1A 00,選んで決定してごらん,골라서 결정해 봐,67 F5 66 6C 20 B7 F4 93 74 20 D0 F1 1A 00,,"[{""offset"":162335,""relative_offset"":13,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x27A12"",""record_end"":""0x27A21"",""record_size"":15,""line_offsets"":[""0x27A12""],""line_raw_hex"":[""73 F0 A2 79 D0 F3 B2 F1 6A 78 67 9B A2""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
BATTLE_HELP_0010,BATTLE_HELP,tutorial_dialogue,SYS/GR3.MDZ,GR3.MDT,presentation_record_0010,,9,0x027A21,0x027804,02 00 1F 00 16 00 03 00 00 00 00 00 00 00 00 00 00 00 16 00 01 00 06 00 02 00 ED F1 7D D6 F4 5D F0 A1 D0 F3 93 A2 80 1F 00 5E A0 57 70 59 7C 90 F5 70 F3 86 F1 81 26 26 1F 00 E4 F2 80 92 F9 31 F1 3A 20 55 A2 72 7D D0 F3 93 72 23 1A 00,"次に相手を決めんの
かわいそうな被害者は……
謎の傭兵A　あんたに決めた！","다음은 상대 선택이야
불쌍한 희생자는……
용병 A, 너로 정했어!",02 00 1F 00 16 00 03 00 00 00 00 00 00 00 00 00 00 00 16 00 01 00 06 00 02 00 72 B1 5D 20 BD 8D 20 AF F6 DC F8 6B 4F 1F 00 95 F2 8B F8 7A 20 21 F2 B6 81 73 26 26 1F 00 A7 F6 82 F9 20 3A 3D F6 20 D3 79 20 93 BF 69 23 1A 00,,"[{""offset"":162341,""relative_offset"":4,""raw_hex"":""16 00 03 00 00 00 00 00 00 00 00 00 00 00 16 00 01 00 06 00 02 00"",""kind"":""RECORD_PREFIX""},{""offset"":162339,""relative_offset"":2,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162376,""relative_offset"":39,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162393,""relative_offset"":56,""raw_hex"":""1F 00"",""kind"":""LINE_SEPARATOR""},{""offset"":162413,""relative_offset"":76,""raw_hex"":""1A 00"",""kind"":""MESSAGE_END""}]",TRANSLATED,NO,classification=tutorial_dialogue; related_event_id=tutorial_battle_basics; related_skill_action=battle_tutorial_step; direct_skill_pointer=UNPROVEN; confidence=HIGH; source container 0xA0000920 index 7.,"{""record_start"":""0x27A21"",""record_end"":""0x27A6F"",""record_size"":78,""line_offsets"":[""0x27A3B"",""0x27A4A"",""0x27A5B""],""line_raw_hex"":[""ED F1 7D D6 F4 5D F0 A1 D0 F3 93 A2 80"",""5E A0 57 70 59 7C 90 F5 70 F3 86 F1 81 26 26"",""E4 F2 80 92 F9 31 F1 3A 20 55 A2 72 7D D0 F3 93 72 23""],""pointer_indices"":[0],""pointer_offsets"":[""0x27804""],""occurrence_count"":1,""confidence"":""HIGH"",""classification"":""tutorial_dialogue"",""related_event_id"":""tutorial_battle_basics"",""related_skill_action"":""battle_tutorial_step"",""direct_skill_pointer"":""UNPROVEN""}"
