event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes
gr3_stream_009d,0x9D,0,3.740,6.540,アルフィナ,,"ヨウト様、おけがは?","ヨウト様、お怪我は？",MANUAL_AUDIO_SCENE_REVIEW,"요우토 님, 다치신 데는 없으세요?",DRAFT_CONTEXT_REVIEWED,코넬·비올레타 퇴각 후 일행이 성수 요우토와 대화하는 장면.,혼합·좌·우 채널과 Whisper-small 단어 경계를 교차 검수.,실제 발화 3.94초를 기준으로 시작 보정.
gr3_stream_009d,0x9D,1,6.580,9.260,ヨウト,,"大事はない。","うむ、大事はない。",MANUAL_AUDIO_SCENE_REVIEW,"음, 별일 없다.",DRAFT_CONTEXT_REVIEWED,요우토가 일행의 안부를 묻기 전 자신의 상태를 답하는 장면.,양 채널 공통 발화와 장면 흐름 교차 검수.,짧은 선행 응답 うむ를 복원.
gr3_stream_009d,0x9D,2,9.760,12.400,ヨウト,,"そなたらはどうだ?","そなたらはどうだ？",MANUAL_AUDIO_SCENE_REVIEW,"그대들은 괜찮으냐?",DRAFT_CONTEXT_REVIEWED,요우토가 일행의 부상 여부를 확인하는 장면.,Whisper-small 단어 경계 9.96~12.20초.,문장 종결만 정리.
gr3_stream_009d,0x9D,3,13.240,19.300,ユウキ,,"あの、さっきのゾーンを消し去った力は一体","あ、あの……さっきのゾーンを消し去った力は一体……？",MANUAL_AUDIO_SCENE_REVIEW,"저, 저기…… 아까 존을 없앤 그 힘은 대체 무엇인가요……?",DRAFT_CONTEXT_REVIEWED,유우키가 요우토에게 존을 없앤 힘의 정체를 묻는 장면.,양 채널 전사와 공개 장면 기록의 동일 질문을 교차 검수.,머뭇거림을 보존하고 2줄 자막으로 배치.
gr3_stream_009d,0x9D,4,20.120,23.720,ヨウト,,"絆を立ち切る力だ。","絆を断ち切る力だ。",MANUAL_AUDIO_SCENE_REVIEW,"인연을 끊어 내는 힘이다.",DRAFT_CONTEXT_REVIEWED,요우토가 존을 없앤 힘을 설명하는 장면.,양 채널 청취와 공개 장면 기록의 정확한 문구를 교차 검수.,ASR의 立ち切る를 관용 표현 断ち切る로 교정.
gr3_stream_009d,0x9D,5,26.000,28.860,ヨウト,,"生きるとは失うこと","生きるとは失うこと。",MANUAL_AUDIO_SCENE_REVIEW,"살아간다는 것은 잃는다는 것.",DRAFT_CONTEXT_REVIEWED,요우토가 삶과 상실을 설명하는 장면.,혼합 채널 단어 경계와 장면 기록 교차 검수.,발화 사이의 감탄성 숨소리는 별도 큐에서 제외.
gr3_stream_009d,0x9D,6,29.760,33.520,ヨウト,,"そなたらにも失ったものがあろう","そなたらにも失ったものがあろう。",MANUAL_AUDIO_SCENE_REVIEW,"그대들에게도 잃어버린 것이 있을 터.",DRAFT_CONTEXT_REVIEWED,요우토가 일행의 상실을 짚는 장면.,Whisper-small 양 채널 공통 전사.,고어 어조를 한국어 문맥에 유지.
gr3_stream_009d,0x9D,7,34.040,37.380,ヨウト,,"だから、諦めてはならない","だから、諦めてはならない。",MANUAL_AUDIO_SCENE_REVIEW,"그러니 포기해서는 안 된다.",DRAFT_CONTEXT_REVIEWED,요우토가 일행에게 포기하지 말라고 당부하는 장면.,양 채널 공통 전사와 장면 요약 교차 검수.,실제 음성의 ならない를 채용.
gr3_stream_009d,0x9D,8,38.100,42.820,ヨウト,,"真実はその中にこそ秘められておるのだから","真実はその中にこそ秘められておるのだから。",MANUAL_AUDIO_SCENE_REVIEW,"진실은 바로 그 안에 숨겨져 있는 것이니.",DRAFT_CONTEXT_REVIEWED,요우토가 상실 속의 진실을 말하는 장면.,양 채널 공통 전사와 단어별 확률을 검수.,에코가 강하지만 전 문절이 양 채널에서 일치.
gr3_stream_009d,0x9D,9,43.460,48.240,ヨウト,,"真実は失われたものの中に","真実は……失われたものの中に",MANUAL_AUDIO_SCENE_REVIEW,"진실은…… 잃어버린 것 속에서",DRAFT_CONTEXT_REVIEWED,요우토가 다나에게 진실을 찾으라고 지시하는 문장의 전반부.,양 채널 단어 경계와 후속 호명 문맥을 교차 검수.,긴 침묵을 사이에 둔 후속 구절과 큐를 분리.
