id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,canonical_jp_text,reference_glyph_status,reference_glyphs_used
SCN_00030600_00740000_0022,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,21,0x0025ea0d,0x0025ea08,7d 95 8c 43 08 9b 79 44 21 94 b5 c2 9a b9 f2 77 98 bd 44 0d ff 00,"おっす！
どう？、ちゃんと焼いてる？","안녕!
어때? 제대로 굽고 있어?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 03 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":3},{""offset"":4,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_04; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"おっす！
どう？<G0001>ちゃんと焼いてる？",SUPPORTED,0001
SCN_00030600_00740000_0023,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,22,0x0025ea70,0x0025ea6b,2c f0 3a f0 e9 7e 74 44 08 8b b5 75 21 90 a0 50 f1 dd f1 95 98 9b be 44 08 a1 f0 8e 98 82 be 43 0d ff 00,"ホントかぁ？
じゃあ、その作品ってどれ？
見せてくれ！","정말이야?
그럼 그 작품은 어느 거야?
보여 줘!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 03 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":3},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":32,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_04; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ホントか<G0054>？
じゃあ<G0001>その作品ってどれ？
見せてくれ！",SUPPORTED,"0001,0054"
SCN_00030600_00740000_0024,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,23,0x0025eaed,0x0025eae8,b9 f2 80 b0 82 95 98 c2 93 bf 44 08 9c c2 99 21 50 f1 dd f1 7f 90 f0 77 c2 93 ba 44 0d ff 00,"焼きまくってんだろ？
なんで、作品が無いんだよ？","계속 굽고 있는 거잖아?
그런데 왜 작품이 하나도 없어?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":28,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"焼きまくってんだろ？
なんで<G0001>作品が無いんだよ？",SUPPORTED,0001
SCN_00030600_00740000_0027,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,26,0x0025ed67,0x0025ed62,7b 44 21 3f f0 e4 e5 46 44 0d ff 00,え？、ロッツ…？,어? 롯츠…?,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":9,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,え？<G0001>ロッツ<G0026>？,SUPPORTED,"0001,0026"
SCN_00030600_00740000_0030,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,29,0x0025ef94,0x0025ef8f,b0 92 e6 f1 8e f4 bc 92 a0 7e 43 08 4d f4 b9 f1 a1 21 93 be 9d 44 0d ff 00,"また金借りたのか！
あ度は、だれに？","또 돈을 빌린 거야!
이번에는 누구한테?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"また金<G047E>りたのか！
<G043D>度は<G0001>だれに？",SUPPORTED,"0001,043D,047E"
SCN_00030600_00740000_0033,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,32,0x0025f0f7,0x0025f0f2,90 be 7f 88 46 21 c4 c6 e5 21 8a a2 bb 82 08 b0 f3 95 98 84 f1 9c 77 bb 8a 77 c2 93 08 b5 f0 9d 88 f0 bd 95 98 88 46 0d ff 00,"それがさ…、アイツ、しばらく
戻って来ないらしいんだ
旅に出るってさ…","그게 말이야… 그 녀석, 당분간
돌아오지 않을 모양이야
여행을 떠난다나 봐…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 09 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":9},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":28,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":39,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_10; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"それがさ<G0026><G0001>アイツ<G0001>しばらく
<G03D0>って来ないらしいんだ
旅に出るってさ<G0026>",SUPPORTED,"0001,0026,03D0"
SCN_00030600_00740000_0034,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,33,0x0025f18b,0x0025f186,49 f1 42 f1 af f3 8b b5 9c 77 84 9b 46 08 80 f1 87 f6 75 95 98 88 46 0d ff 00,"飛行機じゃないけど…
色々あってさ…","비행기는 아니지만…
여러 가지 일이 있었어…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":13,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":23,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"飛行機じゃないけど<G0026>
色々あってさ<G0026>",SUPPORTED,0026
SCN_00030600_00740000_0036,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,35,0x0025f251,0x0025f24c,77 b6 21 87 b3 c2 46 0d ff 00,いや、ごめん…,"아니, 미안…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":7,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,いや<G0001>ごめん<G0026>,SUPPORTED,"0001,0026"
SCN_00030600_00740000_0037,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,36,0x0025f2c4,0x0025f2bf,8d 95 9a 21 7e b0 b1 f0 9d 77 92 a0 7e ba 44 08 5c f1 8b b5 62 f0 da f0 22 f4 7f 75 95 92 c2 93 8f 43 08 d2 3b f0 e8 c5 db 88 c2 7f 08 d7 f0 85 f4 9d 88 be 98 88 43 0d ff 00,"ずっと、かま場にいたのかよ？
外じゃ大事件があったんだよ！
グラディスさんが
人質にされてさ！","계속 가마터에만 있었던 거야?
밖에서는 큰 사건이 있었다고!
글래디스 씨가
인질로 잡혔었다니까!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 06 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":6},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":34,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":44,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":55,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ずっと<G0001>かま場にいたのかよ？
<G01DC>じゃ大事<G0412>があったんだ<G006F>！
グラディスさんが
人質にされてさ！",SUPPORTED,"0001,006F,01DC,0412"
SCN_00030600_00740000_0039,SCENARIO,scenario_message,DATA/00030600.MDZ,DATA/00030600.MDT,0x00740000,00030600,38,0x0025f3c7,0x0025f3c2,a7 45 c2 08 99 21 93 77 92 77 08 9b be 82 bb 77 21 27 f1 94 9a f0 c2 99 c2 a0 44 0d ff 00,"ふ〜ん
で、だいたい
どれくらい、落ち込んでんの？","흐음
그래서, 대체
얼마나 풀이 죽은 거야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 01 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":1},{""offset"":3,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":10,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":27,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_02; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ふ〜ん
で<G0001>だいたい
どれくらい<G0001>落ち込んでんの？",SUPPORTED,0001
