id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
COMMON_FIELD_NAME_0001,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,0,0x6521E4,0x652184,A4 EA D6 AB B2 80 82 F0,アンフォグの村,안포그 마을,9B D3 F6 63 20 5C A1,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0002,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,1,0x6521ED,0x65218C,B7 D1 C1 27 ED 80 23 F4,サバタールの港,사바타르 항구,7E 9F E8 F7 C8 20 2A F9 9D,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0003,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,2,0x6521F6,0x652194,EB EA CA 27 C9 80 56 F5,ランドートの島,란도토 섬,7B F8 4E 66 F1 20 CA F6,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0004,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,3,0x6521FF,0x65219C,E2 EA C8 A5 80 72 F3,メンディの街,멘디 마을,EA F8 D7 20 5C A1,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0005,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,4,0x652207,0x6521A4,29 F1 2E F1 80 EE F4,飛竜の谷,비룡의 계곡,98 A5 F8 75 20 B9 EF F4,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0006,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,5,0x65220F,0x6521AC,D1 B1 EB 80 D7 F2 D7 F0,バクラの集落,바쿠라 촌락,9F B6 F6 66 20 27 F2 7A F8,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0007,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,6,0x652218,0x6521B4,22 F0 A9 BA E4 BB 80 92 F1,ヴェジャスの森,베자스 숲,79 F9 81 BC 20 A6 F7,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0008,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,7,0x652222,0x6521BC,E2 ED B1 8E F0 8F F0,メルク遺跡,멜크 유적,EC F8 44 F7 20 A8 41 F0,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0009,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,8,0x65222A,0x6521C4,EB D6 EC CA 80 36 F5,ラフリドの町,라플리드 마을,66 84 F7 6A 30 F8 20 5C A1,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0010,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,9,0x652232,0x6521CC,BB ED DF CC A4,スルマニア,수르마니아,8B C8 5C 5B 70,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
COMMON_FIELD_NAME_0011,FIELD_RUNTIME,field_name_directory,DATA/30000000.MDZ,30000000.MDT,field-name-directory-12,,10,0x652238,0x6521D4,A4 27 B1 EC D6 D3 F1 4B F5,アークリフ神殿,아크리프 신전,70 44 F7 6A 6E F7 20 B0 BB,,[],TRANSLATED,NO,"PROVEN: DATA/30000000 compact field-name directory; descriptor stores relative offset, NUL-inclusive byte length, and glyph count",Runtime field-name banner source; fixed-size MDT candidate roundtrip verified.
