id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
FIELD_RESOURCE_00030100_R00740000_M4000_0001,SCENARIO,field_resource_message,DATA/00030100.MDZ,DATA/00030100.MDT,0x00740000,00030100,10,0x002aa6af,0x002aa6aa,91 f0 92 f0 21 dd 47 27 f0 a1 88 f0 84 f1 b0 8e c2 0d ff 00,<G0141><G0142><G0001>セーブは出来ません,현재 저장할 수 없습니다,D6 F2 AE F9 20 9B A6 CD 20 AB 20 B1 49 F8 7B 92 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 17, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4000.
FIELD_RESOURCE_00060000_R00740000_M4000_0001,SCENARIO,field_resource_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,35,0x002e1cbf,0x002e1cba,ab f0 ac f0 c1 8e f3 84 bd 9d a1 08 ab f0 ac f0 a0 8f f2 60 f2 99 b6 f9 c1 08 7a f3 8a 98 82 93 88 77 0d ff 00,"宝<G015C>を開けるには
宝<G015C>の正面で<G08B6>を
押してください","보물상자를 열려면
보물상자 정면에서 <G08B6> 버튼을
누르세요",A9 3A F0 DD A1 A7 20 D5 F3 CB A0 08 A9 3A F0 DD A1 20 B3 A0 9D 8C 20 D6 F9 20 D3 5B F3 C1 08 A7 F7 E8 E6 72 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 11, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 25, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 34, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4000.
FIELD_RESOURCE_00060000_R00740000_M4001_0001,SCENARIO,field_resource_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,36,0x002e1cf7,0x002e1cf2,86 a0 d3 f1 cf f0 99 b6 f9 c1 7a f3 8c 9a 08 ab f0 ac f0 7f 8e f3 80 b0 8c 0d ff 00,"この位置で<G08B6>を押すと
宝<G015C>が開きます","이 위치에서 <G08B6> 버튼을 누르면
보물상자가 열립니다",8B 20 5F F7 5F F3 9D 8C 20 D6 F9 20 D3 5B F3 C1 20 A7 F7 E8 A0 08 A9 3A F0 DD A1 6A 20 D5 F3 B0 F1 7B 92 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 14, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 25, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4001.
FIELD_RESOURCE_00060000_R00740000_M4002_0001,SCENARIO,field_resource_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,37,0x002e1d27,0x002e1d22,ab f0 ac f0 7e bb 88 f0 91 f0 8a 92 c4 c6 e7 31 f0 a1 08 90 a0 5c f0 dd f2 9d 8f f1 97 82 9a 08 80 f0 7d f0 8c bd 86 9a 7f 99 80 b0 8c 0d ff 00,"宝<G015C>から出<G0141>したアイテムは
その方向に<G020F>づくと
入手することができます","보물상자에서 나온 아이템은
그 방향으로 다가가면
획득할 수 있습니다",A9 3A F0 DD A1 9D 8C 20 70 3C F5 20 90 8B 85 F1 7D 08 83 20 91 F9 C4 F9 A2 99 20 92 6A 6A A0 08 68 F9 52 F8 CD 20 AB 20 7E 49 F8 7B 92 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 18, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 31, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 45, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4002.
FIELD_RESOURCE_00060000_R00740000_M4003_0001,SCENARIO,field_resource_message,DATA/00060000.MDZ,DATA/00060000.MDT,0x00740000,00060000,38,0x002e1d6f,0x002e1d6a,80 f0 7d f0 8a 92 c4 c6 e7 31 f0 a1 08 b8 f1 94 e3 f0 9d db e9 e4 d1 88 be b0 8c 07 82 f5 8b c4 c6 e7 31 f0 7f 59 7f f0 75 bd b1 f0 a3 f1 a1 08 80 f0 7d f0 8c bd 86 9a 7f 99 80 b0 8e c2 07 b8 f1 94 e3 f0 a1 b9 f9 c1 7a f3 8c 9a 8e f3 7e be bd 08 db e7 47 e1 db e0 f2 60 f2 99 94 f3 88 f5 99 80 b0 8c 0d ff 00,"入手したアイテムは
持ち物にストックされます<CTRL:07><G0542>じアイテムが<G0039><G012F>ある場合は
入手することができません<CTRL:07>持ち物は<G08B9>を押すと開かれる
ステータス<G0330>面で<G03B4><G0548>できます","획득한 아이템은
소지품에 보관됩니다<CTRL:07>같은 아이템을 이미 갖고 있으면
획득할 수 없습니다<CTRL:07>소지품은 <G08B9> 버튼을 누르면 열리는
상태 화면에서 확인할 수 있습니다",68 F9 52 F8 9A 20 90 8B 85 F1 7D 08 D4 8F 70 F7 9D 20 A9 45 F6 42 F8 7B 92 07 D5 7D 20 90 8B 85 F1 C1 20 8B BC 20 EC F2 63 20 7E A2 A0 08 68 F9 52 F8 CD 20 AB 20 B1 49 F8 7B 92 07 D4 8F 70 F7 7D 20 D9 F9 20 D3 5B F3 C1 20 A7 F7 E8 A0 20 D5 F3 8A 93 08 DD 23 F9 20 99 F4 A0 9D 8C 20 B2 F4 AC CD 20 AB 20 7E 49 F8 7B 92 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 12, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 27, ""raw_hex"": ""07"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 47, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 62, ""raw_hex"": ""07"", ""kind"": ""UNKNOWN_CONTROL""}, {""offset"": 81, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 100, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4003.
FIELD_RESOURCE_00061000_R00740000_M4000_0001,SCENARIO,field_resource_message,DATA/00061000.MDZ,DATA/00061000.MDT,0x00740000,00061000,41,0x00448997,0x00448992,26 f0 c5 47 3d f0 ea c1 a7 f1 77 98 77 bd 9a 80 08 b8 f9 99 d3 f2 32 f1 d8 f0 52 f4 7f 42 f1 7b b0 8c 08 b8 f9 c1 7a f3 8a 98 b1 b0 8a b9 79 0d ff 00,"フィールドを歩いているとき
<G08B8>で周辺<G0188><G0442>が行えます
<G08B8>を押してみましょう","필드를 이동할 때
<G08B8> 버튼으로 주변을 검색할 수 있습니다
<G08B8> 버튼을 눌러 보세요",C1 F7 50 F8 A7 20 8B 37 F8 CD 20 E4 08 D8 F9 20 D3 5B F3 A2 99 20 C3 9C F9 C1 20 35 F4 7C F6 CD 20 AB 20 7E 49 F8 7B 92 08 D8 F9 20 D3 5B F3 C1 20 AB F7 C6 20 A9 E6 72 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 16, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 34, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 47, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4000.
FIELD_RESOURCE_00061000_R00740000_M4001_0001,SCENARIO,field_resource_message,DATA/00061000.MDZ,DATA/00061000.MDT,0x00740000,00061000,42,0x004489df,0x004489da,d3 f2 32 f1 d8 f0 52 f4 c1 42 f1 79 9a 08 d7 47 e3 2e f0 c6 3a f0 e9 7f 22 f2 bc b0 8c 08 b0 c0 bc 99 9c 9d 7e 22 f2 95 92 bb 08 90 a0 b1 f0 28 f3 9d 42 f1 95 98 b1 b0 8a b9 79 0d ff 00,"周辺<G0188><G0442>を行うと
サーチポイントが光ります
まわりでなにか光ったら
その場<G0348>に行ってみましょう","주변 검색을 하면
서치 포인트가 빛납니다
주변에서 무언가 빛나면
그곳으로 가 보세요",C3 9C F9 20 35 F4 7C F6 C1 20 81 A0 08 8C 5F F3 20 23 F7 AC 22 F0 6A 20 4B F4 5B F7 7B 92 08 C3 9C F9 9D 8C 20 B7 AA F9 6A 20 4B F4 70 A0 08 83 BE F5 A2 99 20 6A 20 A9 E6 72 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 13, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 29, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 42, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 59, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4001.
FIELD_RESOURCE_00061000_R00740000_M4002_0001,SCENARIO,field_resource_message,DATA/00061000.MDZ,DATA/00061000.MDT,0x00740000,00061000,43,0x00448a2f,0x00448a2a,d7 47 e3 2e f0 c6 3a f0 e9 99 a1 08 2d f0 e1 3a f0 9a c4 d1 d9 38 f0 3a f0 a0 86 f5 38 f6 7f 08 e0 f2 60 f2 5e f0 9d b9 f5 80 f4 88 be b0 8c 0d ff 00,"サーチポイントでは
ボタンとアクションの内<G05C8>が
<G0330>面<G010E>に<G0579><G0470>されます","서치 포인트에서는
버튼과 행동 내용이
화면 오른쪽에 표시됩니다",8C 5F F3 20 23 F7 AC 22 F0 9D 8C 93 08 D3 5B F3 3C F6 20 C5 37 F8 20 B9 C7 F6 8B 08 99 F4 A0 20 B0 CF F8 3F F7 9D 20 41 F7 A8 42 F8 7B 92 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 11, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 31, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 47, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4002.
FIELD_RESOURCE_00061000_R00740000_M4003_0001,SCENARIO,field_resource_message,DATA/00061000.MDZ,DATA/00061000.MDT,0x00740000,00061000,44,0x00448a77,0x00448a72,b7 f9 c1 7a f3 8a 98 d5 f0 c1 41 f3 bd 86 9a 99 08 26 f0 c5 47 3d f0 ea a7 f0 9d 75 bd ba f4 90 f3 e3 f0 c1 08 41 f2 98 f0 8c bd 86 9a 7f 99 80 b0 8c 0d ff 00,"<G08B7>を押して剣を振ることで
フィールド上にある<G04AA><G03B0>物を
破壊することができます","<G08B7> 버튼을 눌러 검을 휘두르면
필드의 장애물을
파괴할 수 있습니다",D7 F9 20 D3 5B F3 C1 20 AB F7 C6 20 35 F4 C1 20 C7 F5 AA E8 A0 08 C1 F7 50 F8 95 20 A6 6F F9 3A F0 C1 08 77 F4 79 F6 CD 20 AB 20 7E 49 F8 7B 92 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 16, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 36, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 50, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4003.
FIELD_RESOURCE_00061000_R00740000_M4004_0001,SCENARIO,field_resource_message,DATA/00061000.MDZ,DATA/00061000.MDT,0x00740000,00061000,45,0x00448abf,0x00448aba,86 a0 d3 f1 cf f0 99 b7 f9 c1 7a f3 8c 9a 08 7f f1 a0 c0 f0 9d 75 bd cf ef d5 c1 08 41 f2 98 f0 8c bd 86 9a 7f 99 80 b0 8c 0d ff 00,"この位置で<G08B7>を押すと
<G01FF>の<G0170>にあるキノコを
破壊することができます","이 위치에서 <G08B7> 버튼을 누르면
눈앞의 버섯을
파괴할 수 있습니다",8B 20 5F F7 5F F3 9D 8C 20 D7 F9 20 D3 5B F3 C1 20 A7 F7 E8 A0 08 A8 F7 6E F9 95 20 D3 EB F6 C1 08 77 F4 79 F6 CD 20 AB 20 7E 49 F8 7B 92 0D FF 00,,"[{""offset"": -5, ""raw_hex"": ""80 0e 00 00 00"", ""kind"": ""MESSAGE_HEADER"", ""opcode"": 128, ""argument"": 0}, {""offset"": 14, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 27, ""raw_hex"": ""08"", ""kind"": ""LINE_BREAK""}, {""offset"": 41, ""raw_hex"": ""0d ff 00"", ""kind"": ""MESSAGE_END""}]",REVIEW_1,NO,필드 안내 런타임 신고 및 0x4000/0x6000 전수 조사 반영.,PROVEN: scenario field/tutorial message; member_type=0x4004.
