mdt,scene_id,record_id,resource_index,resource_id,class,subtype,descriptor_offset,data_offset,size,declared_size,message_count,message_offsets,resource_prefix_4,resource_prefix_16,unknown_block_count,unknown_bytes,pre_message_blocks,pre_message_bytes,between_message_blocks,between_message_bytes,resource_tail_blocks,resource_tail_bytes,no_message_anchor_blocks,no_message_anchor_bytes,warnings
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0,0x00006000,0x6000,0,0x002A9498,0x002A9568,456,456,2,0x002A957F;0x002A9646,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 c7 00 0d 09 ff,4,387,1,19,2,172,1,196,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,1,0x00396001,0x6000,1,0x002A94A8,0x002A9730,312,312,2,0x002A9747;0x002A97C7,05 00 06 00,05 00 06 00 00 a6 95 0f 00 10 30 48 02 0d 09 ff,4,259,1,19,2,109,1,131,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,2,0x00602000,0x2000,0,0x002A94B8,0x002A9868,720,720,12,0x002A9898;0x002A98D2;0x002A9923;0x002A993C;0x002A9961;0x002A999B;0x002A99DF;0x002A9A19;0x002A9A3F;0x002A9A7E;0x002A9ADE;0x002A9B16,03 00 01 20,03 00 01 20 06 01 05 00 05 00 00 9a 6a 0f 00 05,24,240,1,44,22,191,1,5,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,3,0x00BA3006,0x3000,6,0x002A94C8,0x002A9B38,80,80,1,0x002A9B58,05 00 05 00,05 00 05 00 00 5c 94 0f 00 05 00 06 00 00 8e 94,2,30,1,28,0,0,1,2,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,4,0x00C43000,0x3000,0,0x002A94D8,0x002A9B88,112,112,1,0x002A9BA8,05 00 05 00,05 00 05 00 00 c2 6a 0f 00 05 00 06 00 00 c6 93,2,31,1,28,0,0,1,3,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,5,0x00D23001,0x3000,1,0x002A94E8,0x002A9BF8,80,80,1,0x002A9C18,05 00 05 00,05 00 05 00 00 9a 6a 0f 00 05 00 06 00 00 ae 6a,2,36,1,28,0,0,1,8,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,6,0x00DC3004,0x3000,4,0x002A94F8,0x002A9C48,72,72,1,0x002A9C68,05 00 05 00,05 00 05 00 00 9a 6a 0f 00 05 00 06 00 00 ae 6a,2,31,1,28,0,0,1,3,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,7,0x00E53002,0x3000,2,0x002A9508,0x002A9C90,96,96,1,0x002A9CB0,05 00 05 00,05 00 05 00 00 c6 93 0f 00 05 00 06 00 00 5c 94,2,35,1,28,0,0,1,7,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,8,0x00F13003,0x3000,3,0x002A9518,0x002A9CF0,1536,1536,14,0x002A9D10;0x002A9D70;0x002A9E02;0x002A9E44;0x002A9EA1;0x002A9F1B;0x002A9F4D;0x002A9F98;0x002AA006;0x002AA080;0x002AA0F9;0x002AA132;0x002AA1A0;0x002AA2B8,05 00 05 00,05 00 05 00 00 9a 6a 0f 00 05 00 06 00 00 c2 6a,28,859,1,28,26,823,1,8,0,0,
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,9,0x01B13005,0x3000,5,0x002A9528,0x002AA2F0,944,944,7,0x002AA319;0x002AA380;0x002AA413;0x002AA4B0;0x002AA52F;0x002AA5C9;0x002AA66B,1f 05 04 00,1f 05 04 00 00 00 6b 00 00 00 00 00 00 00 00 00,14,500,1,37,12,454,1,9,0,0,
