anchor,other,score,byte_class_3gram_jaccard,prefix4_equal,class_equal,message_count_score,message_position_score,unknown_role_score,anchor_class,other_class,anchor_size,other_size,method
00030100:0x00006000,00120000:0x00006000,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,456,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00006000,00150100:0x00006000,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,456,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00006000,00151100:0x00006000,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,456,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00396001,00120000:0x00396001,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,312,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00396001,00150100:0x00396001,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,312,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00006000,00150100:0x00006000,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,456,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00006000,00151100:0x00006000,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,456,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00396001,00150100:0x00396001,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,312,312,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x00006000,00151100:0x00006000,1.0,1.0,True,True,1.0,1.0,1.0,0x6000,0x6000,456,456,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00396001,00151100:0x00396001,0.85,1.0,True,True,1.0,0.0,1.0,0x6000,0x6000,312,384,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x00396001,00151100:0x00396001,0.85,1.0,True,True,1.0,0.0,1.0,0x6000,0x6000,312,384,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x00396001,00151100:0x00396001,0.85,1.0,True,True,1.0,0.0,1.0,0x6000,0x6000,312,384,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00BA3006,00030100:0x00D23001,0.787097,0.467742,True,True,1.0,1.0,1.0,0x3000,0x3000,80,80,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0C843001,00120000:0x0CDE3000,0.746535,0.804878,True,True,0.875,0.0,0.933333,0x3000,0x3000,720,640,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x011E3000,00150100:0x01813004,0.728889,0.8,True,True,0.8,0.0,0.888889,0x3000,0x3000,496,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00150100:0x01F95001,00150100:0x02065002,0.721698,0.679245,True,True,1.0,0.0,1.0,0x5000,0x5000,104,104,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00C43000,00030100:0x00E53002,0.71875,0.671875,True,True,1.0,0.0,1.0,0x3000,0x3000,112,96,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00120000:0x0C843001,00150100:0x01813004,0.718442,0.8625,True,True,0.571429,0.1,0.727273,0x3000,0x3000,720,592,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
00030100:0x00BA3006,00030100:0x00E53002,0.712295,0.655738,True,True,1.0,0.0,1.0,0x3000,0x3000,80,96,byte-class 3-gram 0.40 + prefix4 0.20 + message-count 0.15 + message-position 0.15 + UNKNOWN-role 0.10
