glyph_index_hex,character,confidence,evidence_kind,evidence_note
0001,、,SUPPORTED,dialogue_context,"Repeated clause punctuation: ホント、/ いつ、/ ま、ま…ね / いやぁ、ホント"
0021,！,SUPPORTED,dialogue_context,"Sentence-final exclamation in ゲーム dialogue; also quoted 行けッ！"
0022,？,SUPPORTED,dialogue_context,"Question punctuation after ハァ/いいっ/空中コンボ"
0026,…,SUPPORTED,dialogue_context,"Repeated hesitation/trailing mark: …… and sentence-final ellipsis before punctuation"
002E,「,SUPPORTED,dialogue_context,"Opening quote before スキル/ライフアップ/行けッ"
002F,」,SUPPORTED,dialogue_context,"Closing quote after スキル/ライフアップ/行けッ"
0054,ぁ,SUPPORTED,dialogue_context,"Small-vowel speech style: なぁ/まぁ/いやぁ/さぁ"
005A,ぇ,SUPPORTED,dialogue_context,"Small-vowel speech style: すげぇ/ちぇっ/ねぇ"
006F,ぜ,SUPPORTED,dialogue_context,"Visually verified as ぜ; sentence-ending ぜ and repeated ぜんぜん fit the raw-byte contexts"
0083,ぱ,SUPPORTED,dialogue_context,"やっぱり and やっぱ"
0113,会,SUPPORTED,dialogue_context,"会おう/会うわけない/会ったら"
0114,話,SUPPORTED,dialogue_context,"Compound 話: そんな話/その話/子供の頃よく世話"
011C,必,SUPPORTED,dialogue_context,"必 要: 必要なのか/必要になったら/必要ない"
0152,村,SUPPORTED,dialogue_context,"村を出る/この村のこと/村長"
0175,屋,SUPPORTED,dialogue_context,"Compound 屋: 道具屋/部屋/わめき屋"
0170,前,SUPPORTED,dialogue_context,"ミランダの前/目を覚ます前に"
0188,探,SUPPORTED,dialogue_context,"手探り/探すさ/探しにいこう"
01FF,目,SUPPORTED,dialogue_context,"出目/目を覚ます/目標"
0348,所,SUPPORTED,dialogue_context,"場所/見え見えの場所/飛ぶ場所"
033F,明,SUPPORTED,dialogue_context,"説明/証明"
03CB,顔,SUPPORTED,dialogue_context,"みっともない顔/イヤな顔/人の顔"
03D0,戻,SUPPORTED,dialogue_context,"戻ってきて/持って戻らないと"
03DF,休,SUPPORTED,dialogue_context,"休み/しばらくは休み"
04BC,図,SUPPORTED,dialogue_context,"設計図"
04E1,思,SUPPORTED,dialogue_context,"熱い思い/思いがあれば"
04E6,相,SUPPORTED,dialogue_context,"お相手/相手は"
04F4,待,SUPPORTED,dialogue_context,"待ってよ/待たせる/待ってる"
041E,言,SUPPORTED,dialogue_context,"言ってる/言えば/言った/言えてる/言う"
043C,頃,SUPPORTED,dialogue_context,"子供の頃 and 頃には"
043D,あ,SUPPORTED,dialogue_context,"あのダンナさん/あの日/あの子/あの空"
0460,姉,SUPPORTED,dialogue_context,"お姉さん/ソフィー姉ちゃん/お・姉・さ・ん"
0499,助,SUPPORTED,dialogue_context,"助けなきゃ/助かったって"
051A,直,SUPPORTED,dialogue_context,"直接/仲直り/正直/真っ直ぐ"
0558,泊,SUPPORTED,dialogue_context,"泊まれるテント/宿泊する"
05CD,要,SUPPORTED,dialogue_context,"必要なのか/必要になったら/必要ない"
05D4,理,SUPPORTED,dialogue_context,"理由/理解した"
05BE,由,SUPPORTED,dialogue_context,"理由"
02D4,日,SUPPORTED,dialogue_context,"日常 and repeated あの日/その日"
