disc,movie_id,source_file,iso_extent_sector,size_bytes,header_version,header_word_1,stream_offset,header_word_3,header_word_4,header_word_5,header_word_6,header_word_7,header_word_8,audio_status,confidence,notes
1,GRM01,MOVIE/GRM01.MOV,3301,85442560,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00585F40,0x004D52CB,0x000018BF,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM02,MOVIE/GRM02.MOV,45021,179781632,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00B9DC10,0x00A29D21,0x0000340A,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM03,MOVIE/GRM03.MOV,132805,223674368,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00E75F50,0x00CA72D3,0x000040C9,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM04,MOVIE/GRM04.MOV,242021,115007488,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x0076FD80,0x00681BA6,0x00002151,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM05,MOVIE/GRM05.MOV,298177,115113984,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00771BD0,0x006834AD,0x00002159,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM06,MOVIE/GRM06.MOV,354385,109875200,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x0071AE40,0x006376F6,0x00001FD5,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM07,MOVIE/GRM07.MOV,408035,76623872,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x004F49D0,0x00455B41,0x00001632,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM08,MOVIE/GRM08.MOV,445449,187596800,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00C21AB0,0x00A9D2B9,0x00003658,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM09,MOVIE/GRM09.MOV,537049,23474176,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00184AA0,0x00153CAF,0x000006CC,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM10,MOVIE/GRM10.MOV,548511,99680256,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00671EE0,0x005A3A19,0x00001CE0,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM11,MOVIE/GRM11.MOV,597183,140300288,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00912B40,0x007F01C3,0x000028A5,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM12,MOVIE/GRM12.MOV,665689,123076608,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x007F5A70,0x006F6A45,0x000023A8,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM13,MOVIE/GRM13.MOV,725785,118980608,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x007B1B00,0x006BB352,0x00002277,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM14,MOVIE/GRM14.MOV,783881,115572736,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00779890,0x00689F08,0x0000217B,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM15,MOVIE/GRM15.MOV,840313,34299904,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00237C40,0x001F0972,0x000009EF,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM16,MOVIE/GRM16.MOV,857061,217051136,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00E08F00,0x00C47C4C,0x00003EE1,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM17,MOVIE/GRM17.MOV,963043,217620480,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00E13B20,0x00C50F8F,0x00003F10,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM18,MOVIE/GRM18.MOV,1069303,52948992,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x0036CA90,0x002FEC84,0x00000F56,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM19,MOVIE/GRM19.MOV,1095157,243167232,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00FB8C70,0x00DC17D7,0x0000466F,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
1,GRM20,MOVIE/GRM20.MOV,1213891,209862656,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00D918E0,0x00BDEF9F,0x00003CC8,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM50,MOVIE/GRM50.MOV,3301,85442560,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00585F40,0x004D52CB,0x000018BF,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM51,MOVIE/GRM51.MOV,45021,103178240,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x006ABFA0,0x005D6769,0x00001DE4,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM52,MOVIE/GRM52.MOV,95401,244117504,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00FC8990,0x00DCF2D0,0x000046B5,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM53,MOVIE/GRM53.MOV,214599,26390528,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x001B4930,0x0017DA1B,0x000007A2,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM54,MOVIE/GRM54.MOV,227485,100753408,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00683DE0,0x005B3459,0x00001D30,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM55,MOVIE/GRM55.MOV,276681,110313472,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00721F70,0x0063DB10,0x00001FF5,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM56,MOVIE/GRM56.MOV,330545,98435072,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x0065DA70,0x00591A4F,0x00001C84,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM57,MOVIE/GRM57.MOV,378609,193028096,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x00C7B940,0x00AEBC3B,0x000037EB,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM58,MOVIE/GRM58.MOV,472861,61349888,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x003F7A60,0x00378636,0x000011C5,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
2,GRM59,MOVIE/GRM59.MOV,502817,124620800,0x00000002,0x0000BB80,0x800,0x00000000,0x00000800,0x00000000,0x0080EAA0,0x0070C89F,0x00002418,EMBEDDED_PS2_ADPCM_INTERLEAVED,TENTATIVE,GRM header declares 2ch/48000Hz and the stream begins with an ADPCM priming chunk; MPEG2 video and ADPCM audio are interleaved. Exact chunk demux and movie subtitle timing remain open
