id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
ENEMY_ACTION_0001,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,1,,0,0x1A3125,,DE F2 78 F1 36 F0 37 F0,通常攻撃,공격,D8 F5 B3 F4,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=749; records=165,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0002,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,1,,1,0x1A312E,,D3 E6 27 A6,ヒューイ,휴이,2D F6 A0 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=10; records=7,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0003,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,2,,2,0x1A34BE,,AA CE ED B0 27 DD ED C9,エネルギーボルト,에너지 볼트,90 F0 3D F0 B2 F0 20 C4 F0 B7 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=8; records=3,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0004,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,4,,3,0x1A3BD9,,C2 27 B1 D8 EC C4 C5,ダークプリッツ,다크 프리츠,43 F0 26 F0 20 6E F7 5F F0 39 F3,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=9; records=9,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0005,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,4,,4,0x1A3BF8,,D3 E6 27 BB EB C4 B9 E6,ヒュースラッシュ,휴 슬래시,2D F6 20 D8 F7 57 F0 83 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=22; records=10,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0006,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,5,,5,0x1A3FFE,,DD E1 C9 EB C4 D8,ボムトラップ,폭탄 함정,DF F6 4B F8 20 41 F8 AA F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=7; records=2,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0007,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,5,,6,0x1A400E,,B9 E4 AF A4,シャキア,샤키아,6F F6 B4 F0 88 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=31; records=11,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0008,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,5,,7,0x1A4023,,D2 EB EB A6 B8 27,パラライザー,패럴라이저,74 F5 88 F8 52 F0 A0 F0 A6 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=2; records=2,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0009,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,6,,8,0x1A45BA,,CD F0 D3 F1 80 20 F0 ED C5,死神のワルツ,사신의 왈츠,75 F0 85 F0 9F F0 20 BC F3 39 F3,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=1; records=1,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0010,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,6,,9,0x1A45DD,,B5 ED C8,コルデ,콜데,A5 F6 48 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=5; records=5,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0011,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,7,,10,0x1A4A1E,,54 F9 D1 ED AD EA,Ωバルカン,Ω 발칸,D5 F0 20 6C F9 3C F5,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=2; records=1,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0012,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,7,,11,0x1A4A61,,D6 A9 CA 27 A4,フェドーア,페도아,53 F6 4A F0 88 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=1; records=1,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0013,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,8,,12,0x1A4DF0,,DC A6 27 ED BB D5 EA,ホイールスピン,휠 스핀,D6 F4 20 81 F0 91 F7,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=3; records=1,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0014,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,8,,13,0x1A4DF8,,56 F1 A0 F4,増殖,증식,5F F5 84 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=6; records=3,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0015,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,9,,14,0x1A5290,,DC A6 27 ED AD C4 C1 27,ホイールカッター,휠 커터,D6 F4 20 85 F5 27 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=8; records=2,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0016,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,11,,15,0x1A5ACF,,CC 27 CA ED EB EA B7 27,ニードルランサー,니들 랜서,42 F0 4D F0 20 82 F8 7A F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=6; records=2,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0017,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,13,,16,0x1A638F,,BA E4 DA EC EA B9 E6 27 C9,ジャベリンシュート,재블린 슛,8E F9 79 F3 B6 F8 20 C4 F7,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=4; records=1,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0018,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,13,,17,0x1A63E3,,E1 27 CC E4,ムーニャ,무냐,65 F0 57 F7,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=6; records=5,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0019,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,13,,18,0x1A63E8,,C8 D6 EF BB,デフロス,데프로스,48 F0 6E F7 5B F0 81 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=7; records=5,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0020,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,14,,19,0x1A680F,,B1 EB C4 B9 E6 CC 27 CA ED,クラッシュニードル,크래시 니들,26 F0 57 F0 83 F0 20 42 F0 4D F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=8; records=2,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0021,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,14,,20,0x1A685A,,D6 A5 AC EB,フィオラ,피오라,B8 F0 92 F0 52 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=9; records=8,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0022,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,15,,21,0x1A6E28,,C8 A5 AE EA,ディガン,디간,4E F0 A9 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=4; records=3,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0023,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,15,,22,0x1A6E36,,D0 ED DA 27 EB,ハルベーラ,할베르,BC F0 79 F9 5C F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=3; records=3,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0024,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,16,,23,0x1A73AF,,BB AF E6 A4 27,スキュアー,스큐어,81 F0 32 F7 8D F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=10; records=2,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0025,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,16,,24,0x1A73C4,,C2 27 B1 E0 BB C9,ダークミスト,다크 미스트,43 F0 26 F0 20 67 F0 81 F0 B7 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=15; records=10,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0026,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,16,,25,0x1A73DA,,B1 ED ED,クルル,쿠루루,B6 F6 A6 F8 A6 F8,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=4; records=4,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0027,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,16,,26,0x1A73ED,,BB C9 EB E1,ストラム,스트람,81 F0 B7 F0 54 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=7; records=5,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0028,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,16,,27,0x1A7401,,E0 B3 EF DF E1,ミケロマム,미케로맘,67 F0 37 F6 5B F0 C6 F8,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=3; records=3,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0029,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,18,,28,0x1A7CB8,,D0 A6 D2 27 D0 EA DF 27,ハイパーハンマー,하이퍼 해머,BA F0 A0 F0 A5 F5 20 C0 F0 E0 F8,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=2; records=2,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0030,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,19,,29,0x1A7FE3,,20 F0 AC,ワオ,와오,93 F0 92 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=6; records=6,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
ENEMY_ACTION_0031,ENEMY_ACTION,enemy_action_name,SYS/GR3.MDZ,GR3.MDT,20,,30,0x1A831F,,7A F2 B7 F0 80 EA F0 73 F7,巨人の鉄槌,거인의 철퇴,2D F0 A1 F0 9F F0 20 51 F9 8F F9,,[],TRANSLATED,NO,GR3 enemy record local text pool의 적 행동명. occurrences=1; records=1,전체 적 레코드 문자열 풀을 재배치할 때 같은 원문을 일괄 적용한다.
