id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
FIELD_TABLE_0001,FIELD_TABLE,location_action_16bit_table,DATA/00030300.MDZ,00030300.MDT,table@0x1F6700,00030300,2,0x1F6742,,5D 00 29 05 A1 00 51 01 9D 00,お店を見る,가게 보기,F8 00 FE 00 20 00 3C 01 07 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=4,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0002,FIELD_TABLE,location_action_16bit_table,DATA/00030900.MDZ,00030900.MDT,table@0x1E6680,00030900,2,0x1E66C0,,5E 00 90 00 A1 00 51 01 9D 00,かまを見る,가마 보기,F8 00 31 01 20 00 3C 01 07 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=1,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0003,FIELD_TABLE,location_action_16bit_table,DATA/00214000.MDZ,00214000.MDT,table@0x76A080,00214000,2,0x76A0F6,,72 00 7C 00 A1 00 51 01 9D 00,たなを見る,선반 보기,5F 06 8A 08 20 00 3C 01 07 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=1,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0004,FIELD_TABLE,location_action_16bit_table,DATA/00030100.MDZ,00030100.MDT,table@0x2D0A80,00030100,3,0x2D0AEC,,72 00 7C 00 A1 00 12 03 8B 00 9D 00,たなを調べる,선반 조사,5F 06 8A 08 20 00 80 01 45 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=1,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0005,FIELD_TABLE,location_action_16bit_table,DATA/00270400.MDZ,00270400.MDT,table@0x418D80,00270400,4,0x418DE2,,7A 00 9C 00 79 00 A1 00 38 01 9D 00,とりでを出る,요새 나가기,67 01 F0 05 20 00 09 01 F8 00 07 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=1,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0006,FIELD_TABLE,location_action_16bit_table,DATA/00700100.MDZ,00700100.MDT,table@0x275200,00700100,0,0x275230,,A4 00 ED 00 D6 00 A5 00 CB 00 80 00 67 02 73 02 3B 03 E7 02,アルフィナの精神世界,알피나의 정신세계,5A 01 88 01 09 01 6F 01 20 00 7A 01 55 01 4D 01 FF 00,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=1,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0007,FIELD_TABLE,location_action_16bit_table,DATA/00120000.MDZ,00120000.MDT,table@0x55F400,00120000,10,0x55F4F0,,A4 00 EF 00 EA 00 BF 00 80 00 64 01 20 00 AF 00 E4 00 D4 00 EA 00,アロンソの船 キャビン,알론소의 배 선실,5A 01 EE 07 4E 01 6F 01 20 00 92 08 20 00 5F 06 A3 07,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=7,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0008,FIELD_TABLE,location_action_16bit_table,DATA/00151000.MDZ,00151000.MDT,table@0x312500,00151000,7,0x312596,,A4 00 EF 00 EA 00 BF 00 80 00 64 01 20 00 B5 04 69 01,アロンソの船 寝室,알론소의 배 침실,5A 01 EE 07 4E 01 6F 01 20 00 92 08 20 00 C7 03 A3 07,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=2,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0009,FIELD_TABLE,location_action_16bit_table,DATA/00120000.MDZ,00120000.MDT,table@0x55F400,00120000,6,0x55F49E,,A4 00 EF 00 EA 00 BF 00 80 00 64 01 20 00 FA 02 A1 02,アロンソの船 甲板,알론소의 배 갑판,5A 01 EE 07 4E 01 6F 01 20 00 92 08 20 00 A8 02 75 04,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=7,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0010,FIELD_TABLE,location_action_16bit_table,DATA/00120000.MDZ,00120000.MDT,table@0x55F400,00120000,11,0x55F506,,A4 00 EF 00 EA 00 BF 00 80 00 64 01 20 00 64 01 53 01 69 01,アロンソの船 船長室,알론소의 배 선장실,5A 01 EE 07 4E 01 6F 01 20 00 92 08 20 00 5F 06 75 01 A3 07,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=6,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0011,FIELD_TABLE,location_action_16bit_table,DATA/00630900.MDZ,00630900.MDT,table@0x360780,00630900,2,0x3607C0,,A4 00 EA 00 CE 00 80 00 78 04 76 02 A1 00 51 01 9D 00,アンネの写真を見る,안네의 사진 보기,59 01 0E 01 6F 01 20 00 45 01 83 01 20 00 3C 01 07 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=1,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0012,FIELD_TABLE,location_action_16bit_table,DATA/00030000.MDZ,00030000.MDT,table@0x90A400,00030000,0,0x90A458,,A4 00 EA 00 D6 00 AB 00 B2 00 80 00 52 01,アンフォグの村,안포그 마을,59 01 83 06 05 01 20 00 31 01 6D 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=11,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0013,FIELD_TABLE,location_action_16bit_table,DATA/00030000.MDZ,00030000.MDT,table@0x90A400,00030000,6,0x90A4A0,,A4 00 EA 00 D6 00 AB 00 B2 00 80 00 52 01 20 00 27 01 28 01 75 01,アンフォグの村 道具屋,안포그 마을 도구점,59 01 83 06 05 01 20 00 31 01 6D 01 20 00 1A 01 01 01 E0 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=2,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0014,FIELD_TABLE,location_action_16bit_table,DATA/00030000.MDZ,00030000.MDT,table@0x90A400,00030000,7,0x90A4B6,,A4 00 EA 00 D6 00 AB 00 B2 00 80 00 52 01 20 00 1A 01 1B 01 75 01,アンフォグの村 魔法屋,안포그 마을 마법점,59 01 83 06 05 01 20 00 31 01 6D 01 20 00 31 01 98 08 E0 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=2,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0015,FIELD_TABLE,location_action_16bit_table,DATA/00060000.MDZ,00060000.MDT,table@0x324280,00060000,0,0x3242A0,,A4 00 EA 00 D6 00 AB 00 B2 00 80 00 32 02,アンフォグの森,안포그 숲,59 01 83 06 05 01 20 00 26 07,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=1,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0016,FIELD_TABLE,location_action_16bit_table,DATA/00030000.MDZ,00030000.MDT,table@0x90A400,00030000,10,0x90A4E2,,A4 00 EA 00 D6 00 AB 00 B2 00 80 00 32 02 20 00 64 00 94 00 80 00 27 01,アンフォグの森 けもの道,안포그 숲 짐승길,59 01 83 06 05 01 20 00 26 07 20 00 FB 05 7E 07 4C 06,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=3,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0017,FIELD_TABLE,location_action_16bit_table,DATA/00061100.MDZ,00061100.MDT,table@0x27B600,00061100,3,0x27B65E,,A4 00 EA 00 D6 00 AB 00 B2 00 80 00 32 02 20 00 C5 02 8B 02,アンフォグの森 南部,안포그 숲 남부,59 01 83 06 05 01 20 00 26 07 20 00 B5 06 3F 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=3,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0018,FIELD_TABLE,location_action_16bit_table,DATA/00061000.MDZ,00061000.MDT,table@0x48D180,00061000,5,0x48D1FE,,A4 00 EA 00 D6 00 AB 00 B2 00 80 00 32 02 20 00 B7 05 8B 03 73 01,アンフォグの森 野営地,안포그 숲 야영지,59 01 83 06 05 01 20 00 26 07 20 00 5C 01 73 04 82 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=3,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0019,FIELD_TABLE,location_action_16bit_table,DATA/00240100.MDZ,00240100.MDT,table@0x3E0300,00240100,0,0x3E0334,,A4 00 27 00 B1 00 EC 00 D6 00 80 00 32 02,アークリフの森,아크리프 숲,58 01 F6 00 2F 01 EE 06 20 00 26 07,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=3,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0020,FIELD_TABLE,location_action_16bit_table,DATA/00240300.MDZ,00240300.MDT,table@0x1FF180,00240300,0,0x1FF1A0,,A4 00 27 00 B1 00 EC 00 D6 00 80 00 27 01 28 01 75 01,アークリフの道具屋,아크리프 도구점,58 01 F6 00 2F 01 EE 06 20 00 1A 01 01 01 E0 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=2,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0021,FIELD_TABLE,location_action_16bit_table,DATA/00240400.MDZ,00240400.MDT,table@0x2BFB00,00240400,0,0x2BFB24,,A4 00 27 00 B1 00 EC 00 D6 00 80 00 1A 01 1B 01 75 01,アークリフの魔法屋,아크리프 마법점,58 01 F6 00 2F 01 EE 06 20 00 31 01 98 08 E0 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=2,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0022,FIELD_TABLE,location_action_16bit_table,DATA/00240100.MDZ,00240100.MDT,table@0x3E0300,00240100,6,0x3E0386,,A4 00 27 00 B1 00 EC 00 D6 00 73 02 2B 05,アークリフ神殿,아크리프 신전,58 01 F6 00 2F 01 EE 06 20 00 55 01 77 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=3,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0023,FIELD_TABLE,location_action_16bit_table,DATA/00241000.MDZ,00241000.MDT,table@0x41AF00,00241000,7,0x41AFA2,,A4 00 27 00 B1 00 EC 00 D6 00 73 02 2B 05 20 00 EF 00 D4 00 27 00,アークリフ神殿 ロビー,아크리프 신전 로비,58 01 F6 00 2F 01 EE 06 20 00 55 01 77 01 20 00 2B 01 44 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=5,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0024,FIELD_TABLE,location_action_16bit_table,DATA/00243300.MDZ,00243300.MDT,table@0x351800,00243300,1,0x351834,,A4 00 27 00 B1 00 EC 00 D6 00 73 02 2B 05 20 00 A0 05 80 00 7C 01,アークリフ神殿 北の塔,아크리프 신전 북쪽 탑,58 01 F6 00 2F 01 EE 06 20 00 55 01 77 01 20 00 D2 02 9F 06 20 00 43 03,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=3,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0025,FIELD_TABLE,location_action_16bit_table,DATA/00241300.MDZ,00241300.MDT,table@0x29F480,00241300,0,0x29F4AC,,A4 00 27 00 B1 00 EC 00 D6 00 73 02 2B 05 20 00 B5 04 69 01 31 00,アークリフ神殿 寝室１,아크리프 신전 침실 1,58 01 F6 00 2F 01 EE 06 20 00 55 01 77 01 20 00 C7 03 A3 07 20 00 31 00,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=2,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0026,FIELD_TABLE,location_action_16bit_table,DATA/00241400.MDZ,00241400.MDT,table@0x29D900,00241400,0,0x29D920,,A4 00 27 00 B1 00 EC 00 D6 00 73 02 2B 05 20 00 B5 04 69 01 32 00,アークリフ神殿 寝室２,아크리프 신전 침실 2,58 01 F6 00 2F 01 EE 06 20 00 55 01 77 01 20 00 C7 03 A3 07 20 00 32 00,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=2,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
FIELD_TABLE_0027,FIELD_TABLE,location_action_16bit_table,DATA/00240200.MDZ,00240200.MDT,table@0x2D6400,00240200,2,0x2D6440,,A4 00 27 00 B1 00 EC 00 D6 00 73 02 2B 05 20 00 2F 04 61 01,アークリフ神殿 広場,아크리프 신전 광장,58 01 F6 00 2F 01 EE 06 20 00 55 01 77 01 20 00 F5 05 75 01,,[],TRANSLATED,NO,16-bit logical-index field table; occurrences=5,"PROVEN: bounded table header, per-string glyph lengths, relative offsets, and all Disc 1 occurrences structurally validated."
