event_sample_id,archive_id,archive_file,local_id,record_index,speaker,text,status,avg_logprob,no_speech_prob,model,notes
SE6000_07D0_000,6000,6000.SE,0x07D0,0,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D1_001,6000,6000.SE,0x07D1,1,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D2_002,6000,6000.SE,0x07D2,2,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D3_003,6000,6000.SE,0x07D3,3,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D4_004,6000,6000.SE,0x07D4,4,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D6_005,6000,6000.SE,0x07D6,5,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D7_006,6000,6000.SE,0x07D7,6,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D8_007,6000,6000.SE,0x07D8,7,,,PENDING_TRANSCRIPTION,,,,
SE6000_07D9_008,6000,6000.SE,0x07D9,8,,お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に、お疲れ様に,AUTO_TRANSCRIBED_REVIEW,-0.1309,0.7077,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6000_07DB_009,6000,6000.SE,0x07DB,9,,,PENDING_TRANSCRIPTION,,,,
SE6000_07DC_010,6000,6000.SE,0x07DC,10,,,PENDING_TRANSCRIPTION,,,,
SE6000_07DD_011,6000,6000.SE,0x07DD,11,,,PENDING_TRANSCRIPTION,,,,
SE6000_07DE_012,6000,6000.SE,0x07DE,12,,,PENDING_TRANSCRIPTION,,,,
SE6000_07DF_013,6000,6000.SE,0x07DF,13,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E0_014,6000,6000.SE,0x07E0,14,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E1_015,6000,6000.SE,0x07E1,15,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E2_016,6000,6000.SE,0x07E2,16,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E3_017,6000,6000.SE,0x07E3,17,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E4_018,6000,6000.SE,0x07E4,18,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E5_019,6000,6000.SE,0x07E5,19,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E6_020,6000,6000.SE,0x07E6,20,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E7_021,6000,6000.SE,0x07E7,21,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E8_022,6000,6000.SE,0x07E8,22,,,PENDING_TRANSCRIPTION,,,,
SE6000_07E9_023,6000,6000.SE,0x07E9,23,,,NO_SPEECH_OR_UNCLEAR,0.0000,1.0000,tiny,Whisper screening only; effects/music and speech still need listening/runtime context.
SE6000_07EA_024,6000,6000.SE,0x07EA,24,,,PENDING_TRANSCRIPTION,,,,
SE6000_07EC_025,6000,6000.SE,0x07EC,25,,,PENDING_TRANSCRIPTION,,,,
SE6000_07ED_026,6000,6000.SE,0x07ED,26,,,PENDING_TRANSCRIPTION,,,,
SE6000_07EE_027,6000,6000.SE,0x07EE,27,,,PENDING_TRANSCRIPTION,,,,
SE6000_07EF_028,6000,6000.SE,0x07EF,28,,,PENDING_TRANSCRIPTION,,,,
SE6000_07F0_029,6000,6000.SE,0x07F0,29,,,PENDING_TRANSCRIPTION,,,,
SE6000_07F1_030,6000,6000.SE,0x07F1,30,,,PENDING_TRANSCRIPTION,,,,
SE6000_07F2_031,6000,6000.SE,0x07F2,31,,,PENDING_TRANSCRIPTION,,,,
SE6000_07FD_032,6000,6000.SE,0x07FD,32,,,PENDING_TRANSCRIPTION,,,,
SE6000_07FE_033,6000,6000.SE,0x07FE,33,,,PENDING_TRANSCRIPTION,,,,
SE6000_07FF_034,6000,6000.SE,0x07FF,34,,,PENDING_TRANSCRIPTION,,,,
