id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,canonical_jp_text,reference_glyph_status,reference_glyphs_used,image_glyph_status,image_glyphs_used
SCN_00120000_00740000_0022,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,21,0x00531f77,0x00531f72,9b 79 93 bf 46 21 99 b4 46 08 80 95 9a ac f4 96 88 46 0d ff 00,"どうだろ…、でも…
きっと勝つさ…","글쎄… 그래도…
분명 이길 거야…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":9,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":18,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"どうだろ<G0026><G0001>でも<G0026>
きっと勝つさ<G0026>",SUPPORTED,"0001,0026",NONE,
SCN_00120000_00740000_0023,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,22,0x00531fc9,0x00531fc4,b0 74 9f 46 21 8f f2 5a f5 b0 93 08 c4 3f f0 3a f0 df a0 86 9a 08 c4 3d f0 26 f0 c5 eb b1 92 77 9d 26 f2 95 5a f5 83 08 81 f2 8b bb be 9c 77 b6 46 0d ff 00,"まぁね…、正直まだ
アロンソのこと
アルフィナみたいに真っ直ぐ
信じられないや…","뭐 그렇지… 솔직히 아직은
알론소를
알피나처럼 한결같이
믿을 수가 없어…",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":21,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":39,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":49,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ま<G0054>ね<G0026><G0001>正<G051A>まだ
アロンソのこと
アルフィナみたいに真っ<G051A>ぐ
信じられないや<G0026>",SUPPORTED,"0001,0026,0054,051A",NONE,
SCN_00120000_00740000_0024,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,23,0x00532269,0x00532264,9c 74 21 7d 8b 88 c2 08 75 a0 a2 f3 51 f2 46 21 b4 8a 7e 8a 98 08 24 f0 c4 3a f0 cd a0 35 f0 e5 08 23 f6 95 98 80 92 a0 44 0d ff 00,"なぁ、おじさん
あの看板…、もしかして
ビアンカのヤツ
戻ってきたの？","저기, 아저씨
저 간판… 설마
비앙카 녀석이
돌아온 거야?",UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0c 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":12},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":21,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":32,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":41,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alfina_01; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"な<G0054><G0001>おじさん
あの<G03C2>板<G0026><G0001>もしかして
ビアンカのヤツ
戻ってきたの？",SUPPORTED,"0001,0026,0054,03C2",NONE,
SCN_00120000_00740000_0025,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,24,0x0053234a,0x00532345,46 90 be 7f 21 7d 8b 88 c2 92 94 a0 08 77 b0 8a b3 44 0d ff 00,"…それが、おじさんたちの
いましめ？","…그게 아저씨들의
벌이야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":12,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":18,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G0026>それが<G0001>おじさんたちの
いましめ？",SUPPORTED,"0001,0026",NONE,
SCN_00120000_00740000_0026,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,25,0x00532a62,0x00532a5d,9c c2 7e 21 a4 9a bc 99 08 e7 3a f0 d9 38 f0 3a f0 d6 f1 77 9c 46 08 7d 8b 88 c2 21 c9 f3 73 f4 93 bf 08 86 c2 9c 28 f3 99 9c 9d b6 95 98 c2 a0 44 0d ff 00,"なんか、ひとりで
テンション高いな…
おじさん、漁師だろ
こんな所でなにやってんの？","왠지 혼자서
신나 보이네…
아저씨, 어부잖아
이런 데서 뭐 하는 거야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":34,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":49,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"なんか<G0001>ひとりで
テンション高いな<G0026>
おじさん<G0001><G03E9>師だろ
こんな<G0348>でなにやってんの？",SUPPORTED,"0001,0026,0348",SUPPORTED,03E9
SCN_00120000_00740000_0028,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,27,0x00532d79,0x00532d74,90 c2 9c 7f f1 a0 80 f1 70 f0 7b 98 88 08 92 7e 7f 21 d7 c6 d5 3f f0 30 f6 a5 93 bf 08 80 f3 7f 90 c2 9c 9d 21 60 f2 99 f5 77 c2 93 7e 0d ff 00,"そんな目の色変えてさ
たかが、サイコロ遊びだろ
何がそんなに、面白いんだか","그렇게 눈빛까지 바꿀 일이야?
고작 주사위 놀이잖아
뭐가 그렇게 재미있는 건지.",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":13,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":28,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":45,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"そんな<G01FF>の色変えてさ
たかが<G0001>サイコロ遊びだろ
何がそんなに<G0001>面白いんだか",SUPPORTED,"0001,01FF",NONE,
SCN_00120000_00740000_0030,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,29,0x00532e88,0x00532e83,46 b0 21 81 f0 7e 88 c2 b1 92 77 9d 08 e1 3d f0 88 f1 b3 9d 88 be 9c 77 ba 79 9d 08 bb f0 c1 96 84 9c 88 77 ba 0d ff 00,"…ま、誰かさんみたいに
タル詰めにされないように
気をつけなさいよ","…뭐, 누구처럼
통에 처박히지 않도록
조심하렴.",UNASSIGNED,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 20 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":32},{""offset"":12,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":27,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":37,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_07; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G0026>ま<G0001>誰かさんみたいに
タル<G0208>めにされないように
気をつけなさいよ",SUPPORTED,"0001,0026",SUPPORTED,0208
SCN_00120000_00740000_0031,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,30,0x00532f66,0x00532f61,46 b4 79 aa f0 9d b0 f3 bc 9c ba 08 7d e6 f1 9c c2 7e 9b 86 9d b4 08 27 f1 94 98 9c 77 ba 46 0d ff 00,"…もう家に戻りなよ
お金なんかどこにも
落ちてないよ…","…이제 집에 돌아가
돈 같은 건 어디에도
떨어져 있지 않아…",UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0c 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":12},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":31,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alfina_01; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"<G0026>もう家に<G03D0>りなよ
お金なんかどこにも
落ちてないよ<G0026>",SUPPORTED,"0026,03D0",NONE,
SCN_00120000_00740000_0032,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,31,0x00533018,0x00533013,46 7d 8b 88 c2 21 93 77 8b b9 79 a8 44 0d ff 00,…おじさん、だいじょうぶ？,"…아저씨, 괜찮아?",UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0c 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":12},{""offset"":13,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_alfina_01; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,<G0026>おじさん<G0001>だいじょうぶ？,SUPPORTED,"0001,0026",NONE,
SCN_00120000_00740000_0033,SCENARIO,scenario_message,DATA/00120000.MDZ,DATA/00120000.MDT,0x00740000,00120000,32,0x00533333,0x0053332e,9c bb 88 21 78 f3 88 c2 b4 08 4d f0 8b f6 9d 6b f2 be 98 84 a2 77 77 8b b5 c2 08 ea f2 42 f4 21 96 f3 8a 77 b4 f0 b5 f0 9d 08 9c bd c2 8b b5 9c 77 44 0d ff 00,"ならさ、奥さんも
一緒に連れてけばいいじゃん
結構、楽しい船旅に
なるんじゃない？","그럼 아내도
같이 데려가면 되잖아
꽤 즐거운 뱃여행이
되지 않을까?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 02 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":2},{""offset"":9,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":41,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":50,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용. context-v1 복원 원문 1차 번역.,SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_03; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. SUPPORTED: context-v1 glyph 복원; 런타임 원문 검증 전. TERM: 버스피어·파스·도박장.,"ならさ<G0001>奥さんも
一<G061B>に連れてけばいいじゃん
結構<G0001><G03B6>しい船旅に
なるんじゃない？",SUPPORTED,"0001,03B6,061B",NONE,
