event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes
gr3_stream_0080,0x80,0,5.900,11.100,ユウキ,,すげー！ すげーやー！,すげえ！ すげえや！,MANUAL_THREE_CHANNEL_REVIEW,굉장해! 정말 굉장해!,DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 전체 115.136초 파형 구간 교차 검수.,기존 큐에 빠졌던 도입 감탄사를 복원.
gr3_stream_0080,0x80,1,15.250,18.850,ユウキ,,アルフィナ見ろよ！ この主翼前に突き出てるぜ！,アルフィナ、見ろよ！ この主翼、前に突き出てるぜ！,MANUAL_THREE_CHANNEL_REVIEW,"알피나, 봐! 이 주날개,\n앞쪽으로 뻗어 있어!",DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 전체 115.136초 파형 구간 교차 검수.,세 채널에서 주翼가 가장 명확함.
gr3_stream_0080,0x80,2,19.000,24.750,ユウキ,,どうやって風の抵抗を逃がしてんだろうなー！,どうやって風の抵抗を逃がしてんだろうな！,MANUAL_THREE_CHANNEL_REVIEW,"어떻게 공기 저항을\n흘려 보내는 걸까!",DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 전체 115.136초 파형 구간 교차 검수.,세 채널 공통 전사.
gr3_stream_0080,0x80,3,25.900,27.500,ユウキ,,なんだよこのエンジン！,うわあ！ なんだよ、このエンジン！,MANUAL_THREE_CHANNEL_REVIEW,"우와! 뭐야, 이 엔진!",DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 전체 115.136초 파형 구간 교차 검수.,감탄사 포함.
gr3_stream_0080,0x80,4,27.650,31.550,ユウキ,,こんな化け物みたいなエンジン積んだら 誰だって海越えができそうだよな！,こんな化け物みたいなエンジン積んだら、誰だって海越えができそうだよな！,MANUAL_THREE_CHANNEL_REVIEW,"이런 괴물 같은 엔진을 달면\n누구라도 바다를 건널 수 있겠지!",DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 전체 115.136초 파형 구간 교차 검수.,엔진 소음 때문에 자동 전사의 海越え가 흔들렸으나 장면 문맥과 음절로 복원.
gr3_stream_0080,0x80,5,31.650,33.100,ユウキ,,そう思うだろ？ アルフィナ！,そう思うだろ？ アルフィナ！,MANUAL_THREE_CHANNEL_REVIEW,"너도 그렇게 생각하지, 알피나!",DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 전체 115.136초 파형 구간 교차 검수.,세 채널 공통 전사.
gr3_stream_0080,0x80,6,35.150,36.950,アルフィナ,,あっ…うん…,あ、うん……。,MANUAL_THREE_CHANNEL_REVIEW,아 응…….,DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 전체 115.136초 파형 구간 교차 검수.,39~59초는 대사가 아니라 기계·환경음 구간.
gr3_stream_0080,0x80,7,59.600,61.600,シュミット,,なんだよお前は,誰だ？ お前は？,MANUAL_THREE_CHANNEL_REVIEW,누구냐? 너는?,DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,55~96초 후반 구간 별도 재검수.,기존 자막이 끝난 37초 이후 첫 실제 대사.
gr3_stream_0080,0x80,8,62.000,66.400,ユウキ,,シュミット あの伝説の,シュミット！ あの伝説の……？,MANUAL_THREE_CHANNEL_REVIEW,슈미트! 그 전설의……?,DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 세 채널에서 シュミット・あの伝説の가 공통 검출.,엔진 소음과 겹치는 짧은 구절이라 문장 종결은 중간 신뢰도.
gr3_stream_0080,0x80,9,68.200,72.600,ユウキ,,あ ま 待ってくれ！ 俺 飛行機が欲しいんだ,あ、ま、待ってくれ！ オレ、飛行機が欲しいんだ。,MANUAL_THREE_CHANNEL_REVIEW,"자, 잠깐만! 나, 비행기가 필요해.",DRAFT_CONTEXT_REVIEWED,슈미트의 격납고 첫 방문.,좌·우·중앙 Whisper-small 독립 전사와 장면 문맥 교차 검수.,세 채널 공통 전사.
