character,unicode,usage_count,categories
ㄴ,U+3134,1,SCENARIO
가,U+AC00,6531,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
각,U+AC01,699,BATTLE;BATTLE_CHATTER;BATTLE_UI;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
간,U+AC04,593,BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL_EFFECT;SYSTEM
갇,U+AC07,11,NPC_DIALOGUE
갈,U+AC08,348,BATTLE_CHATTER;ITEM;NPC_DIALOGUE;SCENARIO
감,U+AC10,348,BATTLE_CHATTER;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT
갑,U+AC11,181,BATTLE_CHATTER;ENEMY;FIELD_TABLE;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
값,U+AC12,13,NPC_DIALOGUE
갓,U+AC13,16,ENEMY;NPC_DIALOGUE
갔,U+AC14,121,NPC_DIALOGUE;SCENARIO
강,U+AC15,183,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY;EQUIPMENT;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SKILL;STATUS;SYSTEM
갖,U+AC16,50,ITEM;NPC_DIALOGUE;SCENARIO
같,U+AC19,1091,BATTLE_CHATTER;BATTLE_HELP;NPC_DIALOGUE;SCENARIO;SKILL
갚,U+AC1A,24,NPC_DIALOGUE;SCENARIO
갛,U+AC1B,9,NPC_DIALOGUE
개,U+AC1C,261,BATTLE_UI;ENEMY;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SYSTEM
객,U+AC1D,27,FIELD_TABLE;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
갬,U+AC2C,3,ITEM;NPC_DIALOGUE
갯,U+AC2F,16,ENEMY_ACTION;ITEM;NPC_DIALOGUE;SCENARIO
갱,U+AC31,8,NPC_DIALOGUE;SCENARIO
갸,U+AC38,2,NPC_DIALOGUE;SCENARIO
걀,U+AC40,2,SCENARIO
걔,U+AC54,4,NPC_DIALOGUE
거,U+AC70,3207,BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SYSTEM
걱,U+AC71,105,NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
건,U+AC74,1685,BATTLE_CHATTER;BATTLE_HELP;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SYSTEM
걷,U+AC77,34,NPC_DIALOGUE;SCENARIO
걸,U+AC78,949,BATTLE_CHATTER;BATTLE_HELP;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
검,U+AC80,99,BATTLE_HELP;ENEMY;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SKILL
겁,U+AC81,124,BATTLE_CHATTER;BATTLE_HELP;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
것,U+AC83,1247,BATTLE_CHATTER;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL
겉,U+AC89,6,NPC_DIALOGUE;SCENARIO
게,U+AC8C,3570,BATTLE_CHATTER;BATTLE_HELP;ENEMY;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;SYSTEM
겍,U+AC8D,10,NPC_DIALOGUE
겐,U+AC90,43,ENEMY_ACTION;NPC_DIALOGUE
겠,U+ACA0,1613,BATTLE_CHATTER;BATTLE_HELP;NPC_DIALOGUE;SCENARIO
겨,U+ACA8,211,BATTLE_CHATTER;FIELD_TABLE;ITEM;NPC_DIALOGUE;SCENARIO;SYSTEM
격,U+ACA9,293,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ENEMY;ENEMY_ACTION;EQUIPMENT;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;SKILL_EFFECT;STATUS;SYSTEM
겪,U+ACAA,11,NPC_DIALOGUE
견,U+ACAC,52,BATTLE_CHATTER;BATTLE_HELP;ITEM;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO
결,U+ACB0,289,BATTLE;BATTLE_CHATTER;BATTLE_HELP;ITEM;MAGIC;NPC_DIALOGUE;SCENARIO;SKILL;STATUS;SYSTEM
겸,U+ACB8,5,NPC_DIALOGUE
겹,U+ACB9,11,ITEM;NPC_DIALOGUE
겼,U+ACBC,40,NPC_DIALOGUE;SCENARIO
경,U+ACBD,334,BATTLE_CHATTER;EQUIPMENT;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;STATUS;SYSTEM
곁,U+ACC1,15,NPC_DIALOGUE;SCENARIO
계,U+ACC4,1000,EQUIPMENT;FIELD;FIELD_RUNTIME;FIELD_TABLE;ITEM;MAGIC;NPC_DIALOGUE;NPC_SPEAKER_NAME;SCENARIO;SKILL;STATUS;SYSTEM
곗,U+ACD7,1,NPC_DIALOGUE
