entry_index,stream_key,key_bit_0x800,start_sector,end_sector,source_offset,size_bytes,channels,sample_rate,header_size,interleave,duration_ms,reference_count,sample_ids,classification,confidence,notes
55,0x38,0,0x12B61,0x12BCE,0x95B0800,223232,2,24000,0x800,0x800,8064,2,0x2BC;0x2BD,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
56,0x39,0,0x12BCE,0x12C37,0x95E7000,215040,2,24000,0x800,0x800,7765,2,0x2BE;0x2BF,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
78,0x4F,0,0x1A5C6,0x1A931,0xD2E3000,1792000,2,24000,0x800,0x800,65259,2,0x39C;0x39D,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
82,0x53,0,0x1BBFE,0x1BF35,0xDDFF000,1685504,2,24000,0x800,0x800,61376,2,0x3EC;0x3ED,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
83,0x54,0,0x1BF35,0x1C06A,0xDF9A800,632832,2,24000,0x800,0x800,22997,2,0x3EE;0x3EF,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
84,0x55,0,0x1C06A,0x1C1A3,0xE035000,641024,2,24000,0x800,0x800,23296,2,0x3F0;0x3F1,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
85,0x56,0,0x1C1A3,0x1C8D6,0xE0D1800,3774464,2,24000,0x800,0x800,137536,2,0x3F2;0x3F3,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
86,0x57,0,0x1C8D6,0x1D013,0xE46B000,3794944,2,24000,0x800,0x800,138283,2,0x3F4;0x3F5,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
87,0x58,0,0x1D013,0x1D78A,0xE809800,3913728,2,24000,0x800,0x800,142613,2,0x3F6;0x3F7,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
88,0x59,0,0x1D78A,0x1DF01,0xEBC5000,3913728,2,24000,0x800,0x800,142613,2,0x3F8;0x3F9,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
