id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
SCN_00030000_00740000_0012,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,11,0x008d14cd,0x008d14c8,26 f0 e5 47 9d 56 f0 57 f0 8c bd ba bc b4 08 dc f0 e2 f0 e5 f0 95 98 86 9a 44 0d ff 00,"フツーに攻撃するよりも
効果的ってこと？","보통 공격하는 것보다
더 효과적이라는 거야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030000_00740000_0016,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,15,0x008d1778,0x008d1773,75 75 43 08 b5 f0 a0 4a f3 7a f0 08 8a 9c 82 94 b5 77 84 9c 77 8a 0d ff 00,"ああ！
旅の準備
しなくちゃいけないし","그래!
여행 준비도
해야 하니까.",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 02 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":2},{""offset"":3,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":22,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_03; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030000_00740000_0061,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,60,0x008d345a,0x008d3455,75 75 43 08 c4 3d f0 26 f0 c5 eb a0 86 9a 9c bb 08 b0 7e 8e 9a 84 ba 43 0d ff 00,"ああ！
アルフィナのことなら
まかせとけよ！","그래!
알피나 일이라면
나한테 맡겨!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0a 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":10},{""offset"":3,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":16,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":24,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_11; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030000_00740000_0088,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,87,0x008d442a,0x008d4425,7d 9a 9a 77 c8 f5 77 92 ba 43 0d ff 00,おととい聞いたよ！,그저께 들었어!,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 08 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":8},{""offset"":10,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_09; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030000_00740000_0094,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,93,0x008d48e0,0x008d48db,dd e4 e9 c4 e4 28 f0 95 98 44 0d ff 00,セットアップって？,셋업이 뭐야?,UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 0b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":11},{""offset"":10,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_12; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030000_00740000_0098,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,97,0x008d4d1f,0x008d4d1a,c2 44 08 80 f3 7e cc 3e f0 9d 82 be bd a0 44 0d ff 00,"ん？
何かオレにくれるの？","응?
나한테 뭔가 주는 거야?",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 02 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":2},{""offset"":2,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":15,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_03; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030000_00740000_0113,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,112,0x008d5967,0x008d5962,9c c2 93 43 08 90 c2 9c 86 9a 93 9a a1 f1 95 92 ba 0d ff 00,"なんだ！
そんなことだと思ったよ","뭐야!
그럴 줄 알았어.",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 03 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":3},{""offset"":4,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":17,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_04; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030000_00740000_0240,SCENARIO,scenario_message,DATA/00030000.MDZ,DATA/00030000.MDT,0x00740000,00030000,239,0x008dc64b,0x008dc646,db 3d f0 2f f0 ec c4 a1 08 86 a0 99 f2 a0 9b 86 7e 9d 75 bd 43 08 86 a0 af f3 9e f0 99 42 f1 84 bd 9a 86 b0 99 08 42 f1 95 98 b6 bd 43 0d ff 00,"スルマニアは
この空のどこかにある！
この機体で行けるとこまで
行ってやる！","수르마니아는
이 하늘 어딘가에 있어!
이 기체로 갈 수 있는 데까지
가고 말 거야!",UNASSIGNED,ユウキ,"[{""offset"":-5,""raw_hex"":""02 0e 00 07 00"",""kind"":""MESSAGE_HEADER"",""opcode"":2,""argument"":7},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":21,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":37,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":45,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_yuuki_08; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030100_00740000_0007,SCENARIO,scenario_message,DATA/00030100.MDZ,DATA/00030100.MDT,0x00740000,00030100,6,0x002a9928,0x002a9923,9c c2 7e 77 95 92 44 0d ff 00,なんかいった？,뭐라고 했어?,UNASSIGNED,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 1e 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":30},{""offset"":7,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"SUPPORTED: structured scenario command; header FACE slot maps to face_miranda_05; runtime display not yet checked. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
SCN_00030100_00740000_0014,SCENARIO,scenario_message,DATA/00030100.MDZ,DATA/00030100.MDT,0x00740000,00030100,13,0x002a9a83,0x002a9a7e,9c 9d d2 dc d2 dc 8a 98 c2 a0 44 08 31 f8 81 f1 9d 74 f0 79 20 f0 47 27 f0 08 ce 3e f0 47 da 9d cf f0 77 98 75 bd c2 99 8a b9 08 df f0 82 8a f0 95 98 bb 95 8a b5 77 0d ff 00,"なにグズグズしてんの？
湿布に使うハーブ
ガレージに置いてあるんでしょ
早く取ってらっしゃい","뭘 그렇게 꾸물거려?
파스에 쓸 허브,
차고에 있잖아.
얼른 가져와.",UNASSIGNED,ミランダ,"[{""offset"":-5,""raw_hex"":""22 0e 00 1e 00"",""kind"":""MESSAGE_HEADER"",""opcode"":34,""argument"":30},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":25,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":42,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":55,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",REVIEW_1,NO,CHARACTER_GUIDE v0.1 적용 1차 번역. 말투는 화자·관계·장면 기준.,"PROVEN: runtime source bytes, render path, FACE slot, speaker, and visible text match. PROVEN: byte-identical source command exists at the same path and offsets on Disc 2. TERM: バースフィア는 ‘버스피어’ 채택. ‘바 스피어’는 대안 표기로 보류. 湿布는 ‘파스’, トバク場은 ‘도박장’으로 채택."
