sequence_rank,priority,event_id,stream_key,entry_index,sample_ids,suggested_runtime_trigger_sample_ids,trigger_evidence,duration_ms,duration_seconds,audio_path,audio_status,scene_name,disc_usage,resource_path,runtime_trigger_sample_ids,runtime_status,japanese_status,korean_status,cue_status,package_status,review_notes
1,1,gr3_stream_0038,0x38,55,0x2BC;0x2BD,0x2BD,INFERRED_FROM_0x415_META_PATTERN,8064,8.064,audio/extracted/gr3_rendered_events/stream_0038.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
2,1,gr3_stream_0039,0x39,56,0x2BE;0x2BF,0x2BF,INFERRED_FROM_0x415_META_PATTERN,7765,7.765,audio/extracted/gr3_rendered_events/stream_0039.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
3,3,gr3_stream_004f,0x4F,78,0x39C;0x39D,0x39D,INFERRED_FROM_0x415_META_PATTERN,65259,65.259,audio/extracted/gr3_rendered_events/stream_004f.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
4,3,miranda_neighbor_event_0053,0x53,82,0x3EC;0x3ED,0x3ED,INFERRED_FROM_0x415_META_PATTERN,61376,61.376,audio/extracted/gr3_rendered_events/stream_0053.flac,PASS,초반 아줌마가 미란다에게 차를 권하는 장면,DISC1_RUNTIME_OBSERVED,DATA/01010105.MDZ,0x3EC,RUNTIME_OBSERVED_SPU_SYNC_CORRECTED,REVIEWED,REVIEWED,READY_60HZ,GR3SUB_BIN_PREPARED,슬롯 1 SPU2와 cue 경계 재검증 완료
5,1,miranda_wakes_yuki_event_0054,0x54,83,0x3EE;0x3EF,0x3EF,INFERRED_FROM_0x415_META_PATTERN,22997,22.997,audio/extracted/gr3_rendered_events/stream_0054.flac,PASS,미란다가 유우키를 깨우러 가는 장면,DISC1_RUNTIME_OBSERVED,DATA/01010201.MDZ,0x3EF,RUNTIME_SPU_PROVEN_AUDIO_ALIGNED_CUES,REVIEWED,REVIEWED,READY_60HZ,GR3SUB_BIN_PREPARED,슬롯 2 active SPU voices 8/9로 stream 0x54 확정
6,1,garage_event_0055,0x55,84,0x3F0;0x3F1,0x3F1,RUNTIME_OBSERVED_0x3F0,23296,23.296,audio/extracted/gr3_rendered_events/stream_0055.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
7,4,gr3_stream_0056,0x56,85,0x3F2;0x3F3,0x3F3,INFERRED_FROM_0x415_META_PATTERN,137536,137.536,audio/extracted/gr3_rendered_events/stream_0056.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
8,4,gr3_stream_0057,0x57,86,0x3F4;0x3F5,0x3F5,INFERRED_FROM_0x415_META_PATTERN,138283,138.283,audio/extracted/gr3_rendered_events/stream_0057.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_LOW_CONFIDENCE_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
9,4,gr3_stream_0058,0x58,87,0x3F6;0x3F7,0x3F7,INFERRED_FROM_0x415_META_PATTERN,142613,142.613,audio/extracted/gr3_rendered_events/stream_0058.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
10,4,gr3_stream_0059,0x59,88,0x3F8;0x3F9,0x3F9,INFERRED_FROM_0x415_META_PATTERN,142613,142.613,audio/extracted/gr3_rendered_events/stream_0059.flac,PASS,,COMMON_ARCHIVE_RUNTIME_UNKNOWN,,,PENDING_RUNTIME_MAPPING,AUTO_TRANSCRIBED_REVIEW,PENDING_TRANSLATION,PENDING_CUES,PENDING_RESOURCE_STORAGE,
