glyph_id,raw_bytes,occurrences,font_page,slot,recognized_char,grade,evidence,best_candidate_if_review,best_candidate_conf,ocr_alternatives,image_path,status_original
G0021,41,827,single-byte,0x0001,!,VISUAL_HIGH,glyph image manually checked,,,"画(57,threshold_jpn_10); 還(0,nearest_jpn_10)",glyph_G0021.png,UNRESOLVED_UNICODE
G0022,42,456,single-byte,0x0002,?,VISUAL_HIGH,glyph image manually checked,,,"『(51,smooth_jpn_10); 違(0,threshold_jpn_10)",glyph_G0022.png,UNRESOLVED_UNICODE
G0026,46,12963,single-byte,0x0006,…,VISUAL_HIGH,glyph image manually checked,,,"加(48,nearest_HanS_10); 男(45,threshold_jpn_10); 画(40,smooth_jpn_10)",glyph_G0026.png,UNRESOLVED_UNICODE
G0029,49,3,single-byte,0x0009,♥,VISUAL_HIGH,glyph image manually checked,,,"し(5,threshold_jpn_10); 琴(0,nearest_jpn_13); 情(0,nearest_jpn_10); 博(0,smooth_jpn_10)",glyph_G0029.png,UNRESOLVED_UNICODE
G002C,4C,1,single-byte,0x000C,(,VISUAL_HIGH,glyph image manually checked,,,,glyph_G002C.png,UNRESOLVED_UNICODE
G002D,4D,1,single-byte,0x000D,),VISUAL_HIGH,glyph image manually checked,,,,glyph_G002D.png,UNRESOLVED_UNICODE
G002E,4E,393,single-byte,0x000E,[,VISUAL_HIGH,glyph image manually checked,,,"『(70,nearest_jpn_13)",glyph_G002E.png,UNRESOLVED_UNICODE
G002F,4F,393,single-byte,0x000F,],VISUAL_HIGH,glyph image manually checked,,,"』(65,nearest_jpn_13)",glyph_G002F.png,UNRESOLVED_UNICODE
G0033,53,69,single-byte,0x0013,3,VISUAL_HIGH,glyph image manually checked,,,"づ(75,nearest_jpn_10); ゴ(53,nearest_Japanese_10); 叶(0,nearest_HanS_10)",glyph_G0033.png,UNRESOLVED_UNICODE
G0035,55,71,single-byte,0x0015,5,VISUAL_HIGH,glyph image manually checked,,,"の(38,nearest_jpn_10); 呈(0,nearest_jpn_13)",glyph_G0035.png,UNRESOLVED_UNICODE
G0048,68,1,single-byte,0x0028,0,VISUAL_HIGH,glyph image manually checked,,,"し(14,smooth_jpn_10); 邊(0,threshold_jpn_10)",glyph_G0048.png,UNRESOLVED_UNICODE
G0054,74,1116,single-byte,0x0034,あ,VISUAL_HIGH,glyph image manually checked,,,"あ(92,nearest_jpn_13); 店(52,nearest_Japanese_10); も(42,threshold_jpn_10); 布(0,nearest_HanS_10)",glyph_G0054.png,UNRESOLVED_UNICODE
G005A,7A,1736,single-byte,0x003A,え,VISUAL_HIGH,glyph image manually checked,,,"え(92,nearest_jpn_10); 六(34,nearest_HanS_10); 直(0,nearest_Japanese_10)",glyph_G005A.png,UNRESOLVED_UNICODE
G006F,8F,1137,single-byte,0x004F,ぜ,VISUAL_HIGH,glyph image manually checked,,,"ゼ(66,smooth_jpn_10); せ(0,threshold_jpn_10)",glyph_G006F.png,UNRESOLVED_UNICODE
G0083,A3,192,single-byte,0x0063,ば,VISUAL_HIGH,glyph image manually checked,,,"ば(96,nearest_jpn_10); は(78,threshold_jpn_10)",glyph_G0083.png,UNRESOLVED_UNICODE
G0086,A6,5,single-byte,0x0066,び,VISUAL_HIGH,glyph image manually checked,,,"ぴ(80,nearest_jpn_13)",glyph_G0086.png,UNRESOLVED_UNICODE
G008F,AF,50,single-byte,0x006F,ぼ,VISUAL_HIGH,glyph image manually checked,,,"ば(88,threshold_jpn_10); ド(64,smooth_jpn_10)",glyph_G008F.png,UNRESOLVED_UNICODE
