glyph_id,raw_bytes,occurrences,ocr_best_candidate,ocr_alternatives,adopted_character,confidence,decision,evidence,image_path
G00FE,4E F0,20,,,二,SUPPORTED_CONTEXT,ADOPT_CONTEXT,真っ二つ／一石二鳥／二日酔い; all occurrences agree.,glyph_G00FE.png
G01AE,2E F1,4,狙,"狙(61,nearest_jpn_13)",狙,SUPPORTED_CONTEXT,ADOPT_CONTEXT,狙う／狙った／狙ってる; all occurrences agree.,glyph_G01AE.png
G02E1,91 F2,3,凌,"凌(0,nearest_jpn_13); ま(0,threshold_jpn_10)",弦,SUPPORTED_CONTEXT,ADOPT_CONTEXT,弾く instruction: 指先に集中してその弦に叩きつける.,glyph_G02E1.png
G03F3,D3 F3,39,鐘,"鐘(0,nearest_jpn_13); 旭(0,nearest_jpn_10); 細(0,nearest_Japanese_10)",郷,SUPPORTED_CONTEXT,ADOPT_CONTEXT,故郷／故郷へ／故郷のこと; repeated phrase.,glyph_G03F3.png
G0480,90 F4,6,用,"用(28,threshold_jpn_10); 寂(17,nearest_jpn_13)",寂,SUPPORTED_CONTEXT,ADOPT_CONTEXT,寂しい／寂しくなる／ひとり寂しく; repeated phrase.,glyph_G0480.png
G04AE,BE F4,6,未,"未(66,threshold_jpn_10); 徐(0,nearest_jpn_13)",条,SUPPORTED_CONTEXT,ADOPT_CONTEXT,生きるための絶対条件.,glyph_G04AE.png
G04C8,D8 F4,18,盛,"盛(23,nearest_jpn_13); 器(0,smooth_jpn_10)",盛,SUPPORTED_CONTEXT,ADOPT_CONTEXT,盛り上がる／全盛期／盛り上げる／大盛り.,glyph_G04C8.png
G0505,45 F5,3,壇,"壇(63,nearest_jpn_13); 上(24,smooth_jpn_10)",壇,SUPPORTED_CONTEXT,ADOPT_CONTEXT,花壇の右手／花壇の前; location phrase.,glyph_G0505.png
G0513,53 F5,16,徴,"徴(47,nearest_jpn_13)",徴,SUPPORTED_CONTEXT,ADOPT_CONTEXT,繁栄の象徴／象徴的; repeated compound.,glyph_G0513.png
G0556,96 F5,2,本,"本(24,nearest_Japanese_10); 墓(0,nearest_jpn_13)",輩,SUPPORTED_CONTEXT,ADOPT_CONTEXT,若輩者ゆえ; fixed expression.,glyph_G0556.png
