cue_id,sample_id,variant_index,actor_class,speaker,caller_module,caller_offset,caller_runtime,context,confidence,notes
0x01,4012,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x01,4002,1,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x02,4014,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x02,4002,1,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x03,4018,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x03,4002,1,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x04,4024,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x05,4016,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x05,4002,1,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x06,4020,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x06,4002,1,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x07,4022,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x07,4002,1,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x08,4028,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x09,4026,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x0A,4084,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x0B,4030,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x0B,4002,1,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
0x0C,4032,0,0,ユウキ,BATTLE.BIN,,0x0033C7D8,battle_actor_class_0,STRONG,"BATTLE cue mapper; decoded VoiceCueEntry {cue, variant_count, sample_id[]}"
