glyph_index_hex,character,confidence,evidence_kind,evidence_note
0865,―,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 815C -> G0865; scenario unresolved queue 104 occurrence(s).
04B5,寝,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9051 -> G04B5; scenario unresolved queue 30 occurrence(s).
0071,ぞ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82BC -> G0071; scenario unresolved queue 24 occurrence(s).
0168,紙,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E86 -> G0168; scenario unresolved queue 23 occurrence(s).
02E8,茶,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9283 -> G02E8; scenario unresolved queue 20 occurrence(s).
033C,牙,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89E5 -> G033C; scenario unresolved queue 20 occurrence(s).
0056,ぃ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82A1 -> G0056; scenario unresolved queue 19 occurrence(s).
0058,ぅ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82A3 -> G0058; scenario unresolved queue 19 occurrence(s).
0330,画,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 89E6 -> G0330; scenario unresolved queue 18 occurrence(s).
02FE,主,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8EE5 -> G02FE; scenario unresolved queue 17 occurrence(s).
02EF,陸,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 97A4 -> G02EF; scenario unresolved queue 17 occurrence(s).
0040,Ｇ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8266 -> G0040; scenario unresolved queue 17 occurrence(s).
0039,９,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8258 -> G0039; scenario unresolved queue 15 occurrence(s).
03DB,客,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8B71 -> G03DB; scenario unresolved queue 15 occurrence(s).
03C8,関,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8AD6 -> G03C8; scenario unresolved queue 14 occurrence(s).
06EA,芸,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8C7C -> G06EA; scenario unresolved queue 14 occurrence(s).
059F,望,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 965D -> G059F; scenario unresolved queue 14 occurrence(s).
0512,張,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 92A3 -> G0512; scenario unresolved queue 14 occurrence(s).
0089,ぷ,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 82D5 -> G0089; scenario unresolved queue 14 occurrence(s).
05B6,夜,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 96E9 -> G05B6; scenario unresolved queue 13 occurrence(s).
0038,８,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8257 -> G0038; scenario unresolved queue 13 occurrence(s).
0202,袋,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 91DC -> G0202; scenario unresolved queue 13 occurrence(s).
04E4,操,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9180 -> G04E4; scenario unresolved queue 13 occurrence(s).
07A2,縦,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8F63 -> G07A2; scenario unresolved queue 13 occurrence(s).
0433,港,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8D60 -> G0433; scenario unresolved queue 12 occurrence(s).
0381,胃,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 88DD -> G0381; scenario unresolved queue 12 occurrence(s).
011D,殺,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E45 -> G011D; scenario unresolved queue 11 occurrence(s).
0141,現,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CBB -> G0141; scenario unresolved queue 11 occurrence(s).
0555,背,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9477 -> G0555; scenario unresolved queue 11 occurrence(s).
0109,御,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CE4 -> G0109; scenario unresolved queue 11 occurrence(s).
026A,腕,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 9872 -> G026A; scenario unresolved queue 10 occurrence(s).
02C5,南,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93EC -> G02C5; scenario unresolved queue 10 occurrence(s).
0459,散,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8E55 -> G0459; scenario unresolved queue 10 occurrence(s).
02E3,原,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 8CB4 -> G02E3; scenario unresolved queue 10 occurrence(s).
0896,筒,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 939B -> G0896; scenario unresolved queue 10 occurrence(s).
083D,陶,SUPPORTED,original_ruby_skj_reverse_mapping,RUBY.SKJ CP932 93A9 -> G083D; scenario unresolved queue 9 occurrence(s).
