glyph_id,raw_bytes,character,confidence,evidence_type,status,notes,occurrences,source_offset
G0034,54,4,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x31D00; bitmap top candidate agrees with context-inferred character,6,0x31D00
G0036,56,6,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP+CONTEXT_AGREE; source_offset=0x31E00; bitmap top candidate agrees with context-inferred character,8,0x31E00
G0037,57,7,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x31E80; no usable context resolution; retained bitmap candidate for review,8,0x31E80
G0038,58,8,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x31F00; no usable context resolution; retained bitmap candidate for review,13,0x31F00
G0039,59,9,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x31F80; 19号機,15,0x31F80
G003A,5A,A,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32000; no usable context resolution; retained bitmap candidate for review,7,0x32000
G003F,5F,F,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32280; no usable context resolution; retained bitmap candidate for review,1,0x32280
G0040,60,G,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32300; no usable context resolution; retained bitmap candidate for review,17,0x32300
G0042,62,I,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32400; no usable context resolution; retained bitmap candidate for review,1,0x32400
G0044,64,K,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32500; no usable context resolution; retained bitmap candidate for review,1,0x32500
G0045,65,L,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32580; no usable context resolution; retained bitmap candidate for review,1,0x32580
G0047,67,N,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32680; no usable context resolution; retained bitmap candidate for review,1,0x32680
G0051,71,X,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: MANUAL_BITMAP+CONTEXT; source_offset=0x32B80; コロリX,2,0x32B80
G0056,76,い,SUPPORTED,IMAGE_REVIEW_HIGH,SUPPORTED_BITMAP,Focused review: BITMAP_ONLY; source_offset=0x32E00; no usable context resolution; retained bitmap candidate for review,19,0x32E00
