mdt,scene_id,record_id,resource_id,class,subtype,offset,resource_relative_offset,end_offset,size,boundary_role,previous_message,next_message,raw_hex,exact_hash,structure_hash,prefix_hex,suffix_hex,observed_control_bytes
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,0x002A956C,0x0004,0x002A957F,19,pre_message,,SCN_00030100_00740000_0001,00 a6 95 0f 00 10 30 c7 00 0d 09 ff ff ff ff 60 00 3c 00,91173496ea928761741c823b0bb6c4a281f6a9f947341eaed5a39d1fbb65bf58,6c5990951bf2bd871be37669d80270d4a24f89fac072faf21ef617664c3da10c,00 a6 95 0f 00 10 30 c7,ff ff ff ff 60 00 3c 00,00 0F 00 10 00 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,0x002A959A,0x0032,0x002A959E,4,between_messages,SCN_00030100_00740000_0001,SCN_00030100_00740000_0002,05 00 02 04,a348a3d36579e47243607fa7189cd286346d4f1a35ba8213a1e56e6c50e8c1f8,6f263b2173be918e3cafde4a6ae1dbcf45c357c36234b4822be87bdac553866e,05 00 02 04,05 00 02 04,05 00 02 04
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,0x002A959E,0x0036,0x002A9646,168,between_messages,SCN_00030100_00740000_0001,SCN_00030100_00740000_0002,00 00 00 00 00 10 30 52 00 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 30 91 00 06 01 bc 01 13 ff 2e 0d 0a a8 00 40 01 b0 00 3c 00 80 0e 00 00 00 21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00 10 00 0d 00 02 05 00 02 04 00 02 00 00 00 10 30 b8 00 13 ff 01 1f 08 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 0d 00 02 05 00 02 04 00 03 00 00 00 10 30 c6 00 02 02 05 00 05 00 00 a6 95 0f 00 10 30 c0 01 0d 09 ff ff ff ff 90 00 50 00,288778374a076784e281f33df19f90fc9537652c9912244bbd133bc9a8bb61c1,61f38a39974d7070a2a0ace64643c8b9c10fc5c53bed4a4c87955dfd03a7db31,00 00 00 00 00 10 30 52,ff ff ff ff 90 00 50 00,00 00 00 00 00 10 00 1F 09 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 00 06 01 01 13 FF 0D 0A 00 01 00 00 0E 00 00 00 08 12 00 F1 F0 F0 08 0D FF 00 10 00 0D 00 02 05 00 02 04 00 02 00 00 00 10 00 13 FF 01 1F 08 0F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 0D 00 02 05 00 02 04 00 03 00 00 00 10 00 02 02 05 00 05 00 00 0F 00 10 01 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00006000,0x6000,0,0x002A966C,0x0104,0x002A9730,196,resource_tail,SCN_00030100_00740000_0002,,05 00 02 04 00 00 00 00 00 10 30 24 01 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 30 63 01 06 01 bc 01 13 ff 2e 0d 0a a8 00 40 01 b0 00 3c 00 80 0e 00 00 00 21 08 12 00 61 69 48 66 69 7f 9b f1 5f f0 d6 f0 8a 92 08 21 0d ff 00 10 00 d4 00 02 05 00 02 04 00 02 00 00 00 10 30 8a 01 13 ff 01 1f 08 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 d4 00 02 05 00 02 04 00 03 00 00 00 10 30 b1 01 13 ff 01 1f 08 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 d4 00 02 05 00 02 04 00 04 00 00 00 10 30 bf 01 02 02 02 02 00 00 00 00 00 00,b5282aacf0ad4e853b88221c81d7a7d94852434101d94aef397f2e26232ded5d,9574650ee28e4b8325537921a8e6589526bd613a9e214940cfe6eb2b5bb669b6,05 00 02 04 00 00 00 00,02 02 00 00 00 00 00 00,05 00 02 04 00 00 00 00 00 10 01 1F 09 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 01 06 01 01 13 FF 0D 0A 00 01 00 00 0E 00 00 00 08 12 00 F1 F0 F0 08 0D FF 00 10 00 00 02 05 00 02 04 00 02 00 00 00 10 01 13 FF 01 1F 08 0F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 02 05 00 02 04 00 03 00 00 00 10 01 13 FF 01 1F 08 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 02 05 00 02 04 00 04 00 00 00 10 01 02 02 02 02 00 00 00 00 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00396001,0x6000,1,0x002A9734,0x0004,0x002A9747,19,pre_message,,SCN_00030100_00740000_0003,00 a6 95 0f 00 10 30 48 02 0d 09 ff ff ff ff 60 00 28 00,a55585aef7da169724b1c23f04acd26e634e4d2d3c53ea15383dce2002ef5821,661f05cbd4fc2325d1ba2d5f9fbe694fc22d033302e9b5764545a269764dc799,00 a6 95 0f 00 10 30 48,ff ff ff ff 60 00 28 00,00 0F 00 10 02 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00396001,0x6000,1,0x002A975A,0x002A,0x002A975E,4,between_messages,SCN_00030100_00740000_0003,SCN_00030100_00740000_0004,05 00 02 04,a348a3d36579e47243607fa7189cd286346d4f1a35ba8213a1e56e6c50e8c1f8,6f263b2173be918e3cafde4a6ae1dbcf45c357c36234b4822be87bdac553866e,05 00 02 04,05 00 02 04,05 00 02 04
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00396001,0x6000,1,0x002A975E,0x002E,0x002A97C7,105,between_messages,SCN_00030100_00740000_0003,SCN_00030100_00740000_0004,00 00 00 00 00 10 30 12 02 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 30 39 02 13 ff 01 1f 08 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 d5 01 02 05 00 02 04 00 02 00 00 00 10 30 47 02 02 02 05 00 05 00 00 a6 95 0f 00 10 30 fa 02 0d 09 ff ff ff ff 90 00 3c 00,77f8fb371c620f3847581171603d81a2d68e9eae012b591e9f8b934520e24ef4,a89c07ac2aa99a2a4c5b2b72fecf502a90b3e0de72891b6232f93286839131b8,00 00 00 00 00 10 30 12,ff ff ff ff 90 00 3c 00,00 00 00 00 00 10 12 02 1F 09 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 02 13 FF 01 1F 08 0F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 01 02 05 00 02 04 00 02 00 00 00 10 02 02 02 05 00 05 00 00 0F 00 10 02 0D 09 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00396001,0x6000,1,0x002A97E5,0x00B5,0x002A9868,131,resource_tail,SCN_00030100_00740000_0004,,05 00 02 04 00 00 00 00 00 10 30 9d 02 1f 09 d2 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 30 c4 02 13 ff 01 1f 08 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 55 02 02 05 00 02 04 00 02 00 00 00 10 30 eb 02 13 ff 01 1f 08 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 55 02 02 05 00 02 04 00 03 00 00 00 10 30 f9 02 02 02 02 02 00 00 00 00,9fbc8fce5224fb624c14b0f496eabfe49de2f2dfffce5bb9d2bcf6ce46dd43ea,04ae25f538620885d3abeb9f7450be7f93b4ff7701e4b907535ce08ecbc1ecbd,05 00 02 04 00 00 00 00,02 02 02 02 00 00 00 00,05 00 02 04 00 00 00 00 00 10 02 1F 09 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 05 00 02 04 00 01 00 00 00 10 02 13 FF 01 1F 08 0F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 02 02 05 00 02 04 00 02 00 00 00 10 02 13 FF 01 1F 08 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 02 02 05 00 02 04 00 03 00 00 00 10 F9 02 02 02 02 02 00 00 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00602000,0x2000,0,0x002A986C,0x0004,0x002A9898,44,pre_message,,SCN_00030100_00740000_0005,06 01 05 00 05 00 00 9a 6a 0f 00 05 00 06 00 00 c2 6a 0f 00 10 30 57 04 03 00 02 20 06 01 10 30 e5 03 0d 00 ff ff ff ff b0 00 3c 00,6ad957f04c295ff4fe69237b30dd05dd8bb3a840f1f39c911884d000cbc55acb,7ea95e11761fc7dc12127053a8e3a2ba0c12f38e641694798741330c599bc5ac,06 01 05 00 05 00 00 9a,ff ff ff ff b0 00 3c 00,06 01 05 00 05 00 00 0F 00 05 00 06 00 00 0F 00 10 04 03 00 02 06 01 10 03 0D 00 FF FF FF FF 00 00
/Users/j.swon/Desktop/Grandia3_KR/work/scenario/resources/00030100/00030100.MDT,00030100,0x00740000,0x00602000,0x2000,0,0x002A98C8,0x0060,0x002A98CC,4,between_messages,SCN_00030100_00740000_0005,SCN_00030100_00740000_0006,0d 00 ff ff,676b67168b7387cb93621f2701c61c4cfc71c63afe457ec4d1e0c17daeacec1e,e5114bd47b3c5e979a88876ee7f086231103ef978d6d3692d31f6a6879314dfb,0d 00 ff ff,0d 00 ff ff,0D 00 FF FF
