sample_id,speaker,text,status,notes
4000,ユウキ,이 비장의 수를 받아라!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4002,ユウキ,"이 자식, 받아라!",AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4004,ユウキ,"츠루기오, 네 힘을 해방하자!",AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4006,ユウキ,이럴 때는 이거지!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4008,ユウキ,좋아! 이걸 써볼까!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4010,ユウキ,"이걸 쓸 수밖에 없어. 부탁이야, 들어줘!",AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4012,ユウキ,쾅!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4014,ユウキ,뱅 스트라이크!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4016,ユウキ,젠가!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4018,ユウキ,지옥의 불길로 타올라라!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4020,ユウキ,뼛속까지 불태워주마!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4022,ユウキ,일격 필살! 데즌!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4024,ユウキ,불태워 없애라! 뱅 블레이즈!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4026,ユウキ,불꽃의 비를 맞아라!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4028,ユウキ,이 녀석을 날려버려! 사라져라!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4030,ユウキ,그라긴!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4032,ユウキ,솟구쳐라! 그랑죠!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4034,ユウキ,유성의 철퇴! 어둠이여! 메테오 스트라이크!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4036,ユウキ,키로!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4038,ユウキ,얼음의 칼날! 샤키아!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4040,ユウキ,샤키가!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4042,ユウキ,힘을 모아 전진하자!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4044,ユウキ,간다! 절대 레이드!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4046,ユウキ,휘이익!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4048,ユウキ,꿰뚫어라! 음속의 칼날!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
4050,ユウキ,시비델! 라이거!,AUTO_TRANSLATED_REVIEW,Korean first-pass translation from unverified Whisper Japanese; review audio before approval.
