glyph_id,character,raw_bytes,occurrences,grade,evidence
G0021,!,41,827,VISUAL_HIGH,glyph image manually checked
G0022,?,42,456,VISUAL_HIGH,glyph image manually checked
G0026,…,46,12963,VISUAL_HIGH,glyph image manually checked
G0029,♥,49,3,VISUAL_HIGH,glyph image manually checked
G002C,(,4C,1,VISUAL_HIGH,glyph image manually checked
G002D,),4D,1,VISUAL_HIGH,glyph image manually checked
G002E,[,4E,393,VISUAL_HIGH,glyph image manually checked
G002F,],4F,393,VISUAL_HIGH,glyph image manually checked
G0033,3,53,69,VISUAL_HIGH,glyph image manually checked
G0035,5,55,71,VISUAL_HIGH,glyph image manually checked
G0048,0,68,1,VISUAL_HIGH,glyph image manually checked
G0054,あ,74,1116,VISUAL_HIGH,glyph image manually checked
G005A,え,7A,1736,VISUAL_HIGH,glyph image manually checked
G006F,ぜ,8F,1137,VISUAL_HIGH,glyph image manually checked
G0083,ば,A3,192,VISUAL_HIGH,glyph image manually checked
G0086,び,A6,5,VISUAL_HIGH,glyph image manually checked
G008F,ぼ,AF,50,VISUAL_HIGH,glyph image manually checked
G00FA,♪,4A F0,21,VISUAL_HIGH,glyph image manually checked
G010E,左,5E F0,2,HIGH,"4 OCR votes, max 89.7"
G0110,右,60 F0,12,HIGH,"2 OCR votes, max 73.8"
G0113,会,63 F0,283,HIGH,jpn psm13 92.8
G0114,話,64 F0,423,HIGH,jpn psm13 91.5
G0123,換,73 F0,6,VISUAL_HIGH,glyph image manually checked
G0126,搭,76 F0,58,HIGH,"3 OCR votes, max 84.7"
G012C,配,7C F0,111,HIGH,jpn psm13 92.9
G012F,個,7F F0,27,HIGH,jpn psm13 92.9
G0132,買,82 F0,153,HIGH,jpn psm13 89.9
G0133,売,83 F0,128,HIGH,jpn psm13 87.4
G0136,預,86 F0,3,HIGH,jpn psm13 92.6
G013C,続,8C F0,95,HIGH,jpn psm13 89.7
G0143,選,93 F0,46,HIGH,jpn psm13 91.0
G0144,択,94 F0,4,HIGH,"3 OCR votes, max 81.9"
G0146,域,96 F0,8,HIGH,jpn psm13 86.6
G0152,村,A2 F0,126,HIGH,jpn psm13 92.7
G015C,箱,AC F0,7,HIGH,jpn psm13 89.2
G0163,届,B3 F0,38,HIGH,jpn psm13 92.1
G0167,母,B7 F0,74,HIGH,jpn psm13 90.1
G0170,前,C0 F0,263,HIGH,jpn psm13 96.8
G0175,屋,C5 F0,324,HIGH,jpn psm13 92.2
G0177,樹,C7 F0,6,HIGH,jpn psm13 92.7
G0179,晴,C9 F0,40,HIGH,jpn psm13 91.2
G0188,探,D8 F0,169,HIGH,jpn psm13 92.4
G018B,以,DB F0,69,HIGH,jpn psm13 92.9
G019A,赤,EA F0,54,HIGH,jpn psm13 89.0
G019C,即,EC F0,4,HIGH,jpn psm13 87.9
G01A2,ー,22 F1,16,HIGH,"2 OCR votes, max 80.9"
G01B6,段,36 F1,29,HIGH,jpn psm13 91.4
G01BF,で,3F F1,10,HIGH,"2 OCR votes, max 73.6"
G01C3,止,43 F1,71,HIGH,"6 OCR votes, max 91.9"
G01C4,誠,44 F1,2,VISUAL_HIGH,glyph image manually checked
G01CA,年,4A F1,276,HIGH,jpn psm13 95.9
G01CC,割,4C F1,53,HIGH,jpn psm13 91.3
G01D1,兵,51 F1,5,HIGH,jpn psm13 86.9
G01D7,役,57 F1,48,HIGH,jpn psm13 92.7
G01DC,外,5C F1,75,HIGH,jpn psm13 90.0
G01DF,矢,5F F1,3,HIGH,jpn psm13 90.8
G01E2,時,62 F1,3,VISUAL_HIGH,glyph image manually checked
G01E3,中,63 F1,2,HIGH,"2 OCR votes, max 71.7"
G01E4,難,64 F1,21,VISUAL_HIGH,glyph image manually checked
G01E5,牛,65 F1,5,HIGH,"4 OCR votes, max 86.9"
G01FF,目,7F F1,213,HIGH,jpn psm13 92.9
G0209,返,89 F1,81,HIGH,jpn psm13 93.2
G020F,近,8F F1,99,HIGH,jpn psm13 92.6
G021E,安,9E F1,68,HIGH,"2 OCR votes, max 89.5"
G0228,有,A8 F1,12,HIGH,jpn psm13 87.0
G022C,首,AC F1,14,HIGH,jpn psm13 92.5
G022F,許,AF F1,54,HIGH,jpn psm13 92.5
G0230,皆,B0 F1,9,HIGH,jpn psm13 92.5
G023F,新,BF F1,96,HIGH,jpn psm13 93.2
G0245,甘,C5 F1,21,HIGH,jpn psm13 92.1
G024A,渋,CA F1,4,HIGH,jpn psm13 89.5
G024F,算,CF F1,2,HIGH,"3 OCR votes, max 78.7"
G0252,定,D2 F1,33,HIGH,jpn psm13 91.8
G0257,塩,D7 F1,3,HIGH,jpn psm13 89.9
G025F,延,DF F1,2,HIGH,jpn psm13 92.2
G0261,費,E1 F1,2,VISUAL_HIGH,glyph image manually checked
G0262,倍,E2 F1,14,HIGH,jpn psm13 85.7
G0263,終,E3 F1,91,HIGH,jpn psm13 90.1
G0270,介,20 F2,10,HIGH,jpn psm13 90.4
G0289,警,39 F2,12,VISUAL_HIGH,glyph image manually checked
G02A8,登,58 F2,2,HIGH,jpn psm13 92.3
G02AA,妙,5A F2,32,VISUAL_HIGH,glyph image manually checked
G02AC,鹿,5C F2,7,HIGH,jpn psm13 86.5
G02AD,角,5D F2,11,HIGH,jpn psm13 92.9
G02AF,仮,5F F2,13,HIGH,jpn psm13 87.9
G02BD,涙,6D F2,19,HIGH,"3 OCR votes, max 79.9"
G02D3,絵,83 F2,34,HIGH,jpn psm13 91.3
G02D4,日,84 F2,581,HIGH,jpn psm13 90.2
G02DD,針,8D F2,2,HIGH,jpn psm13 93.0
G02E4,始,94 F2,73,HIGH,jpn psm13 92.6
G02E6,教,96 F2,162,HIGH,jpn psm13 88.1
G02EB,引,9B F2,4,VISUAL_HIGH,glyph image manually checked
G02EC,番,9C F2,35,HIGH,jpn psm13 92.6
G02F0,芋,A0 F2,1,HIGH,jpn psm13 92.2
G02F2,吸,A2 F2,24,VISUAL_HIGH,glyph image manually checked
G02F4,泥,A4 F2,3,HIGH,jpn psm13 91.7
G0301,攻,B1 F2,2,VISUAL_HIGH,glyph image manually checked
G0320,完,D0 F2,24,HIGH,jpn psm13 92.0
G0324,吐,D4 F2,11,HIGH,jpn psm13 92.4
G0327,援,D7 F2,11,HIGH,"2 OCR votes, max 81.0"
G0328,酒,D8 F2,3,VISUAL_HIGH,glyph image manually checked
G032A,複,DA F2,3,VISUAL_HIGH,glyph image manually checked
G0336,挑,E6 F2,9,HIGH,"3 OCR votes, max 74.4"
G033F,明,EF F2,154,HIGH,jpn psm13 92.9
G0348,所,28 F3,234,HIGH,jpn psm13 96.8
G034B,節,2B F3,18,HIGH,jpn psm13 92.8
G034F,抜,2F F3,59,HIGH,"4 OCR votes, max 80.3"
G0351,声,31 F3,113,HIGH,jpn psm13 87.9
G0359,菌,39 F3,1,HIGH,jpn psm13 87.5
G035D,煙,3D F3,2,HIGH,jpn psm13 92.8
G035E,津,3E F3,1,HIGH,"4 OCR votes, max 79.2"
G0366,制,46 F3,12,HIGH,jpn psm13 91.1
G0368,他,48 F3,85,HIGH,jpn psm13 91.9
G036B,室,4B F3,11,HIGH,"2 OCR votes, max 91.4"
G036D,卑,4D F3,2,HIGH,jpn psm13 93.0
G0373,格,53 F3,41,HIGH,jpn psm13 90.5
G0375,約,55 F3,25,HIGH,jpn psm13 92.8
G037E,依,5E F3,10,HIGH,jpn psm13 91.2
G0383,医,63 F3,7,HIGH,jpn psm13 92.6
G0384,育,64 F3,60,HIGH,jpn psm13 93.0
G0386,因,66 F3,17,HIGH,"2 OCR votes, max 81.3"
G0389,陰,69 F3,3,VISUAL_HIGH,glyph image manually checked
G0390,衛,70 F3,5,HIGH,jpn psm13 92.9
G0392,益,72 F3,2,VISUAL_HIGH,glyph image manually checked
G0394,越,74 F3,51,VISUAL_HIGH,glyph image manually checked
G0397,演,77 F3,11,HIGH,jpn psm13 91.3
G039D,沖,7D F3,3,HIGH,jpn psm13 90.3
G039E,憶,7E F3,13,HIGH,"3 OCR votes, max 87.3"
G039F,恩,7F F3,16,HIGH,jpn psm13 89.0
G03A2,夏,82 F3,2,HIGH,jpn psm13 92.1
G03A3,姫,83 F3,2,VISUAL_HIGH,glyph image manually checked
G03A4,科,84 F3,1,HIGH,jpn psm13 93.0
G03A5,河,85 F3,3,HIGH,jpn psm13 92.7
G03A6,何,86 F3,14,HIGH,"3 OCR votes, max 92.6"
G03A7,貨,87 F3,3,VISUAL_HIGH,glyph image manually checked
G03AB,悔,8B F3,14,HIGH,jpn psm13 91.3
G03AF,階,8F F3,18,HIGH,jpn psm13 91.9
G03B1,崖,91 F3,12,VISUAL_HIGH,glyph image manually checked
G03B4,確,94 F3,71,HIGH,jpn psm13 92.1
G03B6,業,96 F3,184,HIGH,jpn psm13 88.1
G03BB,患,9B F3,3,HIGH,"3 OCR votes, max 71.2"
G03C0,汗,A0 F3,9,HIGH,"4 OCR votes, max 73.2"
G03C2,看,A2 F3,38,HIGH,jpn psm13 92.3
G03C3,一,A3 F3,2,HIGH,"3 OCR votes, max 76.4"
G03C4,簡,A4 F3,18,HIGH,jpn psm13 91.7
G03C5,肝,A5 F3,8,HIGH,jpn psm13 92.2
G03CD,希,AD F3,38,HIGH,jpn psm13 90.8
G03D0,帰,B0 F3,265,HIGH,jpn psm13 92.7
G03D3,季,B3 F3,12,HIGH,jpn psm13 92.8
G03D8,負,B8 F3,26,VISUAL_HIGH,glyph image manually checked
G03D9,犠,B9 F3,9,HIGH,jpn psm13 88.0
G03DF,休,BF F3,85,HIGH,jpn psm13 89.3
G03E0,求,C0 F3,52,HIGH,jpn psm13 90.4
G03E5,去,C5 F3,50,HIGH,jpn psm13 93.0
G03E8,損,C8 F3,6,VISUAL_HIGH,glyph image manually checked
G03EC,協,CC F3,14,HIGH,jpn psm13 92.5
G03ED,叫,CD F3,10,HIGH,"5 OCR votes, max 82.7"
G03EE,境,CE F3,26,HIGH,jpn psm13 92.5
G03F1,況,D1 F3,6,HIGH,jpn psm13 85.4
G03F2,興,D2 F3,27,HIGH,jpn psm13 91.5
G03F5,驚,D5 F3,31,VISUAL_HIGH,glyph image manually checked
G03F7,禁,D7 F3,12,HIGH,jpn psm13 90.1
G03FB,区,DB F3,6,HIGH,jpn psm13 96.9
G0406,兄,E6 F3,197,HIGH,jpn psm13 89.3
G040C,計,EC F3,26,HIGH,jpn psm13 92.9
G0410,決,20 F4,187,HIGH,jpn psm13 93.2
G0412,件,22 F4,103,HIGH,jpn psm13 96.9
G041E,言,2E F4,821,HIGH,jpn psm13 85.2
G0423,枯,33 F4,5,HIGH,"3 OCR votes, max 77.3"
G0427,悟,37 F4,23,HIGH,"4 OCR votes, max 77.8"
G0428,誤,38 F4,4,HIGH,jpn psm13 87.3
G0429,公,39 F4,5,HIGH,jpn psm13 91.9
G043C,頃,4C F4,83,HIGH,jpn psm13 91.5
G043D,今,4D F4,460,HIGH,jpn psm13 89.5
G043E,困,4E F4,45,HIGH,"2 OCR votes, max 84.9"
G043F,嬉,4F F4,43,VISUAL_HIGH,glyph image manually checked
G0444,再,54 F4,28,HIGH,jpn psm13 91.1
G0447,済,57 F4,5,HIGH,jpn psm13 90.1
G044A,奈,5A F4,29,VISUAL_HIGH,glyph image manually checked
