entry_index,stream_key,key_bit_0x800,start_sector,end_sector,source_offset,size_bytes,channels,sample_rate,header_size,interleave,duration_ms,reference_count,sample_ids,classification,confidence,notes
0,0x801,1,0x0,0x6A1,0x0,3475456,2,24000,0xA40,0x54800,126614,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
1,0x2,0,0x6A1,0x6E6,0x350800,141312,1,24000,0x800,0x800,10155,112,0x4;0x5;0x72;0x73;0x78;0x79;0x80;0x81;0x86;0x87;0x88;0x89;0x8E;0x8F;0x3E8;0x3E9;0x3EA;0x3EB;0x40A;0x40B;0x41A;0x41B;0x41E;0x41F;0x43C;0x43D;0x43E;0x43F;0x44A;0x44B;0x464;0x465;0x476;0x477;0x478;0x479;0x47C;0x47D;0x47E;0x47F;0x480;0x481;0x48A;0x48B;0x496;0x497;0x498;0x499;0x49A;0x49B;0x49C;0x49D;0x49E;0x49F;0x4A0;0x4A1;0x4A2;0x4A3;0x4A4;0x4A5;0x4AC;0x4AD;0x4B8;0x4B9;0x4BE;0x4BF;0x4C2;0x4C3;0x4C6;0x4C7;0x4D0;0x4D1;0x4D4;0x4D5;0x4D8;0x4D9;0x4EA;0x4EB;0x4F2;0x4F3;0x508;0x509;0x50C;0x50D;0x50E;0x50F;0x514;0x515;0x536;0x537;0x53C;0x53D;0x578;0x579;0x57A;0x57B;0x58C;0x58D;0x59A;0x59B;0x5AA;0x5AB;0x5B2;0x5B3;0x5B8;0x5B9;0x5BE;0x5BF;0x5C4;0x5C5;0x5C6;0x5C7,mono_shared_stream,TENTATIVE,mono stream in the shared/event portion; runtime role not yet verified
2,0x803,1,0x6E6,0x8E3,0x373000,1042432,2,24000,0xF00,0x18800,37865,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
3,0x804,1,0x8E3,0xF46,0x471800,3348480,2,24000,0xAB0,0x13A800,121980,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
4,0x805,1,0xF46,0x19D5,0x7A3000,5535744,2,24000,0x900,0x37800,201740,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
5,0x806,1,0x19D5,0x23A4,0xCEA800,5142528,2,24000,0xBF0,0x73800,187377,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
6,0x807,1,0x23A4,0x2D69,0x11D2000,5122048,2,24000,0xF70,0x73800,186597,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
7,0x808,1,0x2D69,0x3702,0x16B4800,5031936,2,24000,0xDD0,0x58800,183327,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
8,0x809,1,0x3702,0x3DFF,0x1B81000,3663872,2,24000,0x890,0xA1800,133499,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
9,0x80A,1,0x3DFF,0x43CA,0x1EFF800,3037184,2,24000,0x9F0,0x54800,110638,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
10,0x80B,1,0x43CA,0x498F,0x21E5000,3024896,2,24000,0xF50,0x87800,110140,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
11,0x80C,1,0x498F,0x4D58,0x24C7800,1984512,2,48000,0xA00,0x26800,36129,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
12,0x80D,1,0x4D58,0x51E7,0x26AC000,2390016,2,24000,0xED0,0x12800,86998,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
13,0x80E,1,0x51E7,0x53AE,0x28F3800,931840,2,24000,0xC20,0x20800,33860,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
14,0x80F,1,0x53AE,0x5991,0x29D7000,3086336,2,24000,0x880,0x170800,112443,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
15,0x810,1,0x5991,0x604E,0x2CC8800,3532800,2,24000,0xBB0,0x62800,128691,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
16,0x811,1,0x604E,0x6733,0x3027000,3614720,2,24000,0xCF0,0x4B800,131666,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
17,0x812,1,0x6733,0x6D3A,0x3399800,3160064,2,24000,0x900,0x59800,115127,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
18,0x813,1,0x6D3A,0x72FF,0x369D000,3024896,2,24000,0xF50,0x87800,110140,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
19,0x814,1,0x72FF,0x7708,0x397F800,2115584,2,24000,0xE30,0x6C800,76998,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
20,0x815,1,0x7708,0x7AAB,0x3B84000,1906688,2,24000,0xB10,0x21800,69411,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
21,0x816,1,0x7AAB,0x7EBE,0x3D55800,2136064,2,24000,0x930,0x2C800,77792,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
22,0x817,1,0x7EBE,0x8195,0x3F5F000,1488896,2,24000,0xDB0,0x13800,54155,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
23,0x818,1,0x8195,0x83FC,0x40CA800,1259520,2,24000,0xFE0,0x11800,45772,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
24,0x819,1,0x83FC,0x8935,0x41FE000,2738176,2,24000,0x810,0x41800,99754,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
25,0x81A,1,0x8935,0x9250,0x449A800,4773888,2,24000,0xBC0,0x101800,173938,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
26,0x81B,1,0x9250,0x94D9,0x4928000,1329152,2,24000,0x8F0,0x13800,48375,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
27,0x81C,1,0x94D9,0x9B80,0x4A6C800,3487744,2,24000,0xFB0,0x7800,127011,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
28,0x81D,1,0x9B80,0x9CCF,0x4DC0000,686080,2,24000,0x940,0xA800,24927,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
29,0x81E,1,0x9CCF,0xA70C,0x4E67800,5367808,2,24000,0x9A0,0x68800,195612,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
30,0x81F,1,0xA70C,0xAB9B,0x5386000,2390016,2,24000,0xED0,0x12800,86998,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
31,0x820,1,0xAB9B,0xB3E4,0x55CD800,4343808,2,48000,0xFB0,0x1E800,79111,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
32,0x821,1,0xB3E4,0xB96B,0x59F2000,2897920,2,24000,0x930,0x5D800,105568,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
33,0x822,1,0xB96B,0xBD42,0x5CB5800,2013184,2,24000,0xED0,0x1A800,73259,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
34,0x823,1,0xBD42,0xC2B3,0x5EA1000,2852864,2,24000,0x850,0x39800,103933,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
35,0x824,1,0xC2B3,0xCCD6,0x6159800,5314560,2,24000,0x830,0x5B800,193684,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
36,0x825,1,0xCCD6,0xD3D1,0x666B000,3659776,2,24000,0xFE0,0x5C800,133281,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
37,0x826,1,0xD3D1,0xDC56,0x69E8800,4466688,2,24000,0xDC0,0x5F800,162720,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
38,0x827,1,0xDC56,0xDF97,0x6E2B000,1705984,2,24000,0xC10,0x42800,62085,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
39,0x828,1,0xDF97,0xE3D2,0x6FCB800,2217984,2,24000,0xA40,0x39800,80768,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
40,0x829,1,0xE3D2,0xEBB1,0x71E9000,4126720,2,24000,0xD20,0x4800,150331,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
41,0x82A,1,0xEBB1,0xEFB6,0x75D8800,2107392,2,24000,0x980,0x55800,76743,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
42,0x82B,1,0xEFB6,0xF3F1,0x77DB000,2217984,2,24000,0xA40,0x39800,80768,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
43,0x82C,1,0xF3F1,0xF82C,0x79F8800,2217984,2,24000,0xA40,0x39800,80768,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
44,0x82D,1,0xF82C,0xFC7F,0x7C16000,2267136,2,24000,0xE60,0x15800,82522,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
45,0x82E,1,0xFC7F,0xFFE2,0x7E3F800,1775616,2,24000,0x920,0x4A800,64651,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
46,0x82F,1,0xFFE2,0x10405,0x7FF1000,2168832,2,24000,0xE10,0x6C800,78941,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
47,0x830,1,0x10405,0x10818,0x8202800,2136064,2,24000,0xE70,0x6E800,77743,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
48,0x831,1,0x10818,0x10BB7,0x840C000,1898496,2,24000,0x830,0x39800,69140,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
49,0x832,1,0x10BB7,0x10F66,0x85DB800,1931264,2,24000,0xC10,0x38800,70298,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
50,0x833,1,0x10F66,0x11A2F,0x87B3000,5654528,2,24000,0x820,0x54800,206079,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
51,0x834,1,0x11A2F,0x12102,0x8D17800,3577856,2,24000,0xF20,0x16800,130302,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
52,0x835,1,0x12102,0x12639,0x9081000,2734080,2,24000,0x910,0x40800,99595,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
53,0x836,1,0x12639,0x12A50,0x931C800,2144256,2,24000,0xE70,0x46800,78041,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
54,0x837,1,0x12A50,0x12B61,0x9528000,559104,2,24000,0x960,0x23800,20296,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
55,0x38,0,0x12B61,0x12BCE,0x95B0800,223232,2,24000,0x800,0x800,8064,2,0x2BC;0x2BD,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
56,0x39,0,0x12BCE,0x12C37,0x95E7000,215040,2,24000,0x800,0x800,7765,2,0x2BE;0x2BF,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
57,0x83A,1,0x12C37,0x130E2,0x961B800,2447360,2,24000,0xBB0,0x22800,89118,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
58,0x83B,1,0x130E2,0x134C5,0x9871000,2037760,2,24000,0x8D0,0x31800,74211,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
59,0x83C,1,0x134C5,0x13BAE,0x9A62800,3622912,2,24000,0xA30,0x54800,131990,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
60,0x83D,1,0x13BAE,0x140F5,0x9DD7000,2766848,2,24000,0xFB0,0x8A800,100728,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
61,0x83E,1,0x140F5,0x1463C,0xA07A800,2766848,2,24000,0xFA0,0x8A800,100729,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
62,0x83F,1,0x1463C,0x14BB1,0xA31E000,2861056,2,24000,0xFE0,0x1F1800,104161,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
63,0x840,1,0x14BB1,0x153B8,0xA5D8800,4208640,2,24000,0x920,0x3E800,153355,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
64,0x841,1,0x153B8,0x1592D,0xA9DC000,2861056,2,24000,0xFE0,0x1F1800,104161,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
65,0x842,1,0x1592D,0x163C6,0xAC96800,5556224,2,24000,0x910,0x7D800,202486,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
66,0x843,1,0x163C6,0x16A2B,0xB1E3000,3352576,2,24000,0xE10,0x11A800,122098,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
67,0x844,1,0x16A2B,0x17002,0xB515800,3061760,2,24000,0x830,0x9800,111550,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
68,0x845,1,0x17002,0x1763B,0xB801000,3262464,2,24000,0xF70,0x7C800,118800,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
69,0x846,1,0x1763B,0x17C10,0xBB1D800,3057664,2,24000,0xB20,0x13800,111374,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
70,0x847,1,0x17C10,0x182D7,0xBE08000,3553280,2,24000,0xFA0,0x82800,129401,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
71,0x848,1,0x182D7,0x188D8,0xC16B800,3147776,2,24000,0xE00,0xCD800,114632,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
72,0x849,1,0x188D8,0x18E21,0xC46C000,2770944,2,24000,0xB80,0xAD800,100917,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
73,0x84A,1,0x18E21,0x193CC,0xC710800,2971648,2,24000,0xE80,0x192800,108206,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
74,0x84B,1,0x193CC,0x19BB1,0xC9E6000,4139008,2,24000,0xF60,0x185800,150758,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
75,0x84C,1,0x19BB1,0x19EBE,0xCDD8800,1599488,2,24000,0xB60,0xCE800,58208,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
76,0x84D,1,0x19EBE,0x1A235,0xCF5F000,1816576,2,24000,0xE90,0xE8800,66093,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
77,0x84E,1,0x1A235,0x1A5C6,0xD11A800,1869824,2,24000,0xDE0,0xF7800,68041,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
78,0x4F,0,0x1A5C6,0x1A931,0xD2E3000,1792000,2,24000,0x800,0x800,65259,2,0x39C;0x39D,rendered_event_candidate,STRONG,stereo GR3_STR stream referenced by GR3.IDX; runtime event caller not yet verified
79,0x850,1,0x1A931,0x1B3DA,0xD498800,5588992,2,24000,0xD00,0x12800,203644,0,,unreferenced_stereo_stream,TENTATIVE,not referenced by GR3.IDX; may be music or a separately addressed stream
