event_id,stream_key,segment_index,start_seconds,end_seconds,speaker,japanese_base,japanese_small,japanese_reviewed,japanese_status,korean_reviewed,korean_status,context_note,evidence,review_notes,source_batch
gr3_stream_0056,0x56,0,16.000,20.000,ユウキ,ヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイ�,おい!どういうつもりだよ! | 翼を切っちゃなんてよ!,おい！ どういうつもりだよ！ 翼を切っちゃうなんてよ！,NEEDS_AUDIO_REVIEW,야! 무슨 생각이야! 날개를 잘라 버리다니!,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,,p1_early.csv
gr3_stream_0056,0x56,1,20.000,25.000,ロッツ,ヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイ�,これで機体が軽くなったろ! | はぁ!? | 1キロは伸びるぜ! | 高速距離!,これで機体が軽くなったろ！ 一キロは伸びるぜ、航続距離！,NEEDS_AUDIO_REVIEW,이제 기체가 가벼워졌잖아! 항속 거리가 1킬로미터는 늘 거야!,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,一キロ/航続距離は要音声確認,p1_early.csv
gr3_stream_0056,0x56,2,26.000,36.000,ユウキ,ヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイヘイ� | このモテのか?プロペラの角度だって期待の中量だってもちろん翼の長さだってちゃんと計算して!逃さ!,お前なぁ… | 俺が適当に設計したと思ってんのか? | プロペラの角度だって | 機体の重量だって | もちろん翼の長さだって | ちゃんと計算して!,お前なぁ……オレが適当に設計したと思ってんのか？ プロペラの角度だって、機体の重量だって、もちろん翼の長さだってちゃんと計算して――,NEEDS_AUDIO_REVIEW,"너 말이야… 내가 대충 설계한 줄 알아? 프로펠러 각도도, 기체 무게도, 물론 날개 길이도 제대로 계산해서――",DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,,p1_early.csv
gr3_stream_0056,0x56,3,37.000,38.000,ユウキ,このモテのか?プロペラの角度だって期待の中量だってもちろん翼の長さだってちゃんと計算して!逃さ!,倒ぶさ!,飛ぶさ！,NEEDS_AUDIO_REVIEW,날 거라고!,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,small誤認『倒ぶさ』,p1_early.csv
gr3_stream_0056,0x56,4,39.000,50.000,ロッツ,え?俺だって考えなしにこんなことしたわけじゃない? | 飛んでる間に感じたんだ!この期待はもっと軽くできるって!,え? | 俺だって | 考えなしにこんなことしたわけじゃない | わけじゃない 飛んでる間に感じたんだ | この機体はもっと軽くできるって だからって,え？ オレだって考えなしにこんなことしたわけじゃない。飛んでる間に感じたんだ。この機体はもっと軽くできるって。,NEEDS_AUDIO_REVIEW,뭐? 나도 아무 생각 없이 이런 짓을 한 건 아니야. 날아 보면서 느꼈어. 이 기체는 더 가볍게 만들 수 있다고.,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,,p1_early.csv
gr3_stream_0056,0x56,5,50.000,53.000,ユウキ,だからって…,この機体はもっと軽くできるって だからって,だからって……,NEEDS_AUDIO_REVIEW,그렇다고 해도……,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,,p1_early.csv
gr3_stream_0056,0x56,6,56.000,61.700,ロッツ,なぁ、ゆっけい!本当にこいつでできると思うか? | どうしたんだ?急に?,なあユーケー 本当にこいつでできると思うか | どうしたんだ急に 飛行機であの海ごいをなし遂げたのは,なあ、ユウキ。本当にこいつでできると思うか？,NEEDS_AUDIO_REVIEW,"유키, 정말 이 녀석으로 해낼 수 있을 것 같아?",DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,,p1_early.csv
gr3_stream_0056,0x56,7,61.700,63.500,ユウキ,どうしたんだ?急に? | 飛行機であのおみごいをなしとげたのは、俺の知る限りたった一人だけだ。,どうしたんだ急に 飛行機であの海ごいをなし遂げたのは,どうしたんだ、急に？,NEEDS_AUDIO_REVIEW,갑자기 왜 그래?,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,,p1_early.csv
gr3_stream_0056,0x56,8,63.500,71.800,ロッツ,飛行機であのおみごいをなしとげたのは、俺の知る限りたった一人だけだ。 | 飛行を…趣味とか?,どうしたんだ急に 飛行機であの海ごいをなし遂げたのは | 俺の知る限り たった一人だけだ,飛行機であの海越えを成し遂げたのは、オレの知る限りたった一人だけだ。,NEEDS_AUDIO_REVIEW,비행기로 그 바다를 건넌 사람은 내가 알기로 단 한 명뿐이야.,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,海越えはcross-model推定,p1_early.csv
gr3_stream_0056,0x56,9,71.800,76.000,ユウキ,飛行を…趣味とか?,飛行…シュミットか?,飛行王……シュミットか？,NEEDS_AUDIO_REVIEW,비행왕… 슈미트 말이야?,DRAFT_CONTEXT_REVIEWED,유키와 롯츠의 19호기 개조 및 슈미트의 뒤를 잇겠다는 결의,whisper_base+whisper_small_independent; scenario_standard=NO_EXACT_MATCH; public_english_script=CONTEXT_ONLY,,p1_early.csv
