id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
BATTLE_CHATTER_0001,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,0,0x21EF0,0x21B00,DF BC 57 20 66 75 74 8A 64 F1 9D 23 1F 00 16 00 03 00 80 46 F0 60 A1 1F 00 AF E4 EA BD ED 6A 78 62 9E 23,"マズい　こっちへ来る！
<NAME:0003>の動きを
キャンセルしてくれ！","큰일이야, 이쪽으로 온다!
<NAME:0003>의 행동을
캔슬해 줘!",45 F7 92 6B 4F 3D F6 20 6B EF F6 82 79 20 EC F4 72 23 1F 00 16 00 03 00 75 20 A5 E7 F7 A1 1F 00 5B F5 D8 F7 74 20 27 F5 23,,"[""LINE_BREAK"", ""<NAME:0003>"", ""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0002,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,1,0x21FF6,0x21B04,16 00 03 00 7D 1F 00 DE F0 A0 9E 78 9D 23 1F 00 E5 C5 80 46 F0 60 A1 23 F1 93 78 62 9E 23,"<NAME:0003>に
狙われてる！
ヤツの動きを止めてくれ！","<NAME:0003>에게
노려지고 있어!
녀석을 멈춰 줘!",16 00 03 00 7D 68 1F 00 68 F7 AB 6F 43 20 5E 69 23 1F 00 DE E2 A1 20 E4 F8 E8 F2 20 27 F5 23,,"[""<NAME:0003>"", ""LINE_BREAK"", ""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0003,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,2,0x220F0,0x21B08,16 00 03 00 80 36 F0 37 F0 81 1F 00 AC EE 5F 67 F0 60 97 F1 64 9D 23 1F 00 70 80 AA F2 7D 72 72 57 78 62 9E 23,"<NAME:0003>の攻撃は
オレが引き受ける！
その間にたたいてくれ！","<NAME:0003>의 공격은
내가 맡을게!
그동안 공격해 줘!",16 00 03 00 75 20 D8 F5 B3 F4 5D 1F 00 99 4A 20 CC F8 A1 68 23 1F 00 63 E7 F7 9B 20 D8 F5 B3 F4 74 20 27 F5 23,,"[""<NAME:0003>"", ""LINE_BREAK"", ""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0004,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,3,0x21F15,0x21B0C,5D 29 F3 57 20 66 75 74 8A 64 F1 7C 57 79 23 1F 00 73 9E 5E 20 16 00 03 00 A1 1F 00 AF E4 EA BD ED 6A 78 23,"お願い　こっちへ来ないで！
だれか　<NAME:0003>を
キャンセルして！","제발, 이쪽으로 오지 마!
누가 <NAME:0003>을
캔슬해 줘!",AA 6C F9 3D F6 20 6B EF F6 82 79 20 90 6F 20 5C 23 1F 00 87 F7 4A 20 16 00 03 00 A1 1F 00 5B F5 D8 F7 74 20 27 F5 23,,"[""LINE_BREAK"", ""<NAME:0003>"", ""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0005,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,4,0x22016,0x21B10,67 93 A2 7C 68 57 20 16 00 01 00 23 1F 00 16 00 03 00 80 1F 00 46 F0 60 A1 23 F1 93 78 75 23,"ごめんなさい　<NAME:0001>！
<NAME:0003>の
動きを止めてっ！","미안해, <NAME:0001>!
<NAME:0003>의
행동을 멈춰 줘!",9C 9B 74 3D F6 20 16 00 01 00 23 1F 00 16 00 03 00 75 1F 00 A5 E7 F7 A1 20 E4 F8 E8 F2 20 27 F5 23,,"[""<NAME:0001>"", ""LINE_BREAK"", ""<NAME:0003>"", ""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0006,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,5,0x22117,0x21B14,5B 75 24 20 5B 75 24 1F 00 A0 72 6A 5F DE F0 A0 9E 78 9D 80 22,"えっ？　えっ？
わたしが狙われてるの？","뭐? 뭐라고?
내가 표적이 된 거야?",A2 24 20 A2 66 43 24 1F 00 99 4A 20 21 F7 41 F0 6B 20 EE F7 20 6E 4F 24,,"[""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0007,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,6,0x21F3B,0x21B18,96 54 7F 20 16 00 03 00 5F 1F 00 66 75 74 81 F0 78 9D 91 72 57 26 26 1F 00 75 78 A0 64 79 AF E4 EA BD ED 9A 9F 6A 62,"やぁね　<NAME:0003>が
こっち見てるみたい……
ってわけでキャンセルよろしく","싫다, <NAME:0003>이
이쪽을 보는 것 같아...
캔슬은 부탁할게",57 F8 72 3D F6 20 16 00 03 00 6B 1F 00 6B EF F6 A1 20 89 73 20 53 20 B5 70 28 28 28 1F 00 5B F5 D8 F7 5D 20 A4 48 F8 AD 68,,"[""<NAME:0003>"", ""LINE_BREAK"", ""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0008,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,7,0x22037,0x21B1C,94 58 20 66 75 74 94 5D F0 2D F0 74 F5 7C 80 7D 23 1F 00 AF E4 EA BD ED 90 5E 6E 72 A0 9A 23 1F 00 16 00 01 00 23,"もぅ　こっちも手一杯なのに！
キャンセルまかせたわよ！
<NAME:0001>！","정말, 나도 벅찬데!
캔슬은 맡길게!
<NAME:0001>!",93 77 3D F6 20 50 4E 20 A7 F4 9F F7 96 23 1F 00 5B F5 D8 F7 5D 20 CC F8 9C F6 68 23 1F 00 16 00 01 00 23,,"[""LINE_BREAK"", ""LINE_BREAK"", ""<NAME:0001>""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0009,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,8,0x2212E,0x21B20,74 99 75 7A 74 99 75 7A 23 1F 00 5E A2 F1 57 55 72 6A A1 81 F0 56 F0 78 9D 9B F0 22 1F 00 16 00 01 00 23,"ちょっとちょっと！
か弱いあたしを見捨てる気？
<NAME:0001>！","잠깐만!
가녀린 날 버릴 셈이야?
<NAME:0001>!",5B F9 AE F6 55 23 1F 00 4A DE B6 F8 20 AF 20 B3 B7 F8 20 BA F6 6B 4F 24 1F 00 16 00 01 00 23,,"[""LINE_BREAK"", ""LINE_BREAK"", ""<NAME:0001>""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
BATTLE_CHATTER_0010,BATTLE_CHATTER,onscreen_tactical_chatter,SYS/GR3.MDZ,GR3.MDT,table@0x21B00,,9,0x21F64,0x21B24,59 5C 23 20 16 00 03 00 7D 1F 00 DE F0 A0 9E 78 96 5F 9D 1F 00 AF E4 EA BD ED 62 F2 92 6F 23,"うぉ！　<NAME:0003>に
狙われてやがる
キャンセル頼むぜ！","우왓! <NAME:0003>에게
노려지고 있잖아
캔슬 부탁해!",83 A8 F1 23 20 16 00 03 00 7D 68 1F 00 68 F7 AB 6F 43 20 5E B8 70 1F 00 5B F5 D8 F7 20 A4 48 F8 74 23,,"[""<NAME:0003>"", ""LINE_BREAK"", ""LINE_BREAK""]",TRANSLATED,NO,occurrences=1,PROVEN: 252-entry relative-offset table; inline NAME and line-break controls preserved.
