id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,opcode,command_argument,command_raw_hex,header_record_offset,text_record_offset,end_record_offset,record_offset,record_ordinal,chunk_index,glyph_count,unresolved_glyph_count,speaker_evidence_status,speaker_source
NPC_D1_00008000_R00740000_O82_0001,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_82,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,0,0x00049671,0x0004966c,23 f0 e4 23 f0 e4 43 21 9b 79 8a 98 9b 79 8a 98 08 4d f4 84 f2 a1 44 f4 7b 98 80 92 9f 44 08 9c 7e 9c 7e a0 52 f5 bc 5c f0 8c bd 9f c9 43 0d ff 00,"ヒッヒッ！<G0001>どうしてどうして
<G043D><G02D4>は考えてきたね？
なかなかの<G0512>り方するねェ！",,UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""82 0e 00 50 00"",""kind"":""MESSAGE_HEADER"",""opcode"":130,""argument"":80},{""offset"":16,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":30,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":46,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x82 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x82,0x0050,82 0e 00 50 00,0x0000046c,0x00000471,0x000004a2,0x00049200,0,8,37,4,SUPPORTED,face_child_alfina_04
NPC_D1_00008000_R00740000_O32_0001,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,0,0x000496b1,0x000496ac,d3 e4 21 4d f4 b9 f1 a1 b6 bb be 9f 7a 88 43 08 88 74 43 21 94 f2 b3 ba 79 8f 43 0d ff 00,"ケッ<G0001><G043D>度はやられね<G005A>さ！
さ<G0054>！<G0001><G02E4>めよう<G006F>！",,UNASSIGNED,ウル,"[{""offset"":-5,""raw_hex"":""32 0e 00 2b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":43},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":27,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x32,0x002b,32 0e 00 2b 00,0x000004ac,0x000004b1,0x000004cf,0x00049200,0,8,23,7,SUPPORTED,face_ull_02
NPC_D1_00008000_R00740000_O82_0002,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_82,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,1,0x000496de,0x000496d9,8b b5 21 77 82 ba e4 43 0d ff 00,じゃ<G0001>いくよッ！,,UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""82 0e 00 4f 00"",""kind"":""MESSAGE_HEADER"",""opcode"":130,""argument"":79},{""offset"":8,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x82 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x82,0x004f,82 0e 00 4f 00,0x000004d9,0x000004de,0x000004e9,0x00049200,0,8,8,1,SUPPORTED,face_child_alfina_03
NPC_D1_00008000_R00740000_O32_0002,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,1,0x00049709,0x00049704,26 f0 3a f0 21 77 77 88 f0 7f f1 93 8f 08 86 a0 c2 f2 59 f1 21 86 a0 c2 f2 59 f1 43 0d ff 00,"フン<G0001>いい出<G01FF>だ<G006F>
この調子<G0001>この調子！",,UNASSIGNED,アロンソ,"[{""offset"":-5,""raw_hex"":""32 0e 00 29 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":41},{""offset"":13,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":28,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x32,0x0029,32 0e 00 29 00,0x00000504,0x00000509,0x00000528,0x00049200,0,8,19,4,SUPPORTED,face_alonso_08
NPC_D1_00008000_R00740000_O32_0003,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,2,0x0004976b,0x00049766,b0 74 21 a1 f0 98 bf 08 cd 47 ea a0 ca f5 a5 86 90 7f 54 f1 56 f1 3d f6 43 08 c4 3e f0 3a f0 da e2 c6 db a0 cf 33 f0 9c c2 93 08 88 74 21 84 f1 77 43 0d ff 00,"ま<G0054><G0001>見てろ
カードの<G058A>びこそが<G01D4>重<G05CD>！
アレンジダイスのキモなんだ
さ<G0054><G0001>来い！",,UNASSIGNED,アロンソ,"[{""offset"":-5,""raw_hex"":""32 0e 00 27 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":39},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":25,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":42,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":50,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x32,0x0027,32 0e 00 27 00,0x00000566,0x0000056b,0x000005a0,0x00049200,0,8,38,7,SUPPORTED,face_alonso_06
NPC_D1_00008000_R00740000_O32_0004,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,3,0x000497c0,0x000497bb,ba 79 8a 21 77 77 91 77 77 91 43 08 ef e4 98 80 92 8f 43 0d ff 00,"ようし<G0001>いい<G0071>いい<G0071>！
ノッてきた<G006F>！",,UNASSIGNED,アロンソ,"[{""offset"":-5,""raw_hex"":""32 0e 00 28 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":40},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":19,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x32,0x0028,32 0e 00 28 00,0x000005bb,0x000005c0,0x000005d6,0x00049200,0,8,18,4,SUPPORTED,face_alonso_07
NPC_D1_00008000_R00740000_O82_0003,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_82,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,2,0x000497e5,0x000497e0,26 f0 3a f0 21 55 e5 f5 57 f1 9f bb 77 7e 77 08 b0 93 b0 93 d0 f2 d4 f4 9d a1 35 f2 77 9f c9 0d ff 00,"フン<G0001><G0035>枚<G01D7>ねらいかい
まだまだ<G0320>成には遠いねェ",,UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""82 0e 00 4f 00"",""kind"":""MESSAGE_HEADER"",""opcode"":130,""argument"":79},{""offset"":15,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":31,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x82 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x82,0x004f,82 0e 00 4f 00,0x000005e0,0x000005e5,0x00000607,0x00049200,0,8,23,4,SUPPORTED,face_child_alfina_03
NPC_D1_00008000_R00740000_O32_0005,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,4,0x00049843,0x0004983e,86 86 7e bb 93 21 7d b4 8a bf 77 a0 a1 43 08 88 74 21 41 f3 be ba 21 24 f0 c4 3a f0 cd 43 0d ff 00,"ここからだ<G0001>おもしろいのは！
さ<G0054><G0001>振れよ<G0001>ビアンカ！",,UNASSIGNED,ウル,"[{""offset"":-5,""raw_hex"":""32 0e 00 2b 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":43},{""offset"":14,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":30,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x32,0x002b,32 0e 00 2b 00,0x0000063e,0x00000643,0x00000664,0x00049200,0,8,26,4,SUPPORTED,face_ull_02
NPC_D1_00008000_R00740000_O32_0006,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,5,0x00049884,0x0004987f,e3 e4 21 88 95 88 9a 08 57 f1 c1 20 f4 b3 94 b0 95 98 82 be ba 08 7b 7a 21 24 f0 c4 3a f0 cd 44 0d ff 00,"チッ<G0001>さっさと
<G01D7>を<G0410>めちまってくれよ
え<G005A><G0001>ビアンカ？",,UNASSIGNED,ウル,"[{""offset"":-5,""raw_hex"":""32 0e 00 2a 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":42},{""offset"":7,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":21,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":32,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x32,0x002a,32 0e 00 2a 00,0x0000067f,0x00000684,0x000006a7,0x00049200,0,8,26,5,SUPPORTED,face_ull_01
NPC_D1_00008000_R00740000_O82_0004,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_82,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,3,0x000498b6,0x000498b1,75 bb 75 bb 21 de f1 bb f0 a1 33 f5 bb f0 93 ba 08 3e f4 6a f3 a0 aa f4 23 f2 88 b0 7f 41 f1 85 94 b0 79 08 75 8e bb 9c 77 86 95 92 ba 08 7b 7a 21 c4 3f f0 3a f0 df 44 0d ff 00,"あらあら<G0001>短気は<G04F3>気だよ
幸運の女神さまが逃げちまう
あせらないこったよ
え<G005A><G0001>アロンソ？",,UNASSIGNED,アルフィナ,"[{""offset"":-5,""raw_hex"":""82 0e 00 50 00"",""kind"":""MESSAGE_HEADER"",""opcode"":130,""argument"":80},{""offset"":16,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":35,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":45,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":56,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x82 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x82,0x0050,82 0e 00 50 00,0x000006b1,0x000006b6,0x000006f1,0x00049200,0,8,42,4,SUPPORTED,face_child_alfina_04
NPC_D1_00008000_R00740000_O32_0007,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,6,0x00049900,0x000498fb,9c 9d 77 95 98 b6 7f bd 08 d3 e5 9d e6 f0 7f 96 77 98 bd a0 a1 08 7d b0 7b a0 5c f0 93 43 08 88 95 88 9a 41 f3 be ba 43 0d ff 00,"なにいってやがる
ケツに火がついてるのは
おまえの方だ！
さっさと振れよ！",,UNASSIGNED,ウル,"[{""offset"":-5,""raw_hex"":""32 0e 00 2c 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":44},{""offset"":8,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":21,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":30,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":40,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table.,0x32,0x002c,32 0e 00 2c 00,0x000006fb,0x00000700,0x0000072b,0x00049200,0,8,34,0,SUPPORTED,face_ull_03
NPC_D1_00008000_R00740000_O32_0008,NPC_DIALOGUE,NPC_DIALOGUE_OPCODE_32,DATA/00008000.MDZ,DATA/00008000.MDT,0x00740000,00008000,7,0x0004994b,0x00049946,ba 8a 21 75 9a a1 57 93 84 93 43 08 57 7f 88 f0 92 bb 54 50 50 e2 f1 93 91 43 08 6f f0 37 f4 8a bf ba 21 24 f0 c4 3a f0 cd 43 0d ff 00,"よし<G0001>あとは<G0037>だけだ！
<G0037>が出たら<G0034>00<G0262>だ<G0071>！
覚<G0427>しろよ<G0001>ビアンカ！",,UNASSIGNED,アロンソ,"[{""offset"":-5,""raw_hex"":""32 0e 00 28 00"",""kind"":""MESSAGE_HEADER"",""opcode"":50,""argument"":40},{""offset"":11,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":26,""raw_hex"":""08"",""kind"":""LINE_BREAK""},{""offset"":42,""raw_hex"":""0d ff 00"",""kind"":""MESSAGE_END""}]",UNTRANSLATED,NO,,SUPPORTED dialogue-family candidate: 0x32 0E 00 <argument> + text + 0D FF 00; command is exported separately from the existing 0x02/0x22 scenario table. JP glyph recovery remains incomplete for this row.,0x32,0x0028,32 0e 00 28 00,0x00000746,0x0000074b,0x00000778,0x00049200,0,8,34,8,SUPPORTED,face_alonso_07
