id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
ENEMY_0002_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,1,,1,0x1A3120,,D5 B5 52 F9,ピコΑ,피코Α,C9 6E F6 C5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3000; record_size=0x379
ENEMY_0003_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,2,,2,0x1A34B0,,D5 B5 52 F9,ピコΑ,피코Α,C9 6E F6 C5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3380; record_size=0x2D7
ENEMY_0004_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,3,,3,0x1A37A0,,D5 B5 52 F9,ピコΑ,피코Α,C9 6E F6 C5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3680; record_size=0x40A
ENEMY_0005_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,4,,4,0x1A3BB0,,D5 B5 52 F9,ピコΑ,피코Α,C9 6E F6 C5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3B00; record_size=0x3BA
ENEMY_0006_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,5,,5,0x1A3FF0,,D5 B5 53 F9,ピコΓ,피코Γ,C9 6E F6 C8 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A3F00; record_size=0x561
ENEMY_0007_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,6,,6,0x1A4570,,D5 B5 53 F9,ピコΓ,피코Γ,C9 6E F6 C8 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A4480; record_size=0x470
ENEMY_0008_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,7,,7,0x1A4A10,,D5 B5 54 F9,ピコΩ,피코Ω,C9 6E F6 D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A4900; record_size=0x3AD
ENEMY_0009_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,8,,8,0x1A4DE0,,BE D8 C9 ED 55 F9,ゼプトルΦ,제프톨Φ,AA 6E F7 CF F5 D3 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A4D00; record_size=0x462
ENEMY_0010_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,9,,9,0x1A5280,,BE D8 C9 ED 54 F9,ゼプトルΩ,제프톨Ω,AA 6E F7 CF F5 D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A5180; record_size=0x462
ENEMY_0011_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,10,,10,0x1A5700,,BE D8 C9 ED 54 F9,ゼプトルΩ,제프톨Ω,AA 6E F7 CF F5 D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A5600; record_size=0x38E
ENEMY_0012_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,11,,11,0x1A5AC0,,A4 C9 EA 56 F9,アトンΒ,아톤Β,70 D7 F1 C6 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A5A00; record_size=0x325
ENEMY_0013_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,12,,12,0x1A5E60,,A4 C9 EA 56 F9,アトンΒ,아톤Β,70 D7 F1 C6 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A5D80; record_size=0x4F6
ENEMY_0014_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,13,,13,0x1A6380,,A4 C9 EA 57 F9,アトンΛ,아톤Λ,70 D7 F1 CD F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A6280; record_size=0x468
ENEMY_0015_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,14,,14,0x1A6800,,A4 C9 EA 38 F9,アトンΔ,아톤Δ,70 D7 F1 C9 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A6700; record_size=0x5C5
ENEMY_0016_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,15,,15,0x1A6DC0,,A4 C9 EA 38 F9,アトンΔ,아톤Δ,70 D7 F1 C9 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A6D00; record_size=0x590
ENEMY_0017_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,16,,16,0x1A73A0,,A4 C9 EA 54 F9,アトンΩ,아톤Ω,70 D7 F1 D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A7300; record_size=0x590
ENEMY_0018_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,17,,17,0x1A79A0,,A4 C9 EA 54 F9,アトンΩ,아톤Ω,70 D7 F1 D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A7900; record_size=0x24A
ENEMY_0019_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,18,,18,0x1A7CA0,,B0 AE BB 58 F9,ギガスΘ,기가스Θ,6D 4A BC CB F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A7B80; record_size=0x2E7
ENEMY_0020_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,19,,19,0x1A7FB0,,B0 AE BB 58 F9,ギガスΘ,기가스Θ,6D 4A BC CB F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A7E80; record_size=0x332
ENEMY_0021_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,20,,20,0x1A82F0,,B0 AE BB 59 F9,ギガスΠ,기가스Π,6D 4A BC D1 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A8200; record_size=0x397
ENEMY_0022_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,21,,21,0x1A86D0,,B0 AE BB 54 F9,ギガスΩ,기가스Ω,6D 4A BC D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A8600; record_size=0x397
ENEMY_0023_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,22,,22,0x1A8AD0,,B0 AE BB 54 F9,ギガスΩ,기가스Ω,6D 4A BC D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A8A00; record_size=0x19F
ENEMY_0024_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,23,,23,0x1A8D00,,C7 A5 EB 27 5A F9,ティラーΞ,틸러Ξ,39 F6 A6 CF F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A8C00; record_size=0x19F
ENEMY_0025_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,24,,24,0x1A8F00,,C7 A5 EB 27 54 F9,ティラーΩ,틸러Ω,39 F6 A6 D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A8E00; record_size=0x480
ENEMY_0026_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,25,,25,0x1A93A0,,AA B1 B7 A6 BB 5B F9,エクサイスΣ,엑사이스Σ,CE F2 7E 6B BC D2 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A9280; record_size=0x616
ENEMY_0027_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,26,,26,0x1A9990,,AA B1 B7 A6 BB 5B F9,エクサイスΣ,엑사이스Σ,CE F2 7E 6B BC D2 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A9900; record_size=0x5CA
ENEMY_0028_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,27,,27,0x1A9FC0,,AA B1 B7 A6 BB 54 F9,エクサイスΩ,엑사이스Ω,CE F2 7E 6B BC D5 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1A9F00; record_size=0x650
ENEMY_0029_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,28,,28,0x1AA650,,AA B1 B7 A6 BB 5C F9,エクサイスΨ,엑사이스Ψ,CE F2 7E 6B BC D4 F0,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1AA580; record_size=0x371
ENEMY_0030_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,29,,29,0x1AAA30,,CA A7 A4 E1 C7 D6,ドゥアムテフ,두아무테프,8A 70 97 D8 6E F7,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1AA900; record_size=0x3EB
ENEMY_0031_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,30,,30,0x1AAE10,,EB BB C9 AE 27 C8 A5 A4 EA,ラストガーディアン,라스트 가디언,66 BC D2 20 4A D7 8A F9,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1AAD00; record_size=0x1BF
ENEMY_0032_NAME,ENEMY,enemy_name,SYS/GR3.MDZ,GR3.MDT,31,,31,0x1AB020,,AE 27 C8 A5 A4 EA,ガーディアン,가디언,4A D7 8A F9,,[],TRANSLATED,NO,GR3 enemy record local text pool의 첫 문자열.,first_action=通常攻撃; record_offset=0x1AAF00; record_size=0x4FD
