id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note
EQUIP_SLOT_0001,EQUIPMENT,slot,FIELD.BIN,,field-ui-000ce848,,0,0x000CE848,,95 90 8A ED 00,武器,무기,82 E3 82 B8,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
EQUIP_SLOT_0002,EQUIPMENT,slot,FIELD.BIN,,field-ui-000ce850,,1,0x000CE850,,96 68 8B EF 00,防具,방어구,91 69 82 B4 82 E9,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
EQUIP_SLOT_0003,EQUIPMENT,slot,FIELD.BIN,,field-ui-000ce858,,2,0x000CE858,,8C 43 00,靴,신발,83 4D 8F 98,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
EQUIP_SLOT_0004,EQUIPMENT,slot,FIELD.BIN,,field-ui-000ce860,,3,0x000CE860,,83 41 83 4E 83 5A 83 54 83 8A 81 5B 00,アクセサリー,액세서리,E7 F3 83 64 82 B7 82 B5,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=16; max_encoded_bytes=15; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
EQUIP_SLOT_0005,EQUIPMENT,slot,FIELD.BIN,,field-ui-000ce870,,4,0x000CE870,,83 7D 83 69 83 47 83 62 83 4F 00,マナエッグ,마나　에그,82 A7 82 76 81 40 82 C9 82 AE,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=16; max_encoded_bytes=15; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
EQUIP_SLOT_0006,EQUIPMENT,slot,FIELD.BIN,,field-ui-000ce880,,5,0x000CE880,,83 58 83 4C 83 8B 83 75 83 62 83 4E 00,スキルブック,스킬북,83 59 8A 6B 97 8A,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=16; max_encoded_bytes=15; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
STATUS_PARAM_0001,STATUS,parameter,FIELD.BIN,,field-ui-000ce890,,6,0x000CE890,,8D 55 8C 82 00,攻撃,공격,96 F3 90 AA,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.; result-screen-field-confirmed-20260827
STATUS_PARAM_0002,STATUS,parameter,FIELD.BIN,,field-ui-000ce898,,7,0x000CE898,,96 82 97 CD 00,魔力,마력,82 A7 89 C0,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.; result-screen-field-confirmed-20260827
STATUS_PARAM_0003,STATUS,parameter,FIELD.BIN,,field-ui-000ce8a0,,8,0x000CE8A0,,96 68 8C E4 00,防御,방어,91 69 82 B4,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.; result-screen-field-confirmed-20260827
STATUS_PARAM_0004,STATUS,parameter,FIELD.BIN,,field-ui-000ce8a8,,9,0x000CE8A8,,92 EF 8D 52 00,抵抗,저항,82 C7 8C 6A,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.; result-screen-field-confirmed-20260827
STATUS_PARAM_0005,STATUS,parameter,FIELD.BIN,,field-ui-000ce8b0,,10,0x000CE8B0,,8D 73 93 AE 00,行動,행동력,83 42 8D 69 89 C0,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
STATUS_PARAM_0006,STATUS,parameter,FIELD.BIN,,field-ui-000ce8b8,,11,0x000CE8B8,,88 DA 93 AE 00,移動,이동력,82 B6 8D 69 89 C0,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
STATUS_PARAM_0007,STATUS,parameter,FIELD.BIN,,field-ui-000ce8c0,,12,0x000CE8C0,,89 CE 00,火,불,90 6B,,[],TRANSLATED,NO,population=field-ui-v1; draft=field-ui-ko-v1; status-session fixed UI subset; dynamic item names/descriptions excluded; slot_size=8; max_encoded_bytes=7; line_breaks=0,Source and Korean text are adopted from the approved field-ui-v1 draft. This is a session handoff only: Korean encoding remains UNASSIGNED until the CENTRAL session assigns code/glyph mappings. The broad SYSTEM export contains the same FIELD.BIN population as a baseline; central merge must assign ownership to this STATUS/EQUIPMENT subset.
