face_index,face_index_hex,face_resource_name,speaker_key,speaker_jp,face_mdt_offset,status
0,0x00,face_yuuki_01,yuuki,ユウキ,0x00000280,SUPPORTED
1,0x01,face_yuuki_02,yuuki,ユウキ,0x00001780,SUPPORTED
2,0x02,face_yuuki_03,yuuki,ユウキ,0x00002C80,SUPPORTED
3,0x03,face_yuuki_04,yuuki,ユウキ,0x00004180,SUPPORTED
4,0x04,face_yuuki_05,yuuki,ユウキ,0x00005680,SUPPORTED
5,0x05,face_yuuki_06,yuuki,ユウキ,0x00006B80,SUPPORTED
6,0x06,face_yuuki_07,yuuki,ユウキ,0x00008080,SUPPORTED
7,0x07,face_yuuki_08,yuuki,ユウキ,0x00009580,SUPPORTED
8,0x08,face_yuuki_09,yuuki,ユウキ,0x0000AA80,SUPPORTED
9,0x09,face_yuuki_10,yuuki,ユウキ,0x0000BF80,SUPPORTED
10,0x0A,face_yuuki_11,yuuki,ユウキ,0x0000D480,SUPPORTED
11,0x0B,face_yuuki_12,yuuki,ユウキ,0x0000E980,SUPPORTED
12,0x0C,face_alfina_01,alfina,アルフィナ,0x0000FE80,SUPPORTED
13,0x0D,face_alfina_02,alfina,アルフィナ,0x00011380,SUPPORTED
14,0x0E,face_alfina_03,alfina,アルフィナ,0x00012880,SUPPORTED
15,0x0F,face_alfina_04,alfina,アルフィナ,0x00013D80,SUPPORTED
16,0x10,face_alfina_05,alfina,アルフィナ,0x00015280,SUPPORTED
17,0x11,face_alfina_06,alfina,アルフィナ,0x00016780,SUPPORTED
18,0x12,face_alfina_07,alfina,アルフィナ,0x00017C80,SUPPORTED
19,0x13,face_alfina_08,alfina,アルフィナ,0x00019180,SUPPORTED
20,0x14,face_alfina_09,alfina,アルフィナ,0x0001A680,SUPPORTED
21,0x15,face_alfina_10,alfina,アルフィナ,0x0001BB80,SUPPORTED
22,0x16,face_alfina_11,alfina,アルフィナ,0x0001D080,SUPPORTED
23,0x17,face_alfina_12,alfina,アルフィナ,0x0001E580,SUPPORTED
24,0x18,face_alfina_13,alfina,アルフィナ,0x0001FA80,SUPPORTED
25,0x19,face_alfina_14,alfina,アルフィナ,0x00020F80,SUPPORTED
26,0x1A,face_miranda_01,miranda,ミランダ,0x00022480,SUPPORTED
27,0x1B,face_miranda_02,miranda,ミランダ,0x00023980,SUPPORTED
28,0x1C,face_miranda_03,miranda,ミランダ,0x00024E80,SUPPORTED
29,0x1D,face_miranda_04,miranda,ミランダ,0x00026380,SUPPORTED
30,0x1E,face_miranda_05,miranda,ミランダ,0x00027880,SUPPORTED
31,0x1F,face_miranda_06,miranda,ミランダ,0x00028D80,SUPPORTED
32,0x20,face_miranda_07,miranda,ミランダ,0x0002A280,SUPPORTED
33,0x21,face_miranda_08,miranda,ミランダ,0x0002B780,SUPPORTED
34,0x22,face_alonso_01,alonso,アロンソ,0x0002CC80,SUPPORTED
35,0x23,face_alonso_02,alonso,アロンソ,0x0002E180,SUPPORTED
36,0x24,face_alonso_03,alonso,アロンソ,0x0002F680,SUPPORTED
37,0x25,face_alonso_04,alonso,アロンソ,0x00030B80,SUPPORTED
38,0x26,face_alonso_05,alonso,アロンソ,0x00032080,SUPPORTED
39,0x27,face_alonso_06,alonso,アロンソ,0x00033580,SUPPORTED
40,0x28,face_alonso_07,alonso,アロンソ,0x00034A80,SUPPORTED
41,0x29,face_alonso_08,alonso,アロンソ,0x00035F80,SUPPORTED
42,0x2A,face_ull_01,ull,ウル,0x00037480,SUPPORTED
43,0x2B,face_ull_02,ull,ウル,0x00038980,SUPPORTED
44,0x2C,face_ull_03,ull,ウル,0x00039E80,SUPPORTED
45,0x2D,face_ull_04,ull,ウル,0x0003B380,SUPPORTED
46,0x2E,face_ull_05,ull,ウル,0x0003C880,SUPPORTED
47,0x2F,face_ull_06,ull,ウル,0x0003DD80,SUPPORTED
48,0x30,face_ull_07,ull,ウル,0x0003F280,SUPPORTED
49,0x31,face_ull_08,ull,ウル,0x00040780,SUPPORTED
50,0x32,face_ull_09,ull,ウル,0x00041C80,SUPPORTED
51,0x33,face_ull_10,ull,ウル,0x00043180,SUPPORTED
52,0x34,face_ull_11,ull,ウル,0x00044680,SUPPORTED
53,0x35,face_dahna_01,dahna,ダーナ,0x00045B80,SUPPORTED
54,0x36,face_dahna_02,dahna,ダーナ,0x00047080,SUPPORTED
55,0x37,face_dahna_03,dahna,ダーナ,0x00048580,SUPPORTED
56,0x38,face_dahna_04,dahna,ダーナ,0x00049A80,SUPPORTED
57,0x39,face_dahna_05,dahna,ダーナ,0x0004AF80,SUPPORTED
58,0x3A,face_dahna_06,dahna,ダーナ,0x0004C480,SUPPORTED
59,0x3B,face_dahna_07,dahna,ダーナ,0x0004D980,SUPPORTED
60,0x3C,face_dahna_08,dahna,ダーナ,0x0004EE80,SUPPORTED
