resource_path,decoded_mdt_path,decoded_size,chunk_index,chunk_tag,chunk_offset,chunk_size,instance_count,zero_run_offset,zero_run_chunk_relative,zero_run_bytes,fits_current_alfina_compressed_package,evidence,safety_status
DATA/00008000.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00008000.MDT,798720,14,0xA0001340,0xA8B00,40960,6,0xAFAE0,0x6FE0,12320,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00008000.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00008000.MDT,798720,15,0xA0001341,0xB2B00,63104,10,0xC08F0,0xDDF0,6288,0,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030000.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030000.MDT,9505024,54,0xA0001340,0x901380,28416,4,0x905240,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030100.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030100.MDT,2971008,50,0xA0001340,0x2C7A80,28416,4,0x2CB940,0x3EC0,12352,1,RUNTIME_PROVEN,RUNTIME_PASS
DATA/00030200.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030200.MDT,3222016,45,0xA0001340,0x304880,28416,4,0x308740,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030300.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030300.MDT,2077184,44,0xA0001340,0x1ED180,28416,4,0x1F1040,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030400.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030400.MDT,1422976,47,0xA0001340,0x14DE80,28416,4,0x151D40,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030500.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030500.MDT,2804224,50,0xA0001340,0x29EB00,28416,4,0x2A29C0,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030600.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030600.MDT,2664960,49,0xA0001340,0x27C480,28416,4,0x280340,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030800.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030800.MDT,2868608,47,0xA0001340,0x2AE780,28416,4,0x2B2640,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00030900.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00030900.MDT,2012160,50,0xA0001340,0x1DDA00,28416,4,0x1E18C0,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00031100.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00031100.MDT,2580864,45,0xA0001340,0x268580,28416,4,0x26C440,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00031200.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00031200.MDT,2333568,41,0xA0001340,0x22C300,28416,4,0x2301C0,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00031300.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00031300.MDT,2104576,46,0xA0001340,0x1F4100,28416,4,0x1F7FC0,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00060000.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00060000.MDT,3312768,52,0xA0001340,0x318700,28416,4,0x31C5C0,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
DATA/00061000.MDZ,build/central-battle-event-complete-v1/scenario-v2/mdt/00061000.MDT,4789760,54,0xA0001340,0x47FD00,28416,4,0x483BC0,0x3EC0,12352,1,STRUCTURAL_CANDIDATE,PENDING_RUNTIME_VALIDATION
