id,category,sub_category,source_file,inner_file,record_id,scene_id,string_index,original_offset,pointer_offset,jp_raw_hex,jp_text,kr_text,kr_encoded_hex,speaker,control_codes,status,game_verified,translator_note,review_note,original_hex,original_text,korean_text,review_level,evidence,note,slot_size,slot_hex,payload_length
FIELD_NAME_0001,FIELD,field_name,FIELD.BIN,,field-name-slot-01,,0,0x000CF580,,83 41 83 93 83 74 83 48 83 4F 82 CC 91 BA 00,アンフォグの村,안포그　마을,82 E7 97 4A 82 AE 81 40 82 A7 82 F0,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 41 83 93 83 74 83 48 83 4F 82 CC 91 BA 00,アンフォグの村,안포그　마을,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 41 83 93 83 74 83 48 83 4F 82 CC 91 BA 00 00,14
FIELD_NAME_0002,FIELD,field_name,FIELD.BIN,,field-name-slot-02,,1,0x000CF590,,83 54 83 6F 83 5E 81 5B 83 8B 82 CC 8D 60 00,サバタールの港,사바타르　항구,82 CA 82 EB 95 E2 83 66 81 40 8C 6A 82 E9,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 54 83 6F 83 5E 81 5B 83 8B 82 CC 8D 60 00,サバタールの港,사바타르　항구,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 54 83 6F 83 5E 81 5B 83 8B 82 CC 8D 60 00 00,14
FIELD_NAME_0003,FIELD,field_name,FIELD.BIN,,field-name-slot-03,,2,0x000CF5A0,,83 89 83 93 83 68 81 5B 83 67 82 CC 93 87 00,ランドートの島,란도토　섬,90 82 82 74 8A 4C 81 40 8C AD,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 89 83 93 83 68 81 5B 83 67 82 CC 93 87 00,ランドートの島,란도토　섬,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 89 83 93 83 68 81 5B 83 67 82 CC 93 87 00 00,14
FIELD_NAME_0004,FIELD,field_name,FIELD.BIN,,field-name-slot-04,,3,0x000CF5B0,,83 81 83 93 83 66 83 42 82 CC 8A 58 00,メンディの街,멘디　마을,8C D3 83 75 81 40 82 A7 82 F0,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 81 83 93 83 66 83 42 82 CC 8A 58 00,メンディの街,멘디　마을,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 81 83 93 83 66 83 42 82 CC 8A 58 00 00 00 00,12
FIELD_NAME_0005,FIELD,field_name,FIELD.BIN,,field-name-slot-05,,4,0x000CF5C0,,94 F2 97 B3 82 CC 92 4A 00,飛竜の谷,비룡의　계곡,82 E4 9A A0 82 C1 81 40 83 56 92 53,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",94 F2 97 B3 82 CC 92 4A 00,飛竜の谷,비룡의　계곡,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,94 F2 97 B3 82 CC 92 4A 00 00 00 00 00 00 00 00,8
FIELD_NAME_0006,FIELD,field_name,FIELD.BIN,,field-name-slot-06,,5,0x000CF5D0,,83 6F 83 4E 83 89 82 CC 8F 57 97 8E 00,バクラの集落,바쿠라　촌락,82 EB 96 44 82 B1 81 40 97 AC 8C 46,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 6F 83 4E 83 89 82 CC 8F 57 97 8E 00,バクラの集落,바쿠라　촌락,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 6F 83 4E 83 89 82 CC 8F 57 97 8E 00 00 00 00,12
FIELD_NAME_0007,FIELD,field_name,FIELD.BIN,,field-name-slot-07,,6,0x000CF5E0,,83 94 83 46 83 57 83 83 83 58 82 CC 90 58 00,ヴェジャスの森,베자스　숲,94 41 82 CD 83 59 81 40 94 E2,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 94 83 46 83 57 83 83 83 58 82 CC 90 58 00,ヴェジャスの森,베자스　숲,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 94 83 46 83 57 83 83 83 58 82 CC 90 58 00 00,14
FIELD_NAME_0008,FIELD,field_name,FIELD.BIN,,field-name-slot-08,,7,0x000CF5F0,,83 81 83 8B 83 4E 88 E2 90 D5 00,メルク遺跡,멜크　유적,9D B1 83 8E 81 40 83 45 8F AC,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 81 83 8B 83 4E 88 E2 90 D5 00,メルク遺跡,멜크　유적,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 81 83 8B 83 4E 88 E2 90 D5 00 00 00 00 00 00,10
FIELD_NAME_0009,FIELD,field_name,FIELD.BIN,,field-name-slot-09,,8,0x000CF600,,83 89 83 74 83 8A 83 68 82 CC 92 AC 00,ラフリドの町,라플리드　마을,82 B1 92 E4 82 B5 8B DE 81 40 82 A7 82 F0,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 89 83 74 83 8A 83 68 82 CC 92 AC 00,ラフリドの町,라플리드　마을,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 89 83 74 83 8A 83 68 82 CC 92 AC 00 00 00 00,12
FIELD_NAME_0010,FIELD,field_name,FIELD.BIN,,field-name-slot-10,,9,0x000CF610,,83 58 83 8B 83 7D 83 6A 83 41 00,スルマニア,수르마니아,82 D7 83 66 82 A7 82 A6 82 BB,,[],TRANSLATED,NO,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,"PROVEN: unique CP932 occurrence, 0x10 stride, predecessor/successor anchors, NUL termination and zero padding verified by the extraction script. SUPPORTED: Korean draft adopted from exports/system_standard.csv and checked against active scenario/character terminology; per-slot PCSX2 verification is absent.",83 58 83 8B 83 7D 83 6A 83 41 00,スルマニア,수르마니아,REVIEW_1,SUPPORTED,FIELD.BIN fixed field-name table; CP932; slot_size=16; table=0xCF580-0xCF620; source_sha256=64f4fcda078c6dd561c81458df5d0d0d65509efa068a38444ea8d5c0f19eece0,16,83 58 83 8B 83 7D 83 6A 83 41 00 00 00 00 00 00,10
