character,unicode,custom_code,original_code,glyph_slot,metric_donor_index,append_ordinal,logical_glyph_index,mapping_status,source
가,U+AC00,0xa040,0x8270,42,85,0,42,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
각,U+AC01,0xa1c9,0x837e,192,85,1,192,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
간,U+AC04,0xa041,0x90b0,345,85,2,345,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
갈,U+AC08,0xa1ca,0x95e6,565,85,3,565,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
감,U+AC10,0xa1cb,0x8bbe,643,85,4,643,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
갑,U+AC11,0xa042,0x936f,648,85,5,648,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
갔,U+AC14,0xa1cc,0x8ca2,717,85,6,717,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
강,U+AC15,0xa043,0x93b7,732,85,7,732,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
갖,U+AC16,0xa1cd,0x89e5,796,85,8,796,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
같,U+AC19,0xa1ce,0x8352,149,85,9,149,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
갚,U+AC1A,0xa1cf,0x88c4,860,85,10,860,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
개,U+AC1C,0xa044,0x8989,887,85,11,887,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
갬,U+AC2C,0xa1d0,0x8a6c,915,85,12,915,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
갯,U+AC2F,0xa1d1,0x8b83,961,85,13,961,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
거,U+AC70,0xa045,0x82b9,78,85,14,78,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
걱,U+AC71,0xa1d2,0x8bab,974,85,15,974,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
건,U+AC74,0xa046,0x82db,111,85,16,111,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
걸,U+AC78,0xa1d3,0x835d,160,85,17,160,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
검,U+AC80,0xa1d4,0x8cd6,1029,85,18,1029,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
겁,U+AC81,0xa1d5,0x8ddb,1068,85,19,1068,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
것,U+AC83,0xa1d6,0x8279,51,85,20,51,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
게,U+AC8C,0xa047,0x82b3,72,85,21,72,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
겠,U+ACA0,0xa1d7,0x82e0,116,85,22,116,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
겨,U+ACA8,0xa048,0x90a1,1185,85,23,1185,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
격,U+ACA9,0xa049,0x90aa,1187,85,24,1187,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
견,U+ACAC,0xa1d8,0x90ae,1189,85,25,1189,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
결,U+ACB0,0xa04a,0x90b5,1191,85,26,1191,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
겹,U+ACB9,0xa1d9,0x90b7,1192,85,27,1192,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
경,U+ACBD,0xa04b,0x9171,1216,85,28,1216,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
계,U+ACC4,0xa04c,0x8356,153,85,29,153,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
고,U+ACE0,0xa04d,0x8269,35,85,30,35,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
곡,U+ACE1,0xa04e,0x9253,1247,85,31,1247,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
곤,U+ACE4,0xa1da,0x9276,1258,85,32,1258,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
골,U+ACE8,0xa1db,0x93fb,1319,85,33,1319,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
곳,U+ACF3,0xa04f,0x9578,1374,85,34,1374,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
공,U+ACF5,0xa050,0x96f3,1432,85,35,1432,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
과,U+ACFC,0xa051,0x9774,1452,85,36,1452,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
관,U+AD00,0xa052,0x97a2,1461,85,37,1461,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
광,U+AD11,0xa053,0x96d3,1493,85,38,1493,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
괜,U+AD1C,0xa1dc,0x9571,1496,85,39,1496,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
괴,U+AD34,0xa1dd,0x8df6,1513,85,40,1513,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
교,U+AD50,0xa054,0x9652,1517,85,41,1517,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
구,U+AD6C,0xa055,0x82e9,125,85,42,125,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
국,U+AD6D,0xa1de,0x8e5e,1519,85,43,1519,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
군,U+AD70,0xa056,0x838b,205,85,44,205,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
굴,U+AD74,0xa1df,0x8953,1533,85,45,1533,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
굽,U+AD7D,0xa1e0,0x8d59,1537,85,46,1537,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
궁,U+AD81,0xa1e1,0x9043,1538,85,47,1538,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
권,U+AD8C,0xa057,0x96b5,1539,85,48,1539,TESTED_BASE,build/central-runtime-cumulative-v15/font-config.json
