event_sample_id,archive_id,archive_file,local_id,record_index,source_file,source_offset,size_bytes,payload_bytes,duration_ms,sample_rate,channels,codec,category,japanese,korean,confidence,notes,wav_path
SE6000_07D0_000,6000,6000.SE,0x07D0,0,MUSIC/6000.SE,0xB30,5184,5184,378,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D0_000.wav
SE6000_07D1_001,6000,6000.SE,0x07D1,1,MUSIC/6000.SE,0x1F70,2624,2624,191,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D1_001.wav
SE6000_07D2_002,6000,6000.SE,0x07D2,2,MUSIC/6000.SE,0x29B0,3248,3232,236,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D2_002.wav
SE6000_07D3_003,6000,6000.SE,0x07D3,3,MUSIC/6000.SE,0x3660,1920,1920,140,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D3_003.wav
SE6000_07D4_004,6000,6000.SE,0x07D4,4,MUSIC/6000.SE,0x3DE0,1312,1296,94,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D4_004.wav
SE6000_07D6_005,6000,6000.SE,0x07D6,5,MUSIC/6000.SE,0x4300,6752,6752,492,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D6_005.wav
SE6000_07D7_006,6000,6000.SE,0x07D7,6,MUSIC/6000.SE,0x5D60,2544,2544,186,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D7_006.wav
SE6000_07D8_007,6000,6000.SE,0x07D8,7,MUSIC/6000.SE,0x6750,944,944,69,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D8_007.wav
SE6000_07D9_008,6000,6000.SE,0x07D9,8,MUSIC/6000.SE,0x6B00,12880,12864,938,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07D9_008.wav
SE6000_07DB_009,6000,6000.SE,0x07DB,9,MUSIC/6000.SE,0x9D50,9088,9088,663,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07DB_009.wav
SE6000_07DC_010,6000,6000.SE,0x07DC,10,MUSIC/6000.SE,0xC0D0,6496,6480,472,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07DC_010.wav
SE6000_07DD_011,6000,6000.SE,0x07DD,11,MUSIC/6000.SE,0xDA30,1936,1936,141,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07DD_011.wav
SE6000_07DE_012,6000,6000.SE,0x07DE,12,MUSIC/6000.SE,0xE1C0,4880,4864,355,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07DE_012.wav
SE6000_07DF_013,6000,6000.SE,0x07DF,13,MUSIC/6000.SE,0xF4D0,4880,4880,356,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07DF_013.wav
SE6000_07E0_014,6000,6000.SE,0x07E0,14,MUSIC/6000.SE,0x107E0,4240,4224,308,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E0_014.wav
SE6000_07E1_015,6000,6000.SE,0x07E1,15,MUSIC/6000.SE,0x11870,2752,2736,200,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E1_015.wav
SE6000_07E2_016,6000,6000.SE,0x07E2,16,MUSIC/6000.SE,0x12330,3504,3488,254,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E2_016.wav
SE6000_07E3_017,6000,6000.SE,0x07E3,17,MUSIC/6000.SE,0x130E0,3040,3040,222,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E3_017.wav
SE6000_07E4_018,6000,6000.SE,0x07E4,18,MUSIC/6000.SE,0x13CC0,4224,4224,308,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E4_018.wav
SE6000_07E5_019,6000,6000.SE,0x07E5,19,MUSIC/6000.SE,0x14D40,2256,2240,163,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E5_019.wav
SE6000_07E6_020,6000,6000.SE,0x07E6,20,MUSIC/6000.SE,0x15610,4032,4016,293,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E6_020.wav
SE6000_07E7_021,6000,6000.SE,0x07E7,21,MUSIC/6000.SE,0x165D0,2512,2512,183,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E7_021.wav
SE6000_07E8_022,6000,6000.SE,0x07E8,22,MUSIC/6000.SE,0x16FA0,4640,4640,338,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E8_022.wav
SE6000_07E9_023,6000,6000.SE,0x07E9,23,MUSIC/6000.SE,0x181C0,12896,12880,939,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07E9_023.wav
SE6000_07EA_024,6000,6000.SE,0x07EA,24,MUSIC/6000.SE,0x1B420,400,400,29,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07EA_024.wav
SE6000_07EC_025,6000,6000.SE,0x07EC,25,MUSIC/6000.SE,0x1B5B0,3744,3728,272,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07EC_025.wav
SE6000_07ED_026,6000,6000.SE,0x07ED,26,MUSIC/6000.SE,0x1C450,3328,3312,242,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07ED_026.wav
SE6000_07EE_027,6000,6000.SE,0x07EE,27,MUSIC/6000.SE,0x1D150,2896,2896,211,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07EE_027.wav
SE6000_07EF_028,6000,6000.SE,0x07EF,28,MUSIC/6000.SE,0x1DCA0,4288,4288,313,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07EF_028.wav
SE6000_07F0_029,6000,6000.SE,0x07F0,29,MUSIC/6000.SE,0x1ED60,3520,3504,256,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07F0_029.wav
SE6000_07F1_030,6000,6000.SE,0x07F1,30,MUSIC/6000.SE,0x1FB20,3504,3488,254,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07F1_030.wav
SE6000_07F2_031,6000,6000.SE,0x07F2,31,MUSIC/6000.SE,0x208D0,672,656,48,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07F2_031.wav
SE6000_07FD_032,6000,6000.SE,0x07FD,32,MUSIC/6000.SE,0x20B70,1696,1680,122,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07FD_032.wav
SE6000_07FE_033,6000,6000.SE,0x07FE,33,MUSIC/6000.SE,0x21210,48,32,2,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07FE_033.wav
SE6000_07FF_034,6000,6000.SE,0x07FF,34,MUSIC/6000.SE,0x21240,5232,5232,382,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_07FF_034.wav
SE6000_0800_035,6000,6000.SE,0x0800,35,MUSIC/6000.SE,0x226B0,48,32,2,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_0800_035.wav
SE6000_0801_036,6000,6000.SE,0x0801,36,MUSIC/6000.SE,0x226E0,2720,2704,197,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_0801_036.wav
SE6000_0802_037,6000,6000.SE,0x0802,37,MUSIC/6000.SE,0x23180,48,32,2,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_0802_037.wav
SE6000_0804_038,6000,6000.SE,0x0804,38,MUSIC/6000.SE,0x231B0,3360,3344,244,24000,1,PSX/PS2 ADPCM,event_audio_candidate,,,TENTATIVE,SE archive ID/record offset is structurally proven; speech-vs-effect and movie/event caller remain unverified,audio/extracted/event/se_6000_0804_038.wav
